Id,Name
00,Bundesgebiet
01,Schleswig-Holstein
02,Hamburg
03,Niedersachsen
04,Bremen
05,Nordrhein-Westfalen
06,Hessen
07,Rheinland-Pfalz
08,Baden-Württemberg
09,Bayern
10,Saarland
11,Berlin
12,Brandenburg
13,Mecklenburg-Vorpommern
14,Sachsen
15,Sachsen-Anhalt
16,Thüringen
01001,SK Flensburg
01002,SK Kiel
01003,SK Lübeck
01004,SK Neumünster
01051,LK Dithmarschen
01053,LK Herzogtum Lauenburg
01054,LK Nordfriesland
01055,LK Ostholstein
01056,LK Pinneberg
01057,LK Plön
01058,LK Rendsburg-Eckernförde
01059,LK Schleswig-Flensburg
01060,LK Segeberg
01061,LK Steinburg
01062,LK Stormarn
02000,SK Hamburg
03101,SK Braunschweig
03102,SK Salzgitter
03103,SK Wolfsburg
03151,LK Gifhorn
03153,LK Goslar
03154,LK Helmstedt
03155,LK Northeim
03157,LK Peine
03158,LK Wolfenbüttel
03159,LK Göttingen
03241,Region Hannover
03251,LK Diepholz
03252,LK Hameln-Pyrmont
03254,LK Hildesheim
03255,LK Holzminden
03256,LK Nienburg (Weser)
03257,LK Schaumburg
03351,LK Celle
03352,LK Cuxhaven
03353,LK Harburg
03354,LK Lüchow-Dannenberg
03355,LK Lüneburg
03356,LK Osterholz
03357,LK Rotenburg (Wümme)
03358,LK Heidekreis
03359,LK Stade
03360,LK Uelzen
03361,LK Verden
03401,SK Delmenhorst
03402,SK Emden
03403,SK Oldenburg
03404,SK Osnabrück
03405,SK Wilhelmshaven
03451,LK Ammerland
03452,LK Aurich
03453,LK Cloppenburg
03454,LK Emsland
03455,LK Friesland
03456,LK Grafschaft Bentheim
03457,LK Leer
03458,LK Oldenburg
03459,LK Osnabrück
03460,LK Vechta
03461,LK Wesermarsch
03462,LK Wittmund
04011,SK Bremen
04012,SK Bremerhaven
05111,SK Düsseldorf
05112,SK Duisburg
05113,SK Essen
05114,SK Krefeld
05116,SK Mönchengladbach
05117,SK Mülheim a.d.Ruhr
05119,SK Oberhausen
05120,SK Remscheid
05122,SK Solingen
05124,SK Wuppertal
05154,LK Kleve
05158,LK Mettmann
05162,LK Rhein-Kreis Neuss
05166,LK Viersen
05170,LK Wesel
05314,SK Bonn
05315,SK Köln
05316,SK Leverkusen
05334,StadtRegion Aachen
05358,LK Düren
05362,LK Rhein-Erft-Kreis
05366,LK Euskirchen
05370,LK Heinsberg
05374,LK Oberbergischer Kreis
05378,LK Rheinisch-Bergischer Kreis
05382,LK Rhein-Sieg-Kreis
05512,SK Bottrop
05513,SK Gelsenkirchen
05515,SK Münster
05554,LK Borken
05558,LK Coesfeld
05562,LK Recklinghausen
05566,LK Steinfurt
05570,LK Warendorf
05711,SK Bielefeld
05754,LK Gütersloh
05758,LK Herford
05762,LK Höxter
05766,LK Lippe
05770,LK Minden-Lübbecke
05774,LK Paderborn
05911,SK Bochum
05913,SK Dortmund
05914,SK Hagen
05915,SK Hamm
05916,SK Herne
05954,LK Ennepe-Ruhr-Kreis
05958,LK Hochsauerlandkreis
05962,LK Märkischer Kreis
05966,LK Olpe
05970,LK Siegen-Wittgenstein
05974,LK Soest
05978,LK Unna
06411,SK Darmstadt
06412,SK Frankfurt am Main
06413,SK Offenbach
06414,SK Wiesbaden
06431,LK Bergstraße
06432,LK Darmstadt-Dieburg
06433,LK Groß-Gerau
06434,LK Hochtaunuskreis
06435,LK Main-Kinzig-Kreis
06436,LK Main-Taunus-Kreis
06437,LK Odenwaldkreis
06438,LK Offenbach
06439,LK Rheingau-Taunus-Kreis
06440,LK Wetteraukreis
06531,LK Gießen
06532,LK Lahn-Dill-Kreis
06533,LK Limburg-Weilburg
06534,LK Marburg-Biedenkopf
06535,LK Vogelsbergkreis
06611,SK Kassel
06631,LK Fulda
06632,LK Hersfeld-Rotenburg
06633,LK Kassel
06634,LK Schwalm-Eder-Kreis
06635,LK Waldeck-Frankenberg
06636,LK Werra-Meißner-Kreis
07111,SK Koblenz
07131,LK Ahrweiler
07132,LK Altenkirchen
07133,LK Bad Kreuznach
07134,LK Birkenfeld
07135,LK Cochem-Zell
07137,LK Mayen-Koblenz
07138,LK Neuwied
07140,LK Rhein-Hunsrück-Kreis
07141,LK Rhein-Lahn-Kreis
07143,LK Westerwaldkreis
07211,SK Trier
07231,LK Bernkastel-Wittlich
07232,LK Bitburg-Prüm
07233,LK Vulkaneifel
07235,LK Trier-Saarburg
07311,SK Frankenthal
07312,SK Kaiserslautern
07313,SK Landau i.d.Pfalz
07314,SK Ludwigshafen
07315,SK Mainz
07316,SK Neustadt a.d.Weinstraße
07317,SK Pirmasens
07318,SK Speyer
07319,SK Worms
07320,SK Zweibrücken
07331,LK Alzey-Worms
07332,LK Bad Dürkheim
07333,LK Donnersbergkreis
07334,LK Germersheim
07335,LK Kaiserslautern
07336,LK Kusel
07337,LK Südliche Weinstraße
07338,LK Rhein-Pfalz-Kreis
07339,LK Mainz-Bingen
07340,LK Südwestpfalz
08111,SK Stuttgart
08115,LK Böblingen
08116,LK Esslingen
08117,LK Göppingen
08118,LK Ludwigsburg
08119,LK Rems-Murr-Kreis
08121,SK Heilbronn
08125,LK Heilbronn
08126,LK Hohenlohekreis
08127,LK Schwäbisch Hall
08128,LK Main-Tauber-Kreis
08135,LK Heidenheim
08136,LK Ostalbkreis
08211,SK Baden-Baden
08212,SK Karlsruhe
08215,LK Karlsruhe
08216,LK Rastatt
08221,SK Heidelberg
08222,SK Mannheim
08225,LK Neckar-Odenwald-Kreis
08226,LK Rhein-Neckar-Kreis
08231,SK Pforzheim
08235,LK Calw
08236,LK Enzkreis
08237,LK Freudenstadt
08311,SK Freiburg i.Breisgau
08315,LK Breisgau-Hochschwarzwald
08316,LK Emmendingen
08317,LK Ortenaukreis
08325,LK Rottweil
08326,LK Schwarzwald-Baar-Kreis
08327,LK Tuttlingen
08335,LK Konstanz
08336,LK Lörrach
08337,LK Waldshut
08415,LK Reutlingen
08416,LK Tübingen
08417,LK Zollernalbkreis
08421,SK Ulm
08425,LK Alb-Donau-Kreis
08426,LK Biberach
08435,LK Bodenseekreis
08436,LK Ravensburg
08437,LK Sigmaringen
09161,SK Ingolstadt
09162,SK München
09163,SK Rosenheim
09171,LK Altötting
09172,LK Berchtesgadener Land
09173,LK Bad Tölz-Wolfratshausen
09174,LK Dachau
09175,LK Ebersberg
09176,LK Eichstätt
09177,LK Erding
09178,LK Freising
09179,LK Fürstenfeldbruck
09180,LK Garmisch-Partenkirchen
09181,LK Landsberg a.Lech
09182,LK Miesbach
09183,LK Mühldorf a.Inn
09184,LK München
09185,LK Neuburg-Schrobenhausen
09186,LK Pfaffenhofen a.d.Ilm
09187,LK Rosenheim
09188,LK Starnberg
09189,LK Traunstein
09190,LK Weilheim-Schongau
09261,SK Landshut
09262,SK Passau
09263,SK Straubing
09271,LK Deggendorf
09272,LK Freyung-Grafenau
09273,LK Kelheim
09274,LK Landshut
09275,LK Passau
09276,LK Regen
09277,LK Rottal-Inn
09278,LK Straubing-Bogen
09279,LK Dingolfing-Landau
09361,SK Amberg
09362,SK Regensburg
09363,SK Weiden i.d.OPf.
09371,LK Amberg-Sulzbach
09372,LK Cham
09373,LK Neumarkt i.d.OPf.
09374,LK Neustadt a.d.Waldnaab
09375,LK Regensburg
09376,LK Schwandorf
09377,LK Tirschenreuth
09461,SK Bamberg
09462,SK Bayreuth
09463,SK Coburg
09464,SK Hof
09471,LK Bamberg
09472,LK Bayreuth
09473,LK Coburg
09474,LK Forchheim
09475,LK Hof
09476,LK Kronach
09477,LK Kulmbach
09478,LK Lichtenfels
09479,LK Wunsiedel i.Fichtelgebirge
09561,SK Ansbach
09562,SK Erlangen
09563,SK Fürth
09564,SK Nürnberg
09565,SK Schwabach
09571,LK Ansbach
09572,LK Erlangen-Höchstadt
09573,LK Fürth
09574,LK Nürnberger Land
09575,LK Neustadt a.d.Aisch-Bad Windsheim
09576,LK Roth
09577,LK Weißenburg-Gunzenhausen
09661,SK Aschaffenburg
09662,SK Schweinfurt
09663,SK Würzburg
09671,LK Aschaffenburg
09672,LK Bad Kissingen
09673,LK Rhön-Grabfeld
09674,LK Haßberge
09675,LK Kitzingen
09676,LK Miltenberg
09677,LK Main-Spessart
09678,LK Schweinfurt
09679,LK Würzburg
09761,SK Augsburg
09762,SK Kaufbeuren
09763,SK Kempten
09764,SK Memmingen
09771,LK Aichach-Friedberg
09772,LK Augsburg
09773,LK Dillingen a.d.Donau
09774,LK Günzburg
09775,LK Neu-Ulm
09776,LK Lindau
09777,LK Ostallgäu
09778,LK Unterallgäu
09779,LK Donau-Ries
09780,LK Oberallgäu
10041,LK Stadtverband Saarbrücken
10042,LK Merzig-Wadern
10043,LK Neunkirchen
10044,LK Saarlouis
10045,LK Saarpfalz-Kreis
10046,LK Sankt Wendel
11001,SK Berlin Mitte
11002,SK Berlin Friedrichshain-Kreuzberg
11003,SK Berlin Pankow
