AGS,Altersgruppe,Name,GueltigAb,GueltigBis,Einwohner,männlich,weiblich
01053,A80+,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,15374,6075,9299
01053,unbekannt,LK Herzogtum Lauenburg,2020-01-01,2222-12-31,0,0,0
01054,A00+,LK Nordfriesland,2020-01-01,2020-10-07,165507,,
01054,A00+,LK Nordfriesland,2020-10-08,2021-08-26,165951,,
01054,A00+,LK Nordfriesland,2021-08-27,2222-12-31,167147,81789,85358
01054,A00-A04,LK Nordfriesland,2021-08-27,2222-12-31,6954,3612,3342
01054,A05-A14,LK Nordfriesland,2021-08-27,2222-12-31,14011,7185,6826
01054,A15-A34,LK Nordfriesland,2021-08-27,2222-12-31,35813,18956,16857
01054,A35-A59,LK Nordfriesland,2021-08-27,2222-12-31,56831,27695,29136
01054,A60-A79,LK Nordfriesland,2021-08-27,2222-12-31,40710,19234,21476
01054,A80+,LK Nordfriesland,2021-08-27,2222-12-31,12828,5107,7721
01054,unbekannt,LK Nordfriesland,2020-01-01,2222-12-31,0,0,0
01055,A00+,LK Ostholstein,2020-01-01,2020-10-07,200581,,
01055,A00+,LK Ostholstein,2020-10-08,2021-08-26,200539,,
01055,A00+,LK Ostholstein,2021-08-27,2222-12-31,201487,97171,104316
01055,A00-A04,LK Ostholstein,2021-08-27,2222-12-31,7415,3715,3700
01055,A05-A14,LK Ostholstein,2021-08-27,2222-12-31,16033,8157,7876
01055,A15-A34,LK Ostholstein,2021-08-27,2222-12-31,36483,19089,17394
01055,A35-A59,LK Ostholstein,2021-08-27,2222-12-31,69248,33306,35942
01055,A60-A79,LK Ostholstein,2021-08-27,2222-12-31,54545,25716,28829
01055,A80+,LK Ostholstein,2021-08-27,2222-12-31,17763,7188,10575
01055,unbekannt,LK Ostholstein,2020-01-01,2222-12-31,0,0,0
01056,A00+,LK Pinneberg,2020-01-01,2020-10-07,314391,,
01056,A00+,LK Pinneberg,2020-10-08,2021-08-26,316103,,
01056,A00+,LK Pinneberg,2021-08-27,2222-12-31,317085,155554,161531
01056,A00-A04,LK Pinneberg,2021-08-27,2222-12-31,15127,7719,7408
01056,A05-A14,LK Pinneberg,2021-08-27,2222-12-31,30019,15334,14685
01056,A15-A34,LK Pinneberg,2021-08-27,2222-12-31,65449,34165,31284
01056,A35-A59,LK Pinneberg,2021-08-27,2222-12-31,114360,56648,57712
01056,A60-A79,LK Pinneberg,2021-08-27,2222-12-31,68660,32307,36353
01056,A80+,LK Pinneberg,2021-08-27,2222-12-31,23470,9381,14089
01056,unbekannt,LK Pinneberg,2020-01-01,2222-12-31,0,0,0
01057,A00+,LK Plön,2020-01-01,2020-10-07,128647,,
01057,A00+,LK Plön,2020-10-08,2021-08-26,128686,,
01057,A00+,LK Plön,2021-08-27,2222-12-31,129353,62674,66679
01057,A00-A04,LK Plön,2021-08-27,2222-12-31,5425,2743,2682
01057,A05-A14,LK Plön,2021-08-27,2222-12-31,11482,5803,5679
01057,A15-A34,LK Plön,2021-08-27,2222-12-31,23471,12152,11319
01057,A35-A59,LK Plön,2021-08-27,2222-12-31,44831,21718,23113
01057,A60-A79,LK Plön,2021-08-27,2222-12-31,33107,15730,17377
01057,A80+,LK Plön,2021-08-27,2222-12-31,11037,4528,6509
01057,unbekannt,LK Plön,2020-01-01,2222-12-31,0,0,0
01058,A00+,LK Rendsburg-Eckernförde,2020-01-01,2020-10-07,272775,,
01058,A00+,LK Rendsburg-Eckernförde,2020-10-08,2021-08-26,274098,,
01058,A00+,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,274765,135219,139546
01058,A00-A04,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,12147,6210,5937
01058,A05-A14,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,25677,13198,12479
01058,A15-A34,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,54440,28570,25870
01058,A35-A59,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,96863,47559,49304
01058,A60-A79,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,65017,31178,33839
01058,A80+,LK Rendsburg-Eckernförde,2021-08-27,2222-12-31,20621,8504,12117
01058,unbekannt,LK Rendsburg-Eckernförde,2020-01-01,2222-12-31,0,0,0
01059,A00+,LK Schleswig-Flensburg,2020-01-01,2020-10-07,200025,,
01059,A00+,LK Schleswig-Flensburg,2020-10-08,2021-08-26,201156,,
01059,A00+,LK Schleswig-Flensburg,2021-08-27,2222-12-31,202647,100209,102438
01059,A00-A04,LK Schleswig-Flensburg,2021-08-27,2222-12-31,9273,4813,4460
01059,A05-A14,LK Schleswig-Flensburg,2021-08-27,2222-12-31,18889,9810,9079
01059,A15-A34,LK Schleswig-Flensburg,2021-08-27,2222-12-31,40952,21136,19816
01059,A35-A59,LK Schleswig-Flensburg,2021-08-27,2222-12-31,69572,34493,35079
01059,A60-A79,LK Schleswig-Flensburg,2021-08-27,2222-12-31,48600,23627,24973
01059,A80+,LK Schleswig-Flensburg,2021-08-27,2222-12-31,15361,6330,9031
01059,unbekannt,LK Schleswig-Flensburg,2020-01-01,2222-12-31,0,0,0
01060,A00+,LK Segeberg,2020-01-01,2020-10-07,276032,,
01060,A00+,LK Segeberg,2020-10-08,2021-08-26,277175,,
01060,A00+,LK Segeberg,2021-08-27,2222-12-31,278007,137269,140738
01060,A00-A04,LK Segeberg,2021-08-27,2222-12-31,12915,6600,6315
01060,A05-A14,LK Segeberg,2021-08-27,2222-12-31,26176,13507,12669
01060,A15-A34,LK Segeberg,2021-08-27,2222-12-31,57563,30063,27500
01060,A35-A59,LK Segeberg,2021-08-27,2222-12-31,100828,50392,50436
01060,A60-A79,LK Segeberg,2021-08-27,2222-12-31,60860,28790,32070
01060,A80+,LK Segeberg,2021-08-27,2222-12-31,19665,7917,11748
01060,unbekannt,LK Segeberg,2020-01-01,2222-12-31,0,0,0
01061,A00+,LK Steinburg,2020-01-01,2020-10-07,131347,,
01061,A00+,LK Steinburg,2020-10-08,2021-08-26,131013,,
01061,A00+,LK Steinburg,2021-08-27,2222-12-31,130706,64570,66136
01061,A00-A04,LK Steinburg,2021-08-27,2222-12-31,5585,2811,2774
01061,A05-A14,LK Steinburg,2021-08-27,2222-12-31,11643,5993,5650
01061,A15-A34,LK Steinburg,2021-08-27,2222-12-31,27024,14212,12812
01061,A35-A59,LK Steinburg,2021-08-27,2222-12-31,46368,23044,23324
01061,A60-A79,LK Steinburg,2021-08-27,2222-12-31,30254,14645,15609
01061,A80+,LK Steinburg,2021-08-27,2222-12-31,9832,3865,5967
