Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-02,00,Bundesgebiet,184123,221.42135934024245
2022-06-02,01,Schleswig-Holstein,10757,369.54523983338345
2022-06-02,02,Hamburg,4521,244.05148131313837
2022-06-02,03,Niedersachsen,22953,286.7898614854823
2022-06-02,04,Bremen,1642,241.42443356417158
2022-06-02,05,Nordrhein-Westfalen,42784,238.6758133772036
2022-06-02,06,Hessen,19476,309.47915782769655
2022-06-02,07,Rheinland-Pfalz,8373,204.29968736511475
2022-06-02,08,Baden-Württemberg,19817,178.4826015714791
2022-06-02,09,Bayern,29418,223.87816060095966
2022-06-02,10,Saarland,2127,216.16051366323475
2022-06-02,11,Berlin,6949,189.65155858702084
2022-06-02,12,Brandenburg,3314,130.9327158345222
2022-06-02,13,Mecklenburg-Vorpommern,3048,189.22580076410472
2022-06-02,14,Sachsen,4743,116.9107462987507
2022-06-02,15,Sachsen-Anhalt,2490,114.18435683482797
2022-06-02,16,Thüringen,1711,80.69852568368536
