Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-06,00,Bundesgebiet,211035,253.785005503756
2022-06-06,01,Schleswig-Holstein,12335,423.7557435479023
2022-06-06,02,Hamburg,4567,246.53464170694605
2022-06-06,03,Niedersachsen,26505,331.17088305113526
2022-06-06,04,Bremen,2094,307.8823166159411
2022-06-06,05,Nordrhein-Westfalen,50646,282.5349486794562
2022-06-06,06,Hessen,22674,360.29628386656356
2022-06-06,07,Rheinland-Pfalz,10403,253.83132063290202
2022-06-06,08,Baden-Württemberg,21823,196.5497206486546
2022-06-06,09,Bayern,32502,247.34815337046678
2022-06-06,10,Saarland,2534,257.5226805936233
2022-06-06,11,Berlin,6924,188.9692605636109
2022-06-06,12,Brandenburg,4002,158.11488496371692
2022-06-06,13,Mecklenburg-Vorpommern,3428,212.81694390398653
2022-06-06,14,Sachsen,5471,134.85530107536687
2022-06-06,15,Sachsen-Anhalt,3170,145.36723340016252
2022-06-06,16,Thüringen,1957,92.30100219928244
