Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-19,00,Bundesgebiet,350818,421.88427540842355
2022-06-19,01,Schleswig-Holstein,20559,706.2824752007557
2022-06-19,02,Hamburg,8615,465.05275636201884
2022-06-19,03,Niedersachsen,54019,674.9488749873336
2022-06-19,04,Bremen,3394,499.02224574713654
2022-06-19,05,Nordrhein-Westfalen,82846,462.16661450654004
2022-06-19,06,Hessen,36304,576.8808454393458
2022-06-19,07,Rheinland-Pfalz,18348,447.6878853188971
2022-06-19,08,Baden-Württemberg,31470,283.4358112456198
2022-06-19,09,Bayern,48463,368.81525926998125
2022-06-19,10,Saarland,4474,454.6789553969498
2022-06-19,11,Berlin,10869,296.635888657696
2022-06-19,12,Brandenburg,7167,283.1607647513641
2022-06-19,13,Mecklenburg-Vorpommern,5101,316.68005567509783
2022-06-19,14,Sachsen,9958,245.45587426585695
2022-06-19,15,Sachsen-Anhalt,5617,257.5797318639473
2022-06-19,16,Thüringen,3614,170.4526427941782
