Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-05-28,00,Bundesgebiet,174152,209.43050336906254
2022-05-28,01,Schleswig-Holstein,9770,335.6379095632756
2022-05-28,02,Hamburg,4226,228.1268657441546
2022-05-28,03,Niedersachsen,21545,269.1973844684667
2022-05-28,04,Bremen,1947,286.26880155264433
2022-05-28,05,Nordrhein-Westfalen,38925,217.1479065937652
2022-05-28,06,Hessen,17810,283.0059458262105
2022-05-28,07,Rheinland-Pfalz,7583,185.02383008356207
2022-05-28,08,Baden-Württemberg,20090,180.94138696932004
2022-05-28,09,Bayern,29750,226.40476163840336
2022-05-28,10,Saarland,1744,177.237393431444
2022-05-28,11,Berlin,7548,205.99941922792246
2022-05-28,12,Brandenburg,3031,119.75167824213545
2022-05-28,13,Mecklenburg-Vorpommern,2565,159.24021619420228
2022-05-28,14,Sachsen,3810,93.91312321278521
2022-05-28,15,Sachsen-Anhalt,2258,103.54549306547854
2022-05-28,16,Thüringen,1550,73.10503495599784
