Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-16,00,Bundesgebiet,399105,479.9529207078283
2022-06-16,01,Schleswig-Holstein,20639,709.0307897109975
2022-06-16,02,Hamburg,8745,472.07038356191003
2022-06-16,03,Niedersachsen,58618,732.4118024029974
2022-06-16,04,Bremen,3517,517.107023657242
2022-06-16,05,Nordrhein-Westfalen,101216,564.6459219985752
2022-06-16,06,Hessen,42303,672.2066550413355
2022-06-16,07,Rheinland-Pfalz,21447,523.3029254651398
2022-06-16,08,Baden-Württemberg,36950,332.7916500008151
2022-06-16,09,Bayern,57904,440.6635737112642
2022-06-16,10,Saarland,6102,620.1276231185041
2022-06-16,11,Berlin,10325,281.78908366829614
2022-06-16,12,Brandenburg,7216,285.0967041224841
2022-06-16,13,Mecklenburg-Vorpommern,5292,328.53770920067
2022-06-16,14,Sachsen,9712,239.39219229463777
2022-06-16,15,Sachsen-Anhalt,5692,261.019019720418
2022-06-16,16,Thüringen,3427,161.63287406077717
