Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-04,00,Bundesgebiet,224755,270.2843078730859
2022-06-04,01,Schleswig-Holstein,12972,445.63919783570236
2022-06-04,02,Hamburg,5474,295.49608686310984
2022-06-04,03,Niedersachsen,28744,359.1464200121423
2022-06-04,04,Bremen,2067,303.9124873186009
2022-06-04,05,Nordrhein-Westfalen,53068,296.0463739786238
2022-06-04,06,Hessen,23951,380.5881756588191
2022-06-04,07,Rheinland-Pfalz,10918,266.3972275949269
2022-06-04,08,Baden-Württemberg,23711,213.554068015408
2022-06-04,09,Bayern,35113,267.2185006860255
2022-06-04,10,Saarland,2534,257.5226805936233
2022-06-04,11,Berlin,7299,199.20373091475966
2022-06-04,12,Brandenburg,4162,164.43631964492502
2022-06-04,13,Mecklenburg-Vorpommern,3535,219.4597131565322
2022-06-04,14,Sachsen,5894,145.2818761722194
2022-06-04,15,Sachsen-Anhalt,3277,150.27395074206075
2022-06-04,16,Thüringen,2036,96.02700075510427
