Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-10,00,Bundesgebiet,265035,318.7239506891652
2022-06-10,01,Schleswig-Holstein,14687,504.5561901490102
2022-06-10,02,Hamburg,6135,331.1780220871719
2022-06-10,03,Niedersachsen,36357,454.26824354235526
2022-06-10,04,Bremen,2545,374.19316895299426
2022-06-10,05,Nordrhein-Westfalen,67605,377.1428188894412
2022-06-10,06,Hessen,26370,419.0267709959108
2022-06-10,07,Rheinland-Pfalz,13346,325.63998896152174
2022-06-10,08,Baden-Württemberg,26526,238.90747788691803
2022-06-10,09,Bayern,40540,308.51929535532344
2022-06-10,10,Saarland,3175,322.665552835341
2022-06-10,11,Berlin,7585,207.00922030256916
2022-06-10,12,Brandenburg,4432,175.10374066946363
2022-06-10,13,Mecklenburg-Vorpommern,3495,216.9764349312815
2022-06-10,14,Sachsen,6517,160.63827400990056
2022-06-10,15,Sachsen-Anhalt,3720,170.5886776809478
2022-06-10,16,Thüringen,2000,94.32907736257786
