Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-05-26,00,Bundesgebiet,218382,262.62030976814856
2022-05-26,01,Schleswig-Holstein,12248,420.7669515180143
2022-05-26,02,Hamburg,4847,261.6495310605578
2022-05-26,03,Niedersachsen,27739,346.5892897549685
2022-05-26,04,Bremen,2656,390.51357828650407
2022-05-26,05,Nordrhein-Westfalen,49561,276.48214254832624
2022-05-26,06,Hessen,20616,327.5940808059043
2022-05-26,07,Rheinland-Pfalz,9459,230.79789117241376
2022-05-26,08,Baden-Württemberg,25251,227.42413949040818
2022-05-26,09,Bayern,36425,277.20314093038127
2022-05-26,10,Saarland,2108,214.2296016935114
2022-05-26,11,Berlin,9225,251.76797063825978
2022-05-26,12,Brandenburg,4024,158.98408223238306
2022-05-26,13,Mecklenburg-Vorpommern,3267,202.8217490473524
2022-05-26,14,Sachsen,5372,132.4150388186567
2022-05-26,15,Sachsen-Anhalt,3398,155.82266848383352
2022-05-26,16,Thüringen,2186,103.1016815572976
