GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerungsstand (Anzahl);;
;;Stichtag
;;31.12.2019
07111;Koblenz, kreisfreie Stadt;114052
07131;Ahrweiler, Landkreis;130086
07132;Altenkirchen (Westerwald), Landkreis;128805
07133;Bad Kreuznach, Landkreis;158345
07134;Birkenfeld, Landkreis;80951
07135;Cochem-Zell, Landkreis;61375
07137;Mayen-Koblenz, Landkreis;214434
07138;Neuwied, Landkreis;182811
07140;Rhein-Hunsrück-Kreis;103163
07141;Rhein-Lahn-Kreis;122297
07143;Westerwaldkreis;201904
07211;Trier, kreisfreie Stadt;111528
07231;Bernkastel-Wittlich, Landkreis;112483
07232;Eifelkreis Bitburg-Prüm;99058
07233;Vulkaneifel, Landkreis;60646
07235;Trier-Saarburg, Landkreis;149398
07311;Frankenthal (Pfalz), kreisfreie Stadt;48762
07312;Kaiserslautern, kreisfreie Stadt;100030
07313;Landau in der Pfalz, kreisfreie Stadt;46881
07314;Ludwigshafen am Rhein, kreisfreie Stadt;172253
07315;Mainz, kreisfreie Stadt;218578
07316;Neustadt an der Weinstraße, kreisfreie Stadt;53264
07317;Pirmasens, kreisfreie Stadt;40231
07318;Speyer, kreisfreie Stadt;50561
07319;Worms, kreisfreie Stadt;83542
07320;Zweibrücken, kreisfreie Stadt;34193
07331;Alzey-Worms, Landkreis;129687
07332;Bad Dürkheim, Landkreis;132671
07333;Donnersbergkreis;75325
07334;Germersheim, Landkreis;129013
07335;Kaiserslautern, Landkreis;105979
07336;Kusel, Landkreis;70219
07337;Südliche Weinstraße, Landkreis;110521
07338;Rhein-Pfalz-Kreis;154609
07339;Mainz-Bingen, Landkreis;211417
07340;Südwestpfalz, Landkreis;94831
08111;Stuttgart, kreisfreie Stadt;635911
08115;Böblingen, Landkreis;392807
08116;Esslingen, Landkreis;535024
08117;Göppingen, Landkreis;258145
08118;Ludwigsburg, Landkreis;545423
08119;Rems-Murr-Kreis;427248
08121;Heilbronn, kreisfreie Stadt;126592
08125;Heilbronn, Landkreis;344456
08126;Hohenlohekreis;112655
08127;Schwäbisch Hall, Landkreis;196761
08128;Main-Tauber-Kreis;132399
08135;Heidenheim, Landkreis;132777
08136;Ostalbkreis;314025
08211;Baden-Baden, kreisfreie Stadt;55185
08212;Karlsruhe, kreisfreie Stadt;312060
08215;Karlsruhe, Landkreis;445101
08216;Rastatt, Landkreis;231420
08221;Heidelberg, kreisfreie Stadt;161485
08222;Mannheim, kreisfreie Stadt;310658
08225;Neckar-Odenwald-Kreis;143633
08226;Rhein-Neckar-Kreis;548355
08231;Pforzheim, kreisfreie Stadt;125957
08235;Calw, Landkreis;159201
08236;Enzkreis;199556
08237;Freudenstadt, Landkreis;118243
08311;Freiburg im Breisgau, kreisfreie Stadt;231195
08315;Breisgau-Hochschwarzwald, Landkreis;263601
08316;Emmendingen, Landkreis;166408
08317;Ortenaukreis;430953
08325;Rottweil, Landkreis;139878
08326;Schwarzwald-Baar-Kreis;212506
08327;Tuttlingen, Landkreis;140766
08335;Konstanz, Landkreis;286305
08336;Lörrach, Landkreis;228736
08337;Waldshut, Landkreis;171003
08415;Reutlingen, Landkreis;287034
