Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2024-04-04,01001,SK Flensburg,1,1.097538221768573
2024-04-04,01002,SK Kiel,1,0.4061029146006181
2024-04-04,01003,SK Lübeck,3,1.3871100486875627
2024-04-04,01004,SK Neumünster,0,0.0
2024-04-04,01051,LK Dithmarschen,0,0.0
2024-04-04,01053,LK Herzogtum Lauenburg,1,0.497960850317948
2024-04-04,01054,LK Nordfriesland,2,1.1936022917164002
2024-04-04,01055,LK Ostholstein,1,0.4950151969665469
2024-04-04,01056,LK Pinneberg,1,0.3141433624648945
2024-04-04,01057,LK Plön,1,0.7710873102161357
2024-04-04,01058,LK Rendsburg-Eckernförde,1,0.36224927821831315
2024-04-04,01059,LK Schleswig-Flensburg,1,0.4906795420978513
2024-04-04,01060,LK Segeberg,1,0.3566333808844508
2024-04-04,01061,LK Steinburg,1,0.7642747414840687
2024-04-04,01062,LK Stormarn,3,1.2224639984352461
2024-04-04,02000,SK Hamburg,24,1.2945437677156966
2024-04-04,03101,SK Braunschweig,3,1.2056763241340231
2024-04-04,03102,SK Salzgitter,0,0.0
2024-04-04,03103,SK Wolfsburg,0,0.0
2024-04-04,03151,LK Gifhorn,0,0.0
2024-04-04,03153,LK Goslar,4,2.9839612085042897
2024-04-04,03154,LK Helmstedt,0,0.0
2024-04-04,03155,LK Northeim,0,0.0
2024-04-04,03157,LK Peine,0,0.0
2024-04-04,03158,LK Wolfenbüttel,0,0.0
2024-04-04,03159,LK Göttingen,10,3.089652444996462
2024-04-04,03241,Region Hannover,11,0.9502903136908326
2024-04-04,03251,LK Diepholz,0,0.0
2024-04-04,03252,LK Hameln-Pyrmont,0,0.0
2024-04-04,03254,LK Hildesheim,2,0.7278735538062328
2024-04-04,03255,LK Holzminden,0,0.0
2024-04-04,03256,LK Nienburg (Weser),0,0.0
2024-04-04,03257,LK Schaumburg,1,0.6324790649429504
2024-04-04,03351,LK Celle,1,0.5558180251785565
2024-04-04,03352,LK Cuxhaven,0,0.0
2024-04-04,03353,LK Harburg,0,0.0
2024-04-04,03354,LK Lüchow-Dannenberg,1,2.063046707377455
2024-04-04,03355,LK Lüneburg,0,0.0
2024-04-04,03356,LK Osterholz,0,0.0
2024-04-04,03357,LK Rotenburg (Wümme),1,0.6060569329882849
2024-04-04,03358,LK Heidekreis,0,0.0
2024-04-04,03359,LK Stade,0,0.0
2024-04-04,03360,LK Uelzen,0,0.0
2024-04-04,03361,LK Verden,1,0.7219851704245994
2024-04-04,03401,SK Delmenhorst,0,0.0
2024-04-04,03402,SK Emden,0,0.0
2024-04-04,03403,SK Oldenburg,0,0.0
2024-04-04,03404,SK Osnabrück,1,0.6059357465734334
2024-04-04,03405,SK Wilhelmshaven,0,0.0
2024-04-04,03451,LK Ammerland,2,1.5813401858074718
2024-04-04,03452,LK Aurich,2,1.0502822633582776
2024-04-04,03453,LK Cloppenburg,1,0.5747787101965743
2024-04-04,03454,LK Emsland,3,0.9052586474832301
2024-04-04,03455,LK Friesland,0,0.0
2024-04-04,03456,LK Grafschaft Bentheim,0,0.0
2024-04-04,03457,LK Leer,0,0.0
2024-04-04,03458,LK Oldenburg,0,0.0
2024-04-04,03459,LK Osnabrück,3,0.8297607523164154
2024-04-04,03460,LK Vechta,1,0.6905838886778771
2024-04-04,03461,LK Wesermarsch,0,0.0
2024-04-04,03462,LK Wittmund,0,0.0
2024-04-04,04011,SK Bremen,1,0.17752844893394165
2024-04-04,04012,SK Bremerhaven,0,0.0
2024-04-04,05111,SK Düsseldorf,5,0.807132468194945
2024-04-04,05112,SK Duisburg,9,1.81762367919346
2024-04-04,05113,SK Essen,1,0.17258280522994932
2024-04-04,05114,SK Krefeld,4,1.7617264919621227
2024-04-04,05116,SK Mönchengladbach,0,0.0
2024-04-04,05117,SK Mülheim a.d.Ruhr,0,0.0
