Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-08-09,00,Bundesgebiet,317245,381.5102900989839
2022-08-09,01,Schleswig-Holstein,10428,358.2427964100142
2022-08-09,02,Hamburg,5021,271.0423551588737
2022-08-09,03,Niedersachsen,32126,401.4033498925022
2022-08-09,04,Bremen,2493,366.54757178774645
2022-08-09,05,Nordrhein-Westfalen,73108,407.8419821517531
2022-08-09,06,Hessen,30457,483.970358901117
2022-08-09,07,Rheinland-Pfalz,14645,357.33535428903684
2022-08-09,08,Baden-Württemberg,43162,388.7402759765949
2022-08-09,09,Bayern,50287,382.69634448774417
2022-08-09,10,Saarland,4396,446.7520536265067
2022-08-09,11,Berlin,10827,295.48962797836737
2022-08-09,12,Brandenburg,8924,352.5780193443803
2022-08-09,13,Mecklenburg-Vorpommern,6808,422.65395393767216
2022-08-09,14,Sachsen,13040,321.42444270202594
2022-08-09,15,Sachsen-Anhalt,6765,310.2237646536591
2022-08-09,16,Thüringen,4758,224.40887504557276
