Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-11-07,00,Bundesgebiet,216564,260.17717767375046
2022-11-07,01,Schleswig-Holstein,8139,278.5416178274849
2022-11-07,02,Hamburg,4264,229.99727606415544
2022-11-07,03,Niedersachsen,28861,359.54763348989184
2022-11-07,04,Bremen,2428,358.9257653411938
2022-11-07,05,Nordrhein-Westfalen,56371,314.48974205324964
2022-11-07,06,Hessen,18828,299.09371174057196
2022-11-07,07,Rheinland-Pfalz,9981,243.05458317758377
2022-11-07,08,Baden-Württemberg,20559,184.8059470138455
2022-11-07,09,Bayern,24377,184.9967393916774
2022-11-07,10,Saarland,2817,286.7619214372096
2022-11-07,11,Berlin,8079,219.6889602422534
2022-11-07,12,Brandenburg,7818,308.05384677217256
2022-11-07,13,Mecklenburg-Vorpommern,6239,387.2365252364756
2022-11-07,14,Sachsen,8387,207.44486398967896
2022-11-07,15,Sachsen-Anhalt,5566,256.58602293047426
2022-11-07,16,Thüringen,3850,182.5628312507735
