Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-12-12,00,Bundesgebiet,175440,210.77133803902214
2022-12-12,01,Schleswig-Holstein,7965,272.5868025550949
2022-12-12,02,Hamburg,3506,189.11126873380135
2022-12-12,03,Niedersachsen,32853,409.27959540706894
2022-12-12,04,Bremen,2507,370.60415721185046
2022-12-12,05,Nordrhein-Westfalen,41512,231.59245307187203
2022-12-12,06,Hessen,10804,171.62781291932967
2022-12-12,07,Rheinland-Pfalz,6274,152.78273267770368
2022-12-12,08,Baden-Württemberg,15013,134.95265735292875
2022-12-12,09,Bayern,14915,113.18974311961556
2022-12-12,10,Saarland,2224,226.39634834091382
2022-12-12,11,Berlin,8644,235.05277538482957
2022-12-12,12,Brandenburg,8876,349.74238218851417
2022-12-12,13,Mecklenburg-Vorpommern,5857,363.5268998733831
2022-12-12,14,Sachsen,7202,178.1349601113232
2022-12-12,15,Sachsen-Anhalt,4913,226.48349454858422
2022-12-12,16,Thüringen,2375,112.61992836898366
