Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2023-07-07,01001,SK Flensburg,1,1.097538221768573
2023-07-07,01002,SK Kiel,2,0.8122058292012362
2023-07-07,01003,SK Lübeck,0,0.0
2023-07-07,01004,SK Neumünster,0,0.0
2023-07-07,01051,LK Dithmarschen,4,2.985765363628899
2023-07-07,01053,LK Herzogtum Lauenburg,2,0.995921700635896
2023-07-07,01054,LK Nordfriesland,0,0.0
2023-07-07,01055,LK Ostholstein,3,1.4850455908996405
2023-07-07,01056,LK Pinneberg,3,0.9424300873946834
2023-07-07,01057,LK Plön,2,1.5421746204322715
2023-07-07,01058,LK Rendsburg-Eckernförde,1,0.36224927821831315
2023-07-07,01059,LK Schleswig-Flensburg,1,0.4906795420978513
2023-07-07,01060,LK Segeberg,6,2.1398002853067046
2023-07-07,01061,LK Steinburg,3,2.292824224452206
2023-07-07,01062,LK Stormarn,2,0.8149759989568306
2023-07-07,02000,SK Hamburg,29,1.5642403859898002
2023-07-07,03101,SK Braunschweig,3,1.2056763241340231
2023-07-07,03102,SK Salzgitter,0,0.0
2023-07-07,03103,SK Wolfsburg,1,0.80678343512251
2023-07-07,03151,LK Gifhorn,0,0.0
2023-07-07,03153,LK Goslar,1,0.7459903021260724
2023-07-07,03154,LK Helmstedt,0,0.0
2023-07-07,03155,LK Northeim,0,0.0
2023-07-07,03157,LK Peine,3,2.1904205607476634
2023-07-07,03158,LK Wolfenbüttel,0,0.0
2023-07-07,03159,LK Göttingen,3,0.9268957334989387
2023-07-07,03241,Region Hannover,13,1.1230703707255294
2023-07-07,03251,LK Diepholz,4,1.827827763789818
2023-07-07,03252,LK Hameln-Pyrmont,0,0.0
2023-07-07,03254,LK Hildesheim,3,1.0918103307093492
2023-07-07,03255,LK Holzminden,0,0.0
2023-07-07,03256,LK Nienburg (Weser),0,0.0
2023-07-07,03257,LK Schaumburg,1,0.6324790649429504
2023-07-07,03351,LK Celle,8,4.446544201428452
2023-07-07,03352,LK Cuxhaven,2,1.0019889480619029
2023-07-07,03353,LK Harburg,1,0.3882771366890832
2023-07-07,03354,LK Lüchow-Dannenberg,0,0.0
