Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2023-07-05,01001,SK Flensburg,2,2.195076443537146
2023-07-05,01002,SK Kiel,5,2.0305145730030905
2023-07-05,01003,SK Lübeck,2,0.9247400324583751
2023-07-05,01004,SK Neumünster,1,1.2579249270403543
2023-07-05,01051,LK Dithmarschen,3,2.2393240227216746
2023-07-05,01053,LK Herzogtum Lauenburg,3,1.493882550953844
2023-07-05,01054,LK Nordfriesland,0,0.0
2023-07-05,01055,LK Ostholstein,2,0.9900303939330938
2023-07-05,01056,LK Pinneberg,3,0.9424300873946834
2023-07-05,01057,LK Plön,3,2.3132619306484075
2023-07-05,01058,LK Rendsburg-Eckernförde,1,0.36224927821831315
2023-07-05,01059,LK Schleswig-Flensburg,1,0.4906795420978513
2023-07-05,01060,LK Segeberg,6,2.1398002853067046
2023-07-05,01061,LK Steinburg,4,3.057098965936275
2023-07-05,01062,LK Stormarn,2,0.8149759989568306
2023-07-05,02000,SK Hamburg,33,1.7799976806090827
2023-07-05,03101,SK Braunschweig,2,0.8037842160893486
2023-07-05,03102,SK Salzgitter,0,0.0
2023-07-05,03103,SK Wolfsburg,2,1.61356687024502
2023-07-05,03151,LK Gifhorn,1,0.562053518736054
2023-07-05,03153,LK Goslar,0,0.0
2023-07-05,03154,LK Helmstedt,0,0.0
2023-07-05,03155,LK Northeim,0,0.0
2023-07-05,03157,LK Peine,3,2.1904205607476634
2023-07-05,03158,LK Wolfenbüttel,0,0.0
2023-07-05,03159,LK Göttingen,2,0.6179304889992925
2023-07-05,03241,Region Hannover,16,1.3822404562775747
2023-07-05,03251,LK Diepholz,4,1.827827763789818
2023-07-05,03252,LK Hameln-Pyrmont,0,0.0
2023-07-05,03254,LK Hildesheim,2,0.7278735538062328
2023-07-05,03255,LK Holzminden,0,0.0
2023-07-05,03256,LK Nienburg (Weser),0,0.0
2023-07-05,03257,LK Schaumburg,1,0.6324790649429504
2023-07-05,03351,LK Celle,5,2.7790901258927825
2023-07-05,03352,LK Cuxhaven,0,0.0
2023-07-05,03353,LK Harburg,0,0.0
2023-07-05,03354,LK Lüchow-Dannenberg,0,0.0
2023-07-05,03355,LK Lüneburg,0,0.0
2023-07-05,03356,LK Osterholz,0,0.0
2023-07-05,03357,LK Rotenburg (Wümme),2,1.2121138659765698
2023-07-05,03358,LK Heidekreis,1,0.699731303179579
2023-07-05,03359,LK Stade,0,0.0
2023-07-05,03360,LK Uelzen,4,4.3059831636058306
2023-07-05,03361,LK Verden,7,5.053896192972196
2023-07-05,03401,SK Delmenhorst,1,1.2899563994736978
2023-07-05,03402,SK Emden,1,2.0192637764271146
2023-07-05,03403,SK Oldenburg,3,1.7606770390107342
2023-07-05,03404,SK Osnabrück,0,0.0
2023-07-05,03405,SK Wilhelmshaven,4,5.331414024284591
2023-07-05,03451,LK Ammerland,0,0.0
2023-07-05,03452,LK Aurich,4,2.100564526716555
2023-07-05,03453,LK Cloppenburg,3,1.724336130589723
2023-07-05,03454,LK Emsland,1,0.30175288249441
2023-07-05,03455,LK Friesland,1,1.0103969849753969
2023-07-05,03456,LK Grafschaft Bentheim,1,0.7208661928172893
2023-07-05,03457,LK Leer,0,0.0
2023-07-05,03458,LK Oldenburg,0,0.0
2023-07-05,03459,LK Osnabrück,1,0.27658691743880515
2023-07-05,03460,LK Vechta,0,0.0
2023-07-05,03461,LK Wesermarsch,0,0.0
2023-07-05,03462,LK Wittmund,0,0.0
2023-07-05,04011,SK Bremen,1,0.17752844893394165
2023-07-05,04012,SK Bremerhaven,2,1.7672059590184939
2023-07-05,05111,SK Düsseldorf,12,1.9371179236678682
2023-07-05,05112,SK Duisburg,4,0.8078327463082045
2023-07-05,05113,SK Essen,31,5.350066962128429
2023-07-05,05114,SK Krefeld,5,2.202158114952654
2023-07-05,05116,SK Mönchengladbach,0,0.0
2023-07-05,05117,SK Mülheim a.d.Ruhr,3,1.7570678052466044
2023-07-05,05119,SK Oberhausen,0,0.0
2023-07-05,05120,SK Remscheid,1,0.8946944618412811
2023-07-05,05122,SK Solingen,1,0.6291009518297401
2023-07-05,05124,SK Wuppertal,2,0.5640603318930992
2023-07-05,05154,LK Kleve,0,0.0
2023-07-05,05158,LK Mettmann,11,2.270798970295885
2023-07-05,05162,LK Rhein-Kreis Neuss,5,1.1049821434885612
2023-07-05,05166,LK Viersen,1,0.3347157092123805
2023-07-05,05170,LK Wesel,3,0.651560596221383
2023-07-05,05314,SK Bonn,2,0.6026183768474019
2023-07-05,05315,SK Köln,12,1.1182596897202113
2023-07-05,05316,SK Leverkusen,2,1.2206211741155075
2023-07-05,05334,StädteRegion Aachen,3,0.5389160243087054
2023-07-05,05358,LK Düren,2,0.749706677262521
2023-07-05,05362,LK Rhein-Erft-Kreis,8,1.6953067551616792
2023-07-05,05366,LK Euskirchen,0,0.0
2023-07-05,05370,LK Heinsberg,2,0.7742754717273311
2023-07-05,05374,LK Oberbergischer Kreis,1,0.3681600465354299
2023-07-05,05378,LK Rheinisch-Bergischer Kreis,4,1.4112881885763278
2023-07-05,05382,LK Rhein-Sieg-Kreis,8,1.3317086487818195
2023-07-05,05512,SK Bottrop,2,1.7048699610437212
2023-07-05,05513,SK Gelsenkirchen,2,0.7688581687336137
2023-07-05,05515,SK Münster,4,1.2589979006210008
2023-07-05,05554,LK Borken,4,1.0707153984935036
2023-07-05,05558,LK Coesfeld,2,0.9035382558097509
2023-07-05,05562,LK Recklinghausen,8,1.3054808983666801
2023-07-05,05566,LK Steinfurt,8,1.7770827409724195
2023-07-05,05570,LK Warendorf,5,1.7974232140802946
2023-07-05,05711,SK Bielefeld,6,1.7963964287638996
2023-07-05,05754,LK Gütersloh,2,0.5462928566746061
2023-07-05,05758,LK Herford,0,0.0
2023-07-05,05762,LK Höxter,0,0.0
2023-07-05,05766,LK Lippe,4,1.1555650568682454
2023-07-05,05770,LK Minden-Lübbecke,0,0.0
2023-07-05,05774,LK Paderborn,3,0.969681298080031
2023-07-05,05911,SK Bochum,10,2.75147823167997
2023-07-05,05913,SK Dortmund,4,0.6816028572791777
2023-07-05,05914,SK Hagen,1,0.5299051999597273
2023-07-05,05915,SK Hamm,3,1.6737522177216884
2023-07-05,05916,SK Herne,3,1.9154519508878118
2023-07-05,05954,LK Ennepe-Ruhr-Kreis,8,2.4833691869759704
2023-07-05,05958,LK Hochsauerlandkreis,2,0.7733503470409683
2023-07-05,05962,LK Märkischer Kreis,1,0.2458252723129454
2023-07-05,05966,LK Olpe,0,0.0
2023-07-05,05970,LK Siegen-Wittgenstein,5,1.8225426657238046
2023-07-05,05974,LK Soest,4,1.3231976394154112
2023-07-05,05978,LK Unna,2,0.5088242851654824
2023-07-05,06411,SK Darmstadt,4,2.5057789527096865
2023-07-05,06412,SK Frankfurt am Main,18,2.3708418068975687
2023-07-05,06413,SK Offenbach,2,1.523287253893903
