Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-12-18,00,Bundesgebiet,201104,241.60373441062185
2022-12-18,01,Schleswig-Holstein,9001,308.0419095792102
2022-12-18,02,Hamburg,3661,197.47186390029853
2022-12-18,03,Niedersachsen,35128,437.62133222109145
2022-12-18,04,Bremen,3117,460.77908178274345
2022-12-18,05,Nordrhein-Westfalen,55942,312.09638200391856
2022-12-18,06,Hessen,13141,208.7524148068226
2022-12-18,07,Rheinland-Pfalz,7458,181.61517697008512
2022-12-18,08,Baden-Württemberg,15820,142.20682337463083
2022-12-18,09,Bayern,15838,120.19437824528805
2022-12-18,10,Saarland,2183,222.2226746529743
2022-12-18,11,Berlin,10703,291.0423247274215
2022-12-18,12,Brandenburg,8651,340.87667286084223
2022-12-18,13,Mecklenburg-Vorpommern,6069,376.68512127907843
2022-12-18,14,Sachsen,6979,172.6192566810504
2022-12-18,15,Sachsen-Anhalt,4946,228.00475555410088
2022-12-18,16,Thüringen,2467,116.98246875211902
