Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-08-22,00,Bundesgebiet,234668,282.20541460684444
2022-08-22,01,Schleswig-Holstein,9463,325.09125263022287
2022-08-22,02,Hamburg,3677,198.49088626153724
2022-08-22,03,Niedersachsen,25859,323.0993346470216
2022-08-22,04,Bremen,2256,331.7012923999824
2022-08-22,05,Nordrhein-Westfalen,63892,356.4293910877032
2022-08-22,06,Hessen,21010,333.854852431706
2022-08-22,07,Rheinland-Pfalz,11414,278.49953798942073
2022-08-22,08,Baden-Württemberg,22481,202.47602391524558
2022-08-22,09,Bayern,29322,223.14757716844582
2022-08-22,10,Saarland,3018,306.71012234868004
2022-08-22,11,Berlin,7468,203.81606555301073
2022-08-22,12,Brandenburg,8142,321.6820073399758
2022-08-22,13,Mecklenburg-Vorpommern,6097,378.5136834838407
2022-08-22,14,Sachsen,10533,259.6291146457392
2022-08-22,15,Sachsen-Anhalt,6036,276.7938866887637
2022-08-22,16,Thüringen,4000,188.65815472515573
