Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-09-19,00,Bundesgebiet,202335,243.3226198905512
2022-09-19,01,Schleswig-Holstein,6402,219.9338686820973
2022-09-19,02,Hamburg,2504,135.1702962194423
2022-09-19,03,Niedersachsen,23601,294.8863992035406
2022-09-19,04,Bremen,2275,334.49487597959217
2022-09-19,05,Nordrhein-Westfalen,37286,208.00454323070338
2022-09-19,06,Hessen,18584,295.30502511141475
2022-09-19,07,Rheinland-Pfalz,12529,305.70533655768816
2022-09-19,08,Baden-Württemberg,19757,177.94220917634922
2022-09-19,09,Bayern,35796,272.41629739859786
2022-09-19,10,Saarland,3496,355.28780242908726
2022-09-19,11,Berlin,7483,204.22544436705667
2022-09-19,12,Brandenburg,7649,302.20408672850346
2022-09-19,13,Mecklenburg-Vorpommern,5312,329.7793483132954
2022-09-19,14,Sachsen,10050,247.72359272663812
2022-09-19,15,Sachsen-Anhalt,4916,225.43385469880093
2022-09-19,16,Thüringen,4695,221.43750910865154
