Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-08-14,00,Bundesgebiet,271283,326.2376271617288
2022-08-14,01,Schleswig-Holstein,10753,369.40782410787136
2022-08-14,02,Hamburg,4608,248.7478933622963
2022-08-14,03,Niedersachsen,27936,349.05073717851405
2022-08-14,04,Bremen,2405,353.6088688927117
2022-08-14,05,Nordrhein-Westfalen,66998,373.75659462990575
2022-08-14,06,Hessen,24178,384.1952699711464
2022-08-14,07,Rheinland-Pfalz,13958,340.5726783998891
2022-08-14,08,Baden-Württemberg,29829,268.6560792388177
2022-08-14,09,Bayern,39672,301.91360348634413
2022-08-14,10,Saarland,3562,361.99518085023135
2022-08-14,11,Berlin,10409,284.0816050269535
2022-08-14,12,Brandenburg,8662,342.22667005390207
2022-08-14,13,Mecklenburg-Vorpommern,6424,398.81448297526526
2022-08-14,14,Sachsen,11347,279.6934932009117
2022-08-14,15,Sachsen-Anhalt,6258,286.97417874391704
2022-08-14,16,Thüringen,4284,202.05288371064177
