Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-09-16,00,Bundesgebiet,207765,249.85259160086176
2022-09-16,01,Schleswig-Holstein,6793,233.3662558509039
2022-09-16,02,Hamburg,2943,158.86828345599784
2022-09-16,03,Niedersachsen,24543,306.6563660714587
2022-09-16,04,Bremen,2295,337.4354902739182
2022-09-16,05,Nordrhein-Westfalen,40646,226.74871705613828
2022-09-16,06,Hessen,18466,293.4299716803371
2022-09-16,07,Rheinland-Pfalz,11945,291.4558420609454
2022-09-16,08,Baden-Württemberg,20222,182.13025023860575
2022-09-16,09,Bayern,36145,275.07227258554923
2022-09-16,10,Saarland,3372,342.6860611529984
2022-09-16,11,Berlin,7687,209.79299623808163
2022-09-16,12,Brandenburg,7630,301.45341636011
2022-09-16,13,Mecklenburg-Vorpommern,5411,335.9254619207909
2022-09-16,14,Sachsen,10045,247.6003471581174
2022-09-16,15,Sachsen-Anhalt,4958,227.3598558984245
2022-09-16,16,Thüringen,4664,219.97540840953158
