Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-12-10,00,Bundesgebiet,185846,223.27297132466998
2022-12-10,01,Schleswig-Holstein,8284,283.5039638878099
2022-12-10,02,Hamburg,3954,213.27608573116103
2022-12-10,03,Niedersachsen,35120,437.5216689707564
2022-12-10,04,Bremen,2542,375.77812829378695
2022-12-10,05,Nordrhein-Westfalen,45523,253.96953269393984
2022-12-10,06,Hessen,11428,181.54041522048314
2022-12-10,07,Rheinland-Pfalz,6497,158.2131677091235
2022-12-10,08,Baden-Württemberg,15882,142.76414467989173
2022-12-10,09,Bayern,15364,116.5971983432634
2022-12-10,10,Saarland,2224,226.39634834091382
2022-12-10,11,Berlin,8667,235.6782050278017
2022-12-10,12,Brandenburg,9091,358.2140599905117
2022-12-10,13,Mecklenburg-Vorpommern,6054,375.7541150475434
2022-12-10,14,Sachsen,7654,189.3147715484682
2022-12-10,15,Sachsen-Anhalt,5033,232.01535275046297
2022-12-10,16,Thüringen,2529,119.92244161901459
