Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2023-02-14,01001,SK Flensburg,53,58.16952575373437
2023-02-14,01002,SK Kiel,169,68.63139256750446
2023-02-14,01003,SK Lübeck,72,33.29064116850151
2023-02-14,01004,SK Neumünster,48,60.38039649793701
2023-02-14,01051,LK Dithmarschen,66,49.26512849987684
2023-02-14,01053,LK Herzogtum Lauenburg,74,36.84910292352816
2023-02-14,01054,LK Nordfriesland,121,72.21293864884221
2023-02-14,01055,LK Ostholstein,62,30.690942211925904
2023-02-14,01056,LK Pinneberg,113,35.49819995853308
2023-02-14,01057,LK Plön,72,55.518286335561776
2023-02-14,01058,LK Rendsburg-Eckernförde,185,67.01611647038793
2023-02-14,01059,LK Schleswig-Flensburg,128,62.80698138852497
2023-02-14,01060,LK Segeberg,192,68.47360912981455
2023-02-14,01061,LK Steinburg,103,78.72029837285908
2023-02-14,01062,LK Stormarn,56,22.81932797079126
2023-02-14,02000,SK Hamburg,654,35.27631767025273
2023-02-14,03101,SK Braunschweig,235,94.44464539049847
2023-02-14,03102,SK Salzgitter,121,116.6894902308716
2023-02-14,03103,SK Wolfsburg,124,100.04114595519124
2023-02-14,03151,LK Gifhorn,133,74.75311799189518
2023-02-14,03153,LK Goslar,103,76.83700111898546
2023-02-14,03154,LK Helmstedt,68,74.41534707099005
2023-02-14,03155,LK Northeim,203,154.06215611125867
2023-02-14,03157,LK Peine,103,75.20443925233646
2023-02-14,03158,LK Wolfenbüttel,124,104.0059048513722
2023-02-14,03159,LK Göttingen,426,131.6191941568493
2023-02-14,03241,Region Hannover,1119,96.67044191091288
2023-02-14,03251,LK Diepholz,189,86.36486183906891
2023-02-14,03252,LK Hameln-Pyrmont,159,106.73791478420814
2023-02-14,03254,LK Hildesheim,348,126.64999836228449
2023-02-14,03255,LK Holzminden,69,98.76613895966334
2023-02-14,03256,LK Nienburg (Weser),155,127.28601578346596
2023-02-14,03257,LK Schaumburg,190,120.17102233916057
2023-02-14,03351,LK Celle,162,90.04252007892616
2023-02-14,03352,LK Cuxhaven,192,96.19093901394268
2023-02-14,03353,LK Harburg,171,66.39539037383322
2023-02-14,03354,LK Lüchow-Dannenberg,52,107.27842878362766
2023-02-14,03355,LK Lüneburg,130,70.22130514398069
2023-02-14,03356,LK Osterholz,125,108.64463643158865
2023-02-14,03357,LK Rotenburg (Wümme),66,39.9997575772268
2023-02-14,03358,LK Heidekreis,119,83.2680250783699
2023-02-14,03359,LK Stade,132,63.92375639237564
2023-02-14,03360,LK Uelzen,85,91.50214222662389
2023-02-14,03361,LK Verden,89,64.25668016778936
2023-02-14,03401,SK Delmenhorst,79,101.90655555842211
2023-02-14,03402,SK Emden,16,32.308220422833834
