Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-12-06,00,Bundesgebiet,169968,204.1973482889678
2022-12-06,01,Schleswig-Holstein,7281,249.17821838087204
2022-12-06,02,Hamburg,3751,202.3264030292324
2022-12-06,03,Niedersachsen,31656,394.36748157569093
2022-12-06,04,Bremen,2139,316.20354697891827
2022-12-06,05,Nordrhein-Westfalen,41883,233.66223530567586
2022-12-06,06,Hessen,10316,163.87564958124815
2022-12-06,07,Rheinland-Pfalz,5517,134.34847564279426
2022-12-06,08,Baden-Württemberg,14427,129.68507211288238
2022-12-06,09,Bayern,14219,107.90780807360468
2022-12-06,10,Saarland,2061,209.80345050837383
2022-12-06,11,Berlin,7984,217.10566389084676
2022-12-06,12,Brandenburg,8392,330.67125634587774
2022-12-06,13,Mecklenburg-Vorpommern,5483,340.3138111671094
2022-12-06,14,Sachsen,7077,175.04319809883842
2022-12-06,15,Sachsen-Anhalt,5348,246.53648053039458
2022-12-06,16,Thüringen,2434,115.41764448425526
