Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-08-24,00,Bundesgebiet,228933,275.30865811354215
2022-08-24,01,Schleswig-Holstein,8573,294.51625370378326
2022-08-24,02,Hamburg,3584,193.4705837262305
2022-08-24,03,Niedersachsen,25358,316.83951150389316
2022-08-24,04,Bremen,2000,294.06142943260846
2022-08-24,05,Nordrhein-Westfalen,64021,357.149033475644
2022-08-24,06,Hessen,19330,307.15917646382087
2022-08-24,07,Rheinland-Pfalz,10520,256.6860994961193
2022-08-24,08,Baden-Württemberg,21044,189.53362605188505
2022-08-24,09,Bayern,33649,256.0771033401894
2022-08-24,10,Saarland,3437,349.2918126283675
2022-08-24,11,Berlin,5919,161.5408800225322
2022-08-24,12,Brandenburg,7356,290.6279594685412
2022-08-24,13,Mecklenburg-Vorpommern,5579,346.35523046684386
2022-08-24,14,Sachsen,9622,237.17377206126486
2022-08-24,15,Sachsen-Anhalt,5010,229.74442881224422
2022-08-24,16,Thüringen,3931,185.4038015561468
