Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-12-07,00,Bundesgebiet,172903,207.7234191801245
2022-12-07,01,Schleswig-Holstein,7685,263.00434119722587
2022-12-07,02,Hamburg,3580,193.10277868425808
2022-12-07,03,Niedersachsen,32325,402.7018208849573
2022-12-07,04,Bremen,2167,320.34272384446746
2022-12-07,05,Nordrhein-Westfalen,42392,236.5019095833205
2022-12-07,06,Hessen,10705,170.05514043885825
2022-12-07,07,Rheinland-Pfalz,5598,136.32096549725617
2022-12-07,08,Baden-Württemberg,14715,132.27391946635225
2022-12-07,09,Bayern,14606,110.84474609487798
2022-12-07,10,Saarland,2047,208.37829363932133
2022-12-07,11,Berlin,8244,224.17573811574906
2022-12-07,12,Brandenburg,8564,337.4485985874758
2022-12-07,13,Mecklenburg-Vorpommern,5923,367.62332729213733
2022-12-07,14,Sachsen,6673,165.05062327448763
2022-12-07,15,Sachsen-Anhalt,5134,236.67133340371086
2022-12-07,16,Thüringen,2545,120.68114429434249
