Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-08-16,00,Bundesgebiet,260772,313.59738173869476
2022-08-16,01,Schleswig-Holstein,11375,390.7759694250011
2022-08-16,02,Hamburg,4618,249.28771083921106
2022-08-16,03,Niedersachsen,28042,350.37517081757915
2022-08-16,04,Bremen,2396,352.2855924602649
2022-08-16,05,Nordrhein-Westfalen,70361,392.5175043248276
2022-08-16,06,Hessen,23483,373.1515230677654
2022-08-16,07,Rheinland-Pfalz,13145,320.73562527343046
2022-08-16,08,Baden-Württemberg,28437,256.11897567180455
2022-08-16,09,Bayern,28274,215.1720413635031
2022-08-16,10,Saarland,2546,258.74220394292223
2022-08-16,11,Berlin,10739,293.0879389359644
2022-08-16,12,Brandenburg,9131,360.75637546319325
2022-08-16,13,Mecklenburg-Vorpommern,6434,399.435302531578
2022-08-16,14,Sachsen,11102,273.65446034339664
2022-08-16,15,Sachsen-Anhalt,6325,290.0466092290309
2022-08-16,16,Thüringen,4364,205.8260468051449
