Datenstand,IdLandkreis,Landkreis,incidence_7d
2023-11-08,05770,LK Minden-Lübbecke,26.991073666351774
2023-11-08,05774,LK Paderborn,6.141314887840196
2023-11-08,05911,SK Bochum,23.937860615615737
2023-11-08,05913,SK Dortmund,21.470490004294096
2023-11-08,05914,SK Hagen,28.084975597865544
2023-11-08,05915,SK Hamm,19.527109206753032
2023-11-08,05916,SK Herne,19.15451950887812
2023-11-08,05954,LK Ennepe-Ruhr-Kreis,6.5188441158119215
2023-11-08,05958,LK Hochsauerlandkreis,23.200510411229047
2023-11-08,05962,LK Märkischer Kreis,19.666021785035632
2023-11-08,05966,LK Olpe,0.0
2023-11-08,05970,LK Siegen-Wittgenstein,15.309358392079957
2023-11-08,05974,LK Soest,1.3231976394154112
2023-11-08,05978,LK Unna,20.607383549202034
2023-11-08,06411,SK Darmstadt,15.661118454435544
2023-11-08,06412,SK Frankfurt am Main,17.25445981686564
2023-11-08,06413,SK Offenbach,19.80273430062074
2023-11-08,06414,SK Wiesbaden,10.037641154328732
2023-11-08,06431,LK Bergstraße,12.169667288671883
2023-11-08,06432,LK Darmstadt-Dieburg,15.83024587403166
2023-11-08,06433,LK Groß-Gerau,13.028985874407814
2023-11-08,06434,LK Hochtaunuskreis,23.202737079239455
2023-11-08,06435,LK Main-Kinzig-Kreis,14.877262583684603
2023-11-08,06436,LK Main-Taunus-Kreis,20.896370718333642
2023-11-08,06437,LK Odenwaldkreis,11.345703588336617
2023-11-08,06438,LK Offenbach,11.749369170774283
2023-11-08,06439,LK Rheingau-Taunus-Kreis,5.34105293517564
2023-11-08,06440,LK Wetteraukreis,15.08048809443594
2023-11-08,06531,LK Gießen,14.65878024289599
2023-11-08,06532,LK Lahn-Dill-Kreis,15.787562558216637
2023-11-08,06533,LK Limburg-Weilburg,17.944072378284197
2023-11-08,06534,LK Marburg-Biedenkopf,17.066441281283396
2023-11-08,06535,LK Vogelsbergkreis,17.980335191301304
2023-11-08,06611,SK Kassel,19.460495194754646
2023-11-08,06631,LK Fulda,21.916876889771526
2023-11-08,06632,LK Hersfeld-Rotenburg,21.63727603338798
2023-11-08,06633,LK Kassel,17.70150209889239
2023-11-08,06634,LK Schwalm-Eder-Kreis,3.887765756559216
2023-11-08,06635,LK Waldeck-Frankenberg,20.445585989662202
2023-11-08,06636,LK Werra-Meißner-Kreis,17.04875945203281
2023-11-08,07111,SK Koblenz,18.479733891831955
2023-11-08,07131,LK Ahrweiler,7.023239117881167
2023-11-08,07132,LK Altenkirchen,16.246199549748184
2023-11-08,07133,LK Bad Kreuznach,15.683617520482803
2023-11-08,07134,LK Birkenfeld,7.421242068547539
2023-11-08,07135,LK Cochem-Zell,21.05774682109014
2023-11-08,07137,LK Mayen-Koblenz,9.74722204171811
2023-11-08,07138,LK Neuwied,24.404794186235698
2023-11-08,07140,LK Rhein-Hunsrück-Kreis,19.273950292482194
2023-11-08,07141,LK Rhein-Lahn-Kreis,14.667057788207686
2023-11-08,07143,LK Westerwaldkreis,9.812050178824615
2023-11-08,07211,SK Trier,15.37487564438817
2023-11-08,07231,LK Bernkastel-Wittlich,15.901902927717018
2023-11-08,07232,LK Bitburg-Prüm,27.73403064610386
2023-11-08,07233,LK Vulkaneifel,14.782694392431258
2023-11-08,07235,LK Trier-Saarburg,21.830161344737938
2023-11-08,07311,SK Frankenthal,8.201258893240112
2023-11-08,07312,SK Kaiserslautern,20.14260967650969
2023-11-08,07313,SK Landau i.d.Pfalz,6.393998167053859
2023-11-08,07314,SK Ludwigshafen,8.713584478201517
2023-11-08,07315,SK Mainz,16.547463641545164
2023-11-08,07316,SK Neustadt a.d.Weinstraße,63.56209455796303
2023-11-08,07317,SK Pirmasens,9.986518200429419
2023-11-08,07318,SK Speyer,9.888262632255513
2023-11-08,07319,SK Worms,36.97078115682767
2023-11-08,07320,SK Zweibrücken,26.399929600187733
2023-11-08,07331,LK Alzey-Worms,42.640676159293385
2023-11-08,07332,LK Bad Dürkheim,31.530111256249718
2023-11-08,07333,LK Donnersbergkreis,11.909645489552593
2023-11-08,07334,LK Germersheim,4.6399047272896
