Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2023-03-23,01001,SK Flensburg,19,20.853226213602888
2023-03-23,01002,SK Kiel,81,32.89433608265007
2023-03-23,01003,SK Lübeck,74,34.21538120095988
2023-03-23,01004,SK Neumünster,39,49.05907215457381
2023-03-23,01051,LK Dithmarschen,50,37.32206704536124
2023-03-23,01053,LK Herzogtum Lauenburg,51,25.39600336621535
2023-03-23,01054,LK Nordfriesland,66,39.3888756266412
2023-03-23,01055,LK Ostholstein,93,46.03641331788886
2023-03-23,01056,LK Pinneberg,71,22.304178735007508
2023-03-23,01057,LK Plön,51,39.32545282102292
2023-03-23,01058,LK Rendsburg-Eckernförde,127,46.00565833372577
2023-03-23,01059,LK Schleswig-Flensburg,74,36.310286115241
2023-03-23,01060,LK Segeberg,58,20.684736091298145
2023-03-23,01061,LK Steinburg,71,54.26350664536888
2023-03-23,01062,LK Stormarn,53,21.596863972356015
2023-03-23,02000,SK Hamburg,635,34.25147052081114
2023-03-23,03101,SK Braunschweig,120,48.22705296536092
2023-03-23,03102,SK Salzgitter,25,24.109398808031322
2023-03-23,03103,SK Wolfsburg,53,42.75952206149303
2023-03-23,03151,LK Gifhorn,48,26.978568899330597
2023-03-23,03153,LK Goslar,40,29.839612085042894
2023-03-23,03154,LK Helmstedt,47,51.43413694612548
2023-03-23,03155,LK Northeim,62,47.0534663985125
2023-03-23,03157,LK Peine,54,39.427570093457945
2023-03-23,03158,LK Wolfenbüttel,62,52.0029524256861
2023-03-23,03159,LK Göttingen,283,87.4371641933999
2023-03-23,03241,Region Hannover,727,62.805550732112295
2023-03-23,03251,LK Diepholz,112,51.1791773861149
2023-03-23,03252,LK Hameln-Pyrmont,52,34.907997287917134
2023-03-23,03254,LK Hildesheim,118,42.944539674567736
2023-03-23,03255,LK Holzminden,30,42.94179954767971
2023-03-23,03256,LK Nienburg (Weser),46,37.775204684125384
2023-03-23,03257,LK Schaumburg,112,70.83765527361044
2023-03-23,03351,LK Celle,147,81.70524970124781
2023-03-23,03352,LK Cuxhaven,69,34.568618708135645
2023-03-23,03353,LK Harburg,98,38.051159395530156
2023-03-23,03354,LK Lüchow-Dannenberg,29,59.82835451394619
2023-03-23,03355,LK Lüneburg,61,32.94999702909863
2023-03-23,03356,LK Osterholz,62,53.887739670067965
2023-03-23,03357,LK Rotenburg (Wümme),26,15.757480257695407
2023-03-23,03358,LK Heidekreis,64,44.782803403493055
2023-03-23,03359,LK Stade,50,24.213544088021074
2023-03-23,03360,LK Uelzen,63,67.81923482679183
2023-03-23,03361,LK Verden,46,33.211317839531574
2023-03-23,03401,SK Delmenhorst,31,39.988648383684634
2023-03-23,03402,SK Emden,16,32.308220422833834
2023-03-23,03403,SK Oldenburg,98,57.515449941017316
2023-03-23,03404,SK Osnabrück,68,41.20363076699347
2023-03-23,03405,SK Wilhelmshaven,22,29.32277713356525
2023-03-23,03451,LK Ammerland,52,41.114844830994265
2023-03-23,03452,LK Aurich,90,47.262701851122486
2023-03-23,03453,LK Cloppenburg,58,33.33716519140131
2023-03-23,03454,LK Emsland,152,45.866438139150326
2023-03-23,03455,LK Friesland,28,28.29111557931111
2023-03-23,03456,LK Grafschaft Bentheim,39,28.11378151987428
2023-03-23,03457,LK Leer,117,67.85716357056275
2023-03-23,03458,LK Oldenburg,42,31.796261668092452
2023-03-23,03459,LK Osnabrück,186,51.44516664361776
2023-03-23,03460,LK Vechta,29,20.026932771658437
2023-03-23,03461,LK Wesermarsch,18,20.355083116589395
2023-03-23,03462,LK Wittmund,31,53.95526934122356
2023-03-23,04011,SK Bremen,290,51.48325019084309
2023-03-23,04012,SK Bremerhaven,67,59.201399627119535
2023-03-23,05111,SK Düsseldorf,317,51.17219848355951
2023-03-23,05112,SK Duisburg,175,35.34268265098394
2023-03-23,05113,SK Essen,330,56.95232572588328
2023-03-23,05114,SK Krefeld,68,29.949350363356086
2023-03-23,05116,SK Mönchengladbach,76,29.118662380603908
2023-03-23,05117,SK Mülheim a.d.Ruhr,71,41.58393805750297
2023-03-23,05119,SK Oberhausen,89,42.63432206637541
2023-03-23,05120,SK Remscheid,48,42.9453341683815
2023-03-23,05122,SK Solingen,87,54.73178280918739
2023-03-23,05124,SK Wuppertal,238,67.12317949527882
2023-03-23,05154,LK Kleve,65,20.656166978098106
2023-03-23,05158,LK Mettmann,219,45.209543135890804
2023-03-23,05162,LK Rhein-Kreis Neuss,155,34.254446448145394
2023-03-23,05166,LK Viersen,114,38.15759085021138
2023-03-23,05170,LK Wesel,174,37.79051458084021
2023-03-23,05314,SK Bonn,85,25.611281016014587
2023-03-23,05315,SK Köln,390,36.34343991590687
2023-03-23,05316,SK Leverkusen,130,79.34037631750797
2023-03-23,05334,StädteRegion Aachen,276,49.58027423640091
2023-03-23,05358,LK Düren,88,32.98709379955093
2023-03-23,05362,LK Rhein-Erft-Kreis,172,36.44909523597611
2023-03-23,05366,LK Euskirchen,89,45.71111601892132
2023-03-23,05370,LK Heinsberg,118,45.682252831912535
2023-03-23,05374,LK Oberbergischer Kreis,88,32.39808409511783
2023-03-23,05378,LK Rheinisch-Bergischer Kreis,46,16.22981416862777
2023-03-23,05382,LK Rhein-Sieg-Kreis,165,27.466490881125026
2023-03-23,05512,SK Bottrop,45,38.35957412348373
2023-03-23,05513,SK Gelsenkirchen,107,41.13391202724833
2023-03-23,05515,SK Münster,108,33.99294331676702
2023-03-23,05554,LK Borken,170,45.505404435973894
2023-03-23,05558,LK Coesfeld,93,42.01452889515342
2023-03-23,05562,LK Recklinghausen,382,62.33671289700898
