Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-07,0,Bundesgebiet,26498361,139388,1750,2,166193,199.85922439256862
2022-06-07,1,Schleswig-Holstein,746855,2548,0,0,9137,313.8918710009877
2022-06-07,2,Hamburg,588027,2660,0,0,3540,191.09538682780578
2022-06-07,3,Niedersachsen,2389367,9382,0,0,21034,262.81261475561513
2022-06-07,4,Bremen,202299,778,0,0,1691,248.62893858527045
2022-06-07,5,Nordrhein-Westfalen,5326196,25468,1750,2,42360,236.31047715637496
2022-06-07,6,Hessen,1876968,10182,0,0,17311,275.07669445241606
2022-06-07,7,Rheinland-Pfalz,1160380,5690,0,0,7866,191.9289789578398
2022-06-07,8,Baden-Württemberg,3689281,16145,0,0,17102,154.02984569185222
2022-06-07,9,Bayern,4920800,24111,0,0,25314,192.64571886099304
2022-06-07,10,Saarland,317115,1696,0,0,1901,193.19282391810495
2022-06-07,11,Berlin,1054677,4618,0,0,5251,143.3098768370192
2022-06-07,12,Brandenburg,793126,5674,0,0,3139,124.01864665195089
2022-06-07,13,Mecklenburg-Vorpommern,489577,2235,0,0,2711,168.30418171636742
2022-06-07,14,Sachsen,1513344,15540,0,0,3999,98.57180570286823
2022-06-07,15,Sachsen-Anhalt,719046,5364,0,0,2410,110.5157831212592
2022-06-07,16,Thüringen,711303,7297,0,0,1427,67.3037966981993
