Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-26,1,1001,SK Flensburg,26133,73,120,0,425,472.56877265550287
2022-05-26,1,1002,SK Kiel,62648,221,156,1,1033,418.89530050567515
2022-05-26,1,1003,SK Lübeck,57279,137,154,0,961,445.2248362258277
2022-05-26,1,1004,SK Neumünster,20695,86,45,1,276,345.41017458231653
2022-05-26,1,1051,LK Dithmarschen,34613,104,66,0,442,331.704827731124
2022-05-26,1,1053,LK Herzogtum Lauenburg,49892,154,120,0,675,338.93709327548805
2022-05-26,1,1054,LK Nordfriesland,45304,147,106,0,781,467.25337577102783
2022-05-26,1,1055,LK Ostholstein,43643,118,107,1,680,337.4907562274489
2022-05-26,1,1056,LK Pinneberg,80428,477,286,0,1359,428.5917025403283
2022-05-26,1,1057,LK Plön,26576,65,74,0,651,503.27398668759133
2022-05-26,1,1058,LK Rendsburg-Eckernförde,66961,101,156,0,1246,453.478427019453
2022-05-26,1,1059,LK Schleswig-Flensburg,49411,124,104,0,956,471.75630529936296
2022-05-26,1,1060,LK Segeberg,74643,291,203,1,1165,419.05419647706714
2022-05-26,1,1061,LK Steinburg,30607,66,306,0,594,454.45503649411654
2022-05-26,1,1062,LK Stormarn,60555,373,174,1,1004,409.81431819387814
2022-05-26,2,2000,SK Hamburg,579767,2646,1171,3,4847,261.6495310605578
2022-05-26,3,3101,SK Braunschweig,66735,292,124,2,905,364.0957350509533
2022-05-26,3,3102,SK Salzgitter,34383,165,36,0,267,257.0619837097799
2022-05-26,3,3103,SK Wolfsburg,38398,192,10,0,257,207.52583979328165
2022-05-26,3,3151,LK Gifhorn,51696,333,82,3,454,256.1686424754693
2022-05-26,3,3153,LK Goslar,33693,207,49,0,343,254.66262770254218
2022-05-26,3,3154,LK Helmstedt,25552,142,25,0,203,221.81428789964818
2022-05-26,3,3155,LK Northeim,35680,139,40,1,404,306.59017090125366
2022-05-26,3,3157,LK Peine,41161,156,54,0,381,280.4687730043285
2022-05-26,3,3158,LK Wolfenbüttel,31389,128,74,0,409,342.6579871147192
2022-05-26,3,3159,LK Göttingen,75441,388,519,0,1008,311.20716270453846
2022-05-26,3,3241,Region Hannover,342018,1669,346,0,2918,252.56853020349163
2022-05-26,3,3251,LK Diepholz,63754,140,126,0,724,332.00044022157823
2022-05-26,3,3252,LK Hameln-Pyrmont,41412,120,239,-1,532,358.0562659846548
2022-05-26,3,3254,LK Hildesheim,76241,471,136,0,851,308.93329073853573
