Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-29,0,Bundesgebiet,26243352,138862,2713,8,163173,196.22745375442165
2022-05-29,1,Schleswig-Holstein,731882,2537,0,0,9426,323.82015716923604
2022-05-29,2,Hamburg,581330,2649,0,0,3764,203.18729831069518
2022-05-29,3,Niedersachsen,2352852,9276,0,0,19761,246.90691642986167
2022-05-29,4,Bremen,200057,774,51,0,1657,243.6298942849161
2022-05-29,5,Nordrhein-Westfalen,5262912,25377,2288,0,37445,208.89154431351417
2022-05-29,6,Hessen,1852117,10121,329,8,16975,269.73755925883904
2022-05-29,7,Rheinland-Pfalz,1147762,5677,0,0,7296,178.02108193190938
2022-05-29,8,Baden-Württemberg,3663242,16104,2,0,18590,167.43157709107314
2022-05-29,9,Bayern,4883786,24033,0,0,26475,201.48121224795727
2022-05-29,10,Saarland,314556,1677,0,0,1744,177.237393431444
2022-05-29,11,Berlin,1046995,4610,43,0,7354,200.7047865662615
2022-05-29,12,Brandenburg,788656,5662,0,0,2930,115.76127259962286
2022-05-29,13,Mecklenburg-Vorpommern,486010,2227,0,0,2500,155.20488907816988
2022-05-29,14,Sachsen,1506506,15514,0,0,3599,88.71216022121101
2022-05-29,15,Sachsen-Anhalt,715650,5346,0,0,2183,100.10620520900781
2022-05-29,16,Thüringen,709039,7278,0,0,1474,69.5205300162199
