Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-28,1,1001,23806,70,149,1,863,2022-04-28,2022-04-27,89934,959.5925901216447
2022-04-28,1,1002,56479,215,346,0,2551,2022-04-28,2022-04-27,246601,1034.4645804356023
2022-04-28,1,1003,51446,134,296,1,2534,2022-04-28,2022-04-27,215846,1173.9851560835039
2022-04-28,1,1004,18978,81,174,1,952,2022-04-28,2022-04-27,79905,1191.4148050810338
2022-04-28,1,1051,31130,98,266,1,1706,2022-04-28,2022-04-27,133251,1280.2905794327996
2022-04-28,1,1053,44172,151,545,0,1469,2022-04-28,2022-04-27,199152,737.627540772877
2022-04-28,1,1054,40281,137,347,0,2304,2022-04-28,2022-04-27,167147,1378.4273723129938
2022-04-28,1,1055,38321,116,483,0,3445,2022-04-28,2022-04-27,201487,1709.7877282405316
2022-04-28,1,1056,72417,469,497,2,2555,2022-04-28,2022-04-27,317085,805.7776306037814
2022-04-28,1,1057,23118,51,173,0,1246,2022-04-28,2022-04-27,129353,963.2555874235619
2022-04-28,1,1058,58800,98,529,0,3201,2022-04-28,2022-04-27,274765,1164.9955416446783
2022-04-28,1,1059,44065,116,273,0,2559,2022-04-28,2022-04-27,202647,1262.787013871412
2022-04-28,1,1060,65936,271,796,0,2832,2022-04-28,2022-04-27,278007,1018.6793857708619
2022-04-28,1,1061,22624,65,310,0,1524,2022-04-28,2022-04-27,130706,1165.9755481768243
2022-04-28,1,1062,54502,365,288,0,2658,2022-04-28,2022-04-27,244989,1084.9466710750278
2022-04-28,2,2000,537425,2521,5018,8,17260,2022-04-28,2022-04-27,1852478,931.7249651547819
2022-04-28,3,3101,60939,271,318,0,2595,2022-04-28,2022-04-27,248561,1044.0093176322914
2022-04-28,3,3102,32687,163,85,0,724,2022-04-28,2022-04-27,103866,697.0519708085418
2022-04-28,3,3103,35996,185,252,0,1695,2022-04-28,2022-04-27,123840,1368.7015503875969
2022-04-28,3,3151,48118,300,331,0,1954,2022-04-28,2022-04-27,177227,1102.540809244641
2022-04-28,3,3153,31154,187,205,0,1294,2022-04-28,2022-04-27,134688,960.7388928486578
2022-04-28,3,3154,23619,137,159,0,840,2022-04-28,2022-04-27,91518,917.8522257916476
2022-04-28,3,3155,32524,135,287,1,1896,2022-04-28,2022-04-27,131772,1438.8489208633093
2022-04-28,3,3157,38133,144,162,0,1240,2022-04-28,2022-04-27,135844,912.8117546597567
2022-04-28,3,3158,28783,123,175,0,1194,2022-04-28,2022-04-27,119361,1000.3267398899137
2022-04-28,3,3159,66801,379,625,0,2734,2022-04-28,2022-04-27,323900,844.0876813831429
2022-04-28,3,3241,320243,1563,1440,0,9420,2022-04-28,2022-04-27,1155330,815.3514580249798
2022-04-28,3,3251,57265,136,579,1,3757,2022-04-28,2022-04-27,218072,1722.8254888293773
2022-04-28,3,3252,38116,121,187,0,1320,2022-04-28,2022-04-27,148580,888.4102840220758
2022-04-28,3,3254,69956,430,196,3,2527,2022-04-28,2022-04-27,275464,917.3612522870502
2022-04-28,3,3255,17161,124,140,0,893,2022-04-28,2022-04-27,70207,1271.9529391656101
2022-04-28,3,3256,31699,183,313,0,2363,2022-04-28,2022-04-27,121645,1942.5377121953227
