Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-12-05,1,1001,3563,44,13,0,106,2021-12-05,2021-12-04
2021-12-05,1,1002,9339,124,53,0,394,2021-12-05,2021-12-04
2021-12-05,1,1003,8864,115,13,0,406,2021-12-05,2021-12-03
2021-12-05,1,1004,3265,27,20,0,101,2021-12-05,2021-12-04
2021-12-05,1,1051,3318,59,0,0,99,2021-12-05,2021-12-03
2021-12-05,1,1053,8200,125,0,0,367,2021-12-05,2021-12-03
2021-12-05,1,1054,4498,92,23,0,191,2021-12-05,2021-12-04
2021-12-05,1,1055,5082,90,0,0,267,2021-12-05,2021-12-03
2021-12-05,1,1056,15605,406,42,0,579,2021-12-05,2021-12-04
2021-12-05,1,1057,2618,36,19,0,203,2021-12-05,2021-12-04
2021-12-05,1,1058,6547,67,43,0,300,2021-12-05,2021-12-04
2021-12-05,1,1059,4491,64,34,0,223,2021-12-05,2021-12-04
2021-12-05,1,1060,10226,183,42,0,361,2021-12-05,2021-12-04
2021-12-05,1,1061,3721,48,38,0,200,2021-12-05,2021-12-04
2021-12-05,1,1062,10520,327,0,0,340,2021-12-05,2021-12-03
2021-12-05,2,2000,117555,1903,708,1,3950,2021-12-05,2021-12-03
2021-12-05,3,3101,10226,203,67,0,630,2021-12-05,2021-12-04
2021-12-05,3,3102,8322,97,0,0,379,2021-12-05,2021-12-03
2021-12-05,3,3103,6818,103,56,0,350,2021-12-05,2021-12-04
2021-12-05,3,3151,9984,214,90,0,545,2021-12-05,2021-12-04
2021-12-05,3,3153,4243,139,17,0,197,2021-12-05,2021-12-04
2021-12-05,3,3154,3689,100,26,0,190,2021-12-05,2021-12-04
2021-12-05,3,3155,4402,69,0,0,238,2021-12-05,2021-12-03
2021-12-05,3,3157,7805,109,55,0,281,2021-12-05,2021-12-04
2021-12-05,3,3158,4437,103,45,0,278,2021-12-05,2021-12-04
2021-12-05,3,3159,12703,302,180,0,746,2021-12-05,2021-12-04
2021-12-05,3,3241,69842,1157,420,0,2528,2021-12-05,2021-12-04
2021-12-05,3,3251,9750,116,0,0,397,2021-12-05,2021-12-03
2021-12-05,3,3252,6404,104,34,0,302,2021-12-05,2021-12-04
2021-12-05,3,3254,13081,313,4,0,493,2021-12-05,2021-12-04
2021-12-05,3,3255,2587,75,0,0,66,2021-12-05,2021-12-03
2021-12-05,3,3256,5167,165,0,0,135,2021-12-05,2021-12-03
2021-12-05,3,3257,7212,96,27,0,217,2021-12-05,2021-12-04
2021-12-05,3,3351,7711,90,80,0,480,2021-12-05,2021-12-04
2021-12-05,3,3352,6717,184,35,0,239,2021-12-05,2021-12-04
2021-12-05,3,3353,10429,127,84,0,519,2021-12-05,2021-12-04
2021-12-05,3,3354,1485,28,15,0,76,2021-12-05,2021-12-04
2021-12-05,3,3355,6058,77,48,0,307,2021-12-05,2021-12-04
2021-12-05,3,3356,3923,68,26,0,167,2021-12-05,2021-12-04
2021-12-05,3,3357,5793,103,0,0,189,2021-12-05,2021-12-03
2021-12-05,3,3358,4814,112,0,0,152,2021-12-05,2021-12-03
2021-12-05,3,3359,8047,148,0,0,236,2021-12-05,2021-12-03
2021-12-05,3,3360,3309,124,23,0,141,2021-12-05,2021-12-04
2021-12-05,3,3361,6463,79,34,0,229,2021-12-05,2021-12-04
2021-12-05,3,3401,5139,74,28,0,186,2021-12-05,2021-12-04
2021-12-05,3,3402,1940,17,12,0,87,2021-12-05,2021-12-04
2021-12-05,3,3403,6788,54,31,0,267,2021-12-05,2021-12-04
2021-12-05,3,3404,10194,110,29,0,294,2021-12-05,2021-12-04
2021-12-05,3,3405,2935,59,24,0,78,2021-12-05,2021-12-04
2021-12-05,3,3451,4613,72,69,0,180,2021-12-05,2021-12-04
2021-12-05,3,3452,5633,65,25,0,321,2021-12-05,2021-12-04
2021-12-05,3,3453,16374,187,0,0,667,2021-12-05,2021-12-03
2021-12-05,3,3454,19960,225,1,0,928,2021-12-05,2021-12-03
2021-12-05,3,3455,2624,45,24,0,152,2021-12-05,2021-12-04
2021-12-05,3,3456,7966,131,64,0,389,2021-12-05,2021-12-04
2021-12-05,3,3457,6756,75,59,1,354,2021-12-05,2021-12-04
2021-12-05,3,3458,6912,126,28,0,214,2021-12-05,2021-12-04
2021-12-05,3,3459,22350,333,343,0,833,2021-12-05,2021-12-04
2021-12-05,3,3460,12000,100,0,0,372,2021-12-05,2021-12-02
2021-12-05,3,3461,4335,118,14,0,128,2021-12-05,2021-12-04
2021-12-05,3,3462,1973,35,0,0,126,2021-12-05,2021-12-03
2021-12-05,4,4011,32636,427,0,0,923,2021-12-05,2021-12-03
2021-12-05,4,4012,7915,128,0,0,249,2021-12-05,2021-12-03
2021-12-05,5,5111,42010,533,288,0,1896,2021-12-05,2021-12-04
2021-12-05,5,5112,40011,745,207,2,1414,2021-12-05,2021-12-04
2021-12-05,5,5113,37946,624,146,0,1538,2021-12-05,2021-12-04
2021-12-05,5,5114,17233,207,72,1,747,2021-12-05,2021-12-03
2021-12-05,5,5116,17372,260,102,1,437,2021-12-05,2021-12-03
2021-12-05,5,5117,11742,253,60,0,392,2021-12-05,2021-12-04
2021-12-05,5,5119,15031,389,61,0,539,2021-12-05,2021-12-04
2021-12-05,5,5120,8533,197,37,0,345,2021-12-05,2021-12-04
2021-12-05,5,5122,13240,222,0,0,500,2021-12-05,2021-12-03
2021-12-05,5,5124,30288,519,154,0,1329,2021-12-05,2021-12-04
2021-12-05,5,5154,17310,231,58,0,902,2021-12-05,2021-12-04
2021-12-05,5,5158,35307,816,90,0,1282,2021-12-05,2021-12-04
2021-12-05,5,5162,27963,391,88,0,1134,2021-12-05,2021-12-04
2021-12-05,5,5166,17229,326,141,0,897,2021-12-05,2021-12-04
2021-12-05,5,5170,25785,333,184,0,1190,2021-12-05,2021-12-04
2021-12-05,5,5314,21942,285,124,0,1027,2021-12-05,2021-12-04
2021-12-05,5,5315,84524,825,375,2,4715,2021-12-05,2021-12-04
2021-12-05,5,5316,13177,129,58,0,552,2021-12-05,2021-12-04
2021-12-05,5,5334,38982,635,282,0,1651,2021-12-05,2021-12-04
2021-12-05,5,5358,19054,314,92,0,781,2021-12-05,2021-12-04
2021-12-05,5,5362,30926,439,271,0,1449,2021-12-05,2021-12-04
2021-12-05,5,5366,11831,258,0,0,546,2021-12-05,2021-12-03
2021-12-05,5,5370,17395,419,0,0,771,2021-12-05,2021-12-03
2021-12-05,5,5374,22515,293,175,0,1124,2021-12-05,2021-12-04
2021-12-05,5,5378,16985,195,201,0,985,2021-12-05,2021-12-04
2021-12-05,5,5382,36176,603,148,0,1492,2021-12-05,2021-12-04
2021-12-05,5,5512,7769,137,32,0,268,2021-12-05,2021-12-04
2021-12-05,5,5513,22325,459,132,0,875,2021-12-05,2021-12-04
2021-12-05,5,5515,12788,138,45,0,450,2021-12-05,2021-12-04
2021-12-05,5,5554,20980,302,148,0,1056,2021-12-05,2021-12-04
2021-12-05,5,5558,8242,104,88,0,449,2021-12-05,2021-12-04
2021-12-05,5,5562,43321,1052,112,0,1271,2021-12-05,2021-12-04
2021-12-05,5,5566,25567,361,125,0,1108,2021-12-05,2021-12-04
2021-12-05,5,5570,17470,285,159,0,929,2021-12-05,2021-12-04
2021-12-05,5,5711,25104,407,195,0,805,2021-12-05,2021-12-04
2021-12-05,5,5754,30422,362,162,0,1239,2021-12-05,2021-12-04
2021-12-05,5,5758,17591,212,364,0,999,2021-12-05,2021-12-04
2021-12-05,5,5762,7431,160,39,0,286,2021-12-05,2021-12-04
2021-12-05,5,5766,26598,442,233,0,1316,2021-12-05,2021-12-04
2021-12-05,5,5770,24896,341,0,0,1087,2021-12-05,2021-12-03
2021-12-05,5,5774,17303,174,94,0,1017,2021-12-05,2021-12-04
2021-12-05,5,5911,24185,302,71,0,888,2021-12-05,2021-12-04
2021-12-05,5,5913,41855,434,273,0,1651,2021-12-05,2021-12-04
2021-12-05,5,5914,17917,354,145,0,576,2021-12-05,2021-12-04
2021-12-05,5,5915,14654,224,116,0,554,2021-12-05,2021-12-04
2021-12-05,5,5916,13087,294,96,1,518,2021-12-05,2021-12-04
2021-12-05,5,5954,19333,403,142,0,724,2021-12-05,2021-12-04
2021-12-05,5,5958,13655,219,66,0,469,2021-12-05,2021-12-04
2021-12-05,5,5962,30266,458,224,1,1361,2021-12-05,2021-12-04
2021-12-05,5,5966,8123,173,35,0,286,2021-12-05,2021-12-04
2021-12-05,5,5970,17635,210,137,3,621,2021-12-05,2021-12-04
2021-12-05,5,5974,13332,225,88,0,725,2021-12-05,2021-12-04
2021-12-05,5,5978,25204,520,164,0,851,2021-12-05,2021-12-04
2021-12-05,6,6411,9300,166,0,0,407,2021-12-05,2021-12-03
2021-12-05,6,6412,62343,921,365,0,2682,2021-12-05,2021-12-04
