Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-28,1,1001,SK Flensburg,26220,73,87,0,374,415.86051993684254
2022-05-28,1,1002,SK Kiel,62887,221,239,0,875,354.8241896829291
2022-05-28,1,1003,SK Lübeck,57477,137,198,0,764,353.9560612659025
2022-05-28,1,1004,SK Neumünster,20734,86,39,0,226,282.8358675927664
2022-05-28,1,1051,LK Dithmarschen,34708,104,95,0,350,262.66219390473617
2022-05-28,1,1053,LK Herzogtum Lauenburg,50016,154,124,0,551,276.6730939182132
2022-05-28,1,1054,LK Nordfriesland,45435,147,131,0,541,323.667191155091
2022-05-28,1,1055,LK Ostholstein,43777,118,134,0,561,278.4298738876454
2022-05-28,1,1056,LK Pinneberg,80712,477,284,0,1147,361.73265843543527
2022-05-28,1,1057,LK Plön,26686,65,110,0,523,404.3199616553153
2022-05-28,1,1058,LK Rendsburg-Eckernförde,67207,101,246,0,1062,386.5121103488436
2022-05-28,1,1059,LK Schleswig-Flensburg,49615,124,204,0,773,381.45148953599113
2022-05-28,1,1060,LK Segeberg,74717,291,74,0,795,285.9640224886424
2022-05-28,1,1061,LK Steinburg,30969,66,362,0,496,379.47760623077744
2022-05-28,1,1062,LK Stormarn,60722,373,167,0,732,298.7889252170506
2022-05-28,2,2000,SK Hamburg,581330,2649,1563,3,4226,228.1268657441546
2022-05-28,3,3101,SK Braunschweig,66868,292,133,0,698,280.8163790779728
2022-05-28,3,3102,SK Salzgitter,34412,165,29,0,211,203.1463616582905
2022-05-28,3,3103,SK Wolfsburg,38398,192,0,0,177,142.92635658914728
2022-05-28,3,3151,LK Gifhorn,51785,333,89,0,361,203.69356813578068
2022-05-28,3,3153,LK Goslar,33739,207,46,0,272,201.94820622475646
2022-05-28,3,3154,LK Helmstedt,25552,142,0,0,134,146.41928363819142
2022-05-28,3,3155,LK Northeim,35697,139,17,0,290,220.0771028746623
2022-05-28,3,3157,LK Peine,41212,156,51,0,288,212.00789140484673
2022-05-28,3,3158,LK Wolfenbüttel,31450,128,61,0,327,273.95883077387083
2022-05-28,3,3159,LK Göttingen,75441,388,0,0,644,198.8267983945662
2022-05-28,3,3241,Region Hannover,342599,1669,581,0,2302,199.2504306128985
2022-05-28,3,3251,LK Diepholz,63938,140,184,0,586,268.71858835613926
2022-05-28,3,3252,LK Hameln-Pyrmont,41476,120,64,0,398,267.86916139453496
2022-05-28,3,3254,LK Hildesheim,76360,471,119,0,636,230.8831644062382
2022-05-28,3,3255,LK Holzminden,18873,138,28,0,166,236.443659464156
2022-05-28,3,3256,LK Nienburg (Weser),35227,200,0,0,276,226.88972008713878
2022-05-28,3,3257,LK Schaumburg,45444,186,101,2,424,267.66662878931356
2022-05-28,3,3351,LK Celle,48765,151,97,0,429,239.14909747694912
2022-05-28,3,3352,LK Cuxhaven,54326,239,82,1,533,268.07359198495163
2022-05-28,3,3353,LK Harburg,68904,207,265,2,868,339.04130991813014
2022-05-28,3,3354,LK Lüchow-Dannenberg,12293,34,25,0,110,226.7900954580129
2022-05-28,3,3355,LK Lüneburg,49563,130,225,0,464,251.852253914837
2022-05-28,3,3356,LK Osterholz,29909,84,81,0,352,307.0481507327286
2022-05-28,3,3357,LK Rotenburg (Wümme),45845,171,119,0,556,338.0226888610581
2022-05-28,3,3358,LK Heidekreis,36291,179,95,0,360,255.5275579373248
2022-05-28,3,3359,LK Stade,55083,204,169,0,700,340.8698023442103
2022-05-28,3,3360,LK Uelzen,24151,186,60,0,364,393.23293649936267
2022-05-28,3,3361,LK Verden,39308,147,147,0,637,463.0235364240336
2022-05-28,3,3401,SK Delmenhorst,23070,96,56,0,275,354.8249745171155
2022-05-28,3,3402,SK Emden,15340,41,25,0,110,220.55580061755626
2022-05-28,3,3403,SK Oldenburg,47387,62,155,0,732,431.59104979216414
2022-05-28,3,3404,SK Osnabrück,51442,152,122,0,426,259.40337224383916
2022-05-28,3,3405,SK Wilhelmshaven,20032,117,59,0,191,254.02651983667826
2022-05-28,3,3451,LK Ammerland,33262,92,171,0,688,547.5832318553362
2022-05-28,3,3452,LK Aurich,56404,145,93,0,482,253.4467709198751
2022-05-28,3,3453,LK Cloppenburg,69259,232,264,0,610,353.35279670049584
2022-05-28,3,3454,LK Emsland,128756,289,192,0,997,303.10400389140545
2022-05-28,3,3455,LK Friesland,23995,62,76,0,259,261.6928191086278
2022-05-28,3,3456,LK Grafschaft Bentheim,51461,176,106,0,504,365.50608814208323
2022-05-28,3,3457,LK Leer,49965,119,83,0,468,272.9133500113714
2022-05-28,3,3458,LK Oldenburg,40163,153,113,0,557,423.68046734161425
2022-05-28,3,3459,LK Osnabrück,118767,421,187,0,911,253.42795385441386
2022-05-28,3,3460,LK Vechta,59672,102,617,0,365,254.00492699967987
2022-05-28,3,3461,LK Wesermarsch,24284,160,33,1,244,275.6314671727441
2022-05-28,3,3462,LK Wittmund,16684,59,30,0,163,284.0513034992332
2022-05-28,4,4011,SK Bremen,162886,590,338,0,1671,294.93110331766604
2022-05-28,4,4012,SK Bremerhaven,37120,184,50,0,276,243.04974594256632
2022-05-28,5,5111,SK Düsseldorf,186866,894,68,0,1529,246.40504864444995
2022-05-28,5,5112,SK Duisburg,114920,906,96,0,641,129.26384141484417
2022-05-28,5,5113,SK Essen,148378,762,0,0,929,159.50825442339226
2022-05-28,5,5114,SK Krefeld,65127,275,30,0,325,143.27026502794874
