Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-24,1,1001,23343,69,98,0,1091,2022-04-24,2022-04-23,89934,1213.1118375697733
2022-04-24,1,1002,55166,212,200,0,2942,2022-04-24,2022-04-23,246601,1193.0203040539172
2022-04-24,1,1003,50017,132,87,0,3324,2022-04-24,2022-04-23,215846,1539.986842471021
2022-04-24,1,1004,18427,79,10,0,893,2022-04-24,2022-04-23,79905,1117.5771228333647
2022-04-24,1,1051,30283,96,276,0,1831,2022-04-24,2022-04-23,133251,1374.0985058273484
2022-04-24,1,1053,42658,151,0,0,1018,2022-04-24,2022-04-22,199152,511.1673495621435
2022-04-24,1,1054,38667,133,0,0,2377,2022-04-24,2022-04-22,167147,1422.1015034670081
2022-04-24,1,1055,36070,115,0,0,2941,2022-04-24,2022-04-22,201487,1459.6475206837165
2022-04-24,1,1056,70723,466,0,0,2753,2022-04-24,2022-04-22,317085,868.2214548149551
2022-04-24,1,1057,22346,51,0,0,1811,2022-04-24,2022-04-22,129353,1400.0448385425927
2022-04-24,1,1058,56696,98,0,0,3770,2022-04-24,2022-04-22,274765,1372.0815970010735
2022-04-24,1,1059,42846,112,515,0,2473,2022-04-24,2022-04-23,202647,1220.348685152013
2022-04-24,1,1060,63004,270,0,0,2584,2022-04-24,2022-04-22,278007,929.4729988813231
2022-04-24,1,1061,21583,64,1,0,1020,2022-04-24,2022-04-22,130706,780.3773353939375
2022-04-24,1,1062,53040,365,1,0,2701,2022-04-24,2022-04-22,244989,1102.4984795235705
2022-04-24,2,2000,525592,2503,3659,6,16854,2022-04-24,2022-04-23,1852478,909.8083755920447
2022-04-24,3,3101,59396,267,0,0,2959,2022-04-24,2022-04-22,248561,1190.452243111349
2022-04-24,3,3102,32238,161,0,0,961,2022-04-24,2022-04-22,103866,925.2305855621667
2022-04-24,3,3103,34839,178,0,0,876,2022-04-24,2022-04-22,123840,707.3643410852713
2022-04-24,3,3151,46738,294,0,0,1344,2022-04-24,2022-04-22,177227,758.3494614251779
2022-04-24,3,3153,30353,187,1,0,1279,2022-04-24,2022-04-23,134688,949.6020432406747
2022-04-24,3,3154,23046,136,0,0,790,2022-04-24,2022-04-22,91518,863.218164732621
2022-04-24,3,3155,31402,132,0,0,1858,2022-04-24,2022-04-22,131772,1410.0112315211122
2022-04-24,3,3157,37255,144,0,0,1292,2022-04-24,2022-04-22,135844,951.0909572745209
2022-04-24,3,3158,28115,123,0,0,1405,2022-04-24,2022-04-22,119361,1177.1013982791699
2022-04-24,3,3159,65218,374,0,0,2742,2022-04-24,2022-04-22,323900,846.5575794998457
2022-04-24,3,3241,314315,1529,0,0,8320,2022-04-24,2022-04-22,1155330,720.1405658989206
2022-04-24,3,3251,55174,134,0,0,3604,2022-04-24,2022-04-22,218072,1652.6651748046518
2022-04-24,3,3252,37342,121,0,0,1515,2022-04-24,2022-04-22,148580,1019.6527123435186
2022-04-24,3,3254,68502,411,0,0,3090,2022-04-24,2022-04-22,275464,1121.743676124648
2022-04-24,3,3255,16605,123,0,0,718,2022-04-24,2022-04-22,70207,1022.6900451521929
2022-04-24,3,3256,30271,183,0,0,1800,2022-04-24,2022-04-22,121645,1479.7155657856879
2022-04-24,3,3257,39873,171,0,0,1709,2022-04-24,2022-04-22,158406,1078.8732750022095
2022-04-24,3,3351,44116,141,0,0,1812,2022-04-24,2022-04-22,179386,1010.1122718606803
2022-04-24,3,3352,46657,220,0,0,3041,2022-04-24,2022-04-22,198826,1529.4780360717411
2022-04-24,3,3353,59762,186,0,0,2563,2022-04-24,2022-04-22,256016,1001.1093056683957
2022-04-24,3,3354,10320,32,0,0,740,2022-04-24,2022-04-22,48503,1525.6788239902687
2022-04-24,3,3355,42923,102,0,0,1924,2022-04-24,2022-04-22,184235,1044.3183976985913
2022-04-24,3,3356,25633,80,0,0,1359,2022-04-24,2022-04-22,114640,1185.450104675506
2022-04-24,3,3357,38371,141,0,0,1783,2022-04-24,2022-04-22,164486,1083.9828313655873
2022-04-24,3,3358,32056,163,0,0,1348,2022-04-24,2022-04-22,140885,956.8087447208716
2022-04-24,3,3359,46849,191,0,0,2594,2022-04-24,2022-04-22,205357,1263.166096115545
2022-04-24,3,3360,20369,157,0,0,1394,2022-04-24,2022-04-22,92566,1505.9525095607457
2022-04-24,3,3361,34069,145,0,0,1980,2022-04-24,2022-04-22,137574,1439.2254350385974
2022-04-24,3,3401,20431,89,0,0,1051,2022-04-24,2022-04-22,77503,1356.0765389726848
2022-04-24,3,3402,13923,40,0,0,501,2022-04-24,2022-04-22,49874,1004.5314191763243
2022-04-24,3,3403,39784,60,0,0,1978,2022-04-24,2022-04-22,169605,1166.2392028536894
2022-04-24,3,3404,46608,147,0,0,1633,2022-04-24,2022-04-22,164223,994.3795936013835
2022-04-24,3,3405,17554,97,0,0,752,2022-04-24,2022-04-22,75189,1000.1462979957175
2022-04-24,3,3451,26311,88,0,0,1694,2022-04-24,2022-04-22,125643,1348.2645272717143
2022-04-24,3,3452,48041,130,0,0,2339,2022-04-24,2022-04-22,190178,1229.9004090904311
2022-04-24,3,3453,56225,214,0,0,2370,2022-04-24,2022-04-22,172632,1372.8625052134018
2022-04-24,3,3454,112542,284,0,0,5128,2022-04-24,2022-04-22,328930,1558.9943148998268
2022-04-24,3,3455,20148,59,0,0,1039,2022-04-24,2022-04-22,98971,1049.8024673894372
2022-04-24,3,3456,45924,166,0,0,2110,2022-04-24,2022-04-22,137891,1530.1941388488008
2022-04-24,3,3457,43539,108,0,0,1969,2022-04-24,2022-04-22,171483,1148.2187738726288
2022-04-24,3,3458,34003,145,0,0,2457,2022-04-24,2022-04-22,131467,1868.9100686864385
2022-04-24,3,3459,105990,408,0,0,3655,2022-04-24,2022-04-22,359471,1016.7718675498162
2022-04-24,3,3460,53068,102,0,0,2127,2022-04-24,2022-04-22,143698,1480.187615694025
2022-04-24,3,3461,20843,148,0,0,1063,2022-04-24,2022-04-22,88524,1200.8043016583074
2022-04-24,3,3462,14036,54,0,0,1172,2022-04-24,2022-04-22,57384,2042.3811515404989
2022-04-24,4,4011,147520,569,607,0,5704,2022-04-24,2022-04-23,566573,1006.7546459150013
2022-04-24,4,4012,33758,174,164,0,1459,2022-04-24,2022-04-23,113557,1284.8173164137834
2022-04-24,5,5111,174820,826,659,0,4342,2022-04-24,2022-04-23,620523,699.7323225730553
2022-04-24,5,5112,109280,890,206,0,2102,2022-04-24,2022-04-23,495885,423.888603204372
2022-04-24,5,5113,136267,756,374,0,4178,2022-04-24,2022-04-23,582415,717.3578977189804
2022-04-24,5,5114,61324,264,204,0,1355,2022-04-24,2022-04-23,226844,597.3267972703709
2022-04-24,5,5116,61204,328,222,0,1837,2022-04-24,2022-04-23,259665,707.4499836327575
2022-04-24,5,5117,40260,332,85,0,1132,2022-04-24,2022-04-23,170921,662.2942763030875
2022-04-24,5,5119,47938,455,15,0,799,2022-04-24,2022-04-23,209566,381.264136357997
2022-04-24,5,5120,31904,265,0,0,888,2022-04-24,2022-04-22,111516,796.2982890347574
