Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-02,0,Bundesgebiet,24813817,135461,4032,0,531774,639.4970858708476
2022-05-02,1,Schleswig-Holstein,656805,2444,252,0,27157,932.9497144329454
2022-05-02,2,Hamburg,547129,2529,1215,0,15516,837.5807971808572
2022-05-02,3,Niedersachsen,2160696,8750,0,0,70471,880.5109714958141
2022-05-02,4,Bremen,186198,753,0,0,4236,622.8221075382647
2022-05-02,5,Nordrhein-Westfalen,4957902,24749,2316,0,107686,600.739613858862
2022-05-02,6,Hessen,1726514,9918,0,0,46549,739.6767979935022
2022-05-02,7,Rheinland-Pfalz,1076165,5516,0,0,26929,657.0627351075093
2022-05-02,8,Baden-Württemberg,3487653,15757,0,0,64183,578.0667516103468
2022-05-02,9,Bayern,4634543,23559,0,0,82968,631.4067315500856
2022-05-02,10,Saarland,300858,1638,0,0,7281,739.9457921871236
2022-05-02,11,Berlin,1000303,4487,36,0,18435,503.12656246247354
2022-05-02,12,Brandenburg,762694,5559,0,0,13370,528.2348855484497
2022-05-02,13,Mecklenburg-Vorpommern,467650,2158,0,0,7320,454.4399152208814
2022-05-02,14,Sachsen,1465979,15285,0,0,18928,466.55842419202054
2022-05-02,15,Sachsen-Anhalt,691695,5254,213,0,12191,559.0447767764609
2022-05-02,16,Thüringen,691033,7105,0,0,8554,403.4454638797455
