Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-04,0,Bundesgebiet,26493235,139386,41087,73,224755,270.2843078730859
2022-06-04,1,Schleswig-Holstein,746660,2548,1778,1,12972,445.63919783570236
2022-06-04,2,Hamburg,588027,2660,1061,1,5474,295.49608686310984
2022-06-04,3,Niedersachsen,2389367,9382,5308,14,28744,359.1464200121423
2022-06-04,4,Bremen,202035,778,292,2,2067,303.9124873186009
2022-06-04,5,Nordrhein-Westfalen,5321529,25466,10336,6,53068,296.0463739786238
2022-06-04,6,Hessen,1876968,10182,5116,14,23951,380.5881756588191
2022-06-04,7,Rheinland-Pfalz,1160380,5690,2613,4,10918,266.3972275949269
2022-06-04,8,Baden-Württemberg,3689281,16145,4011,7,23711,213.554068015408
2022-06-04,9,Bayern,4920800,24111,5945,10,35113,267.2185006860255
2022-06-04,10,Saarland,317115,1696,439,0,2534,257.5226805936233
2022-06-04,11,Berlin,1054677,4618,1068,1,7299,199.20373091475966
2022-06-04,12,Brandenburg,793126,5674,638,1,4162,164.43631964492502
2022-06-04,13,Mecklenburg-Vorpommern,489577,2235,482,4,3535,219.4597131565322
2022-06-04,14,Sachsen,1513344,15540,1079,6,5894,145.2818761722194
2022-06-04,15,Sachsen-Anhalt,719046,5364,621,1,3277,150.27395074206075
2022-06-04,16,Thüringen,711303,7297,300,1,2036,96.02700075510427
