Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-27,0,Bundesgebiet,26200663,138781,1852,2,175655,211.23797067672308
2022-05-27,1,Schleswig-Holstein,729388,2537,0,0,9842,338.11139262249327
2022-05-27,2,Hamburg,579767,2646,0,0,3580,193.2546567354646
2022-05-27,3,Niedersachsen,2347602,9270,0,0,21843,272.9207922462157
2022-05-27,4,Bremen,199618,774,0,0,2115,310.96996162498345
2022-05-27,5,Nordrhein-Westfalen,5253711,25358,1826,2,40975,228.58408407654542
2022-05-27,6,Hessen,1847349,10111,0,0,17216,273.5671175375654
2022-05-27,7,Rheinland-Pfalz,1145383,5675,0,0,7519,183.46224164556287
2022-05-27,8,Baden-Württemberg,3658041,16099,1,0,19914,179.35623594360572
2022-05-27,9,Bayern,4876611,24009,0,0,29111,221.5418156657331
2022-05-27,10,Saarland,314108,1677,0,0,1675,170.22513417297515
2022-05-27,11,Berlin,1045197,4608,25,0,7407,202.15125837589054
2022-05-27,12,Brandenburg,788200,5662,0,0,3202,126.50771155767657
2022-05-27,13,Mecklenburg-Vorpommern,485492,2227,0,0,2674,166.00714935801048
2022-05-27,14,Sachsen,1505942,15506,0,0,4250,104.75873324260817
2022-05-27,15,Sachsen-Anhalt,715386,5344,0,0,2553,117.07335863426337
2022-05-27,16,Thüringen,708868,7278,0,0,1779,83.90571431401301
