Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-10,0,Bundesgebiet,25406868,136756,107568,218,434691,522.7476855850128
2022-05-10,1,Schleswig-Holstein,686951,2474,5432,9,22228,763.6191866706746
2022-05-10,2,Hamburg,560236,2577,838,0,9356,505.0532314013986
2022-05-10,3,Niedersachsen,2242793,8949,15234,27,58545,731.4996924440187
2022-05-10,4,Bremen,191829,766,766,1,4461,655.9040183494332
2022-05-10,5,Nordrhein-Westfalen,5074535,24965,18665,34,87224,486.5898267112287
2022-05-10,6,Hessen,1778423,10010,11882,17,38378,609.8372930330324
2022-05-10,7,Rheinland-Pfalz,1105336,5568,4665,4,21021,512.9086024247076
2022-05-10,8,Baden-Württemberg,3561846,15896,14319,25,53177,478.94077326369
2022-05-10,9,Bayern,4744003,23732,22265,47,79960,608.5151173313187
2022-05-10,10,Saarland,307026,1654,857,5,5281,536.6919006373025
2022-05-10,11,Berlin,1016832,4525,2798,13,12824,349.9915940883516
2022-05-10,12,Brandenburg,774745,5595,2220,4,9244,365.2208887067964
2022-05-10,13,Mecklenburg-Vorpommern,474908,2188,1364,13,5955,369.69804578420064
2022-05-10,14,Sachsen,1485132,15404,3105,11,12903,318.04751412455835
2022-05-10,15,Sachsen-Anhalt,702835,5285,1694,3,8819,404.4143947495373
2022-05-10,16,Thüringen,699438,7168,1464,5,5315,250.6795230910507
