Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-31,1,1001,SK Flensburg,26376,73,156,0,363,403.6293281739943
2022-05-31,1,1002,SK Kiel,63180,221,293,0,929,376.72191110336126
2022-05-31,1,1003,SK Lübeck,57710,137,233,0,714,330.79139757049006
2022-05-31,1,1004,SK Neumünster,20826,86,92,0,237,296.6022151304674
2022-05-31,1,1051,LK Dithmarschen,34851,104,143,0,368,276.17053530555114
2022-05-31,1,1053,LK Herzogtum Lauenburg,50191,154,175,0,485,243.5325781312766
2022-05-31,1,1054,LK Nordfriesland,45640,147,205,0,514,307.51374538579813
2022-05-31,1,1055,LK Ostholstein,43977,118,200,0,619,307.21585015410426
2022-05-31,1,1056,LK Pinneberg,81127,477,415,0,1090,343.7564060110065
2022-05-31,1,1057,LK Plön,26846,65,160,0,494,381.90069035894027
2022-05-31,1,1058,LK Rendsburg-Eckernförde,67709,102,502,1,1155,420.35921605735814
2022-05-31,1,1059,LK Schleswig-Flensburg,49856,125,241,1,719,354.8041668517175
2022-05-31,1,1060,LK Segeberg,75043,291,326,0,722,259.7056908638991
2022-05-31,1,1061,LK Steinburg,31666,66,697,0,545,416.96632136244705
2022-05-31,1,1062,LK Stormarn,60916,373,194,0,556,226.9489650555739
2022-05-31,2,2000,SK Hamburg,583357,2649,2027,0,4413,238.22145256245958
2022-05-31,3,3101,SK Braunschweig,67053,293,185,1,633,254.66585667099827
2022-05-31,3,3102,SK Salzgitter,34456,165,44,0,167,160.7840871892631
2022-05-31,3,3103,SK Wolfsburg,38562,193,164,1,236,190.56847545219637
2022-05-31,3,3151,LK Gifhorn,51897,333,112,0,342,192.97285402337116
2022-05-31,3,3153,LK Goslar,33836,207,97,0,270,200.46329294369207
2022-05-31,3,3154,LK Helmstedt,25637,142,85,0,115,125.65834043576126
2022-05-31,3,3155,LK Northeim,35822,139,125,0,299,226.9070819293932
2022-05-31,3,3157,LK Peine,41299,156,87,0,284,209.0633373575572
2022-05-31,3,3158,LK Wolfenbüttel,31539,128,89,0,301,252.17617144628477
2022-05-31,3,3159,LK Göttingen,76088,388,647,0,745,230.00926211793762
2022-05-31,3,3241,Region Hannover,343595,1670,996,1,2348,203.2319770108973
2022-05-31,3,3251,LK Diepholz,64291,142,353,2,667,305.8622840162882
2022-05-31,3,3252,LK Hameln-Pyrmont,41596,120,120,0,422,284.0220756494818
2022-05-31,3,3254,LK Hildesheim,76602,476,242,5,619,224.71175906833562
2022-05-31,3,3255,LK Holzminden,18905,138,32,0,163,232.17058128106885
2022-05-31,3,3256,LK Nienburg (Weser),35354,202,127,2,268,220.3132064614246
2022-05-31,3,3257,LK Schaumburg,45593,188,149,2,434,273.9795209777407
