Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-08,0,Bundesgebiet,26583016,139533,84655,145,197996,238.10465538759766
2022-06-08,1,Schleswig-Holstein,751541,2550,4686,2,10920,375.14493064800104
2022-06-08,2,Hamburg,591527,2674,3500,14,5471,295.33414162003544
2022-06-08,3,Niedersachsen,2400501,9398,11134,16,25118,313.84079383053825
2022-06-08,4,Bremen,202831,780,532,2,1760,258.7740579006955
2022-06-08,5,Nordrhein-Westfalen,5344803,25482,18607,14,48853,272.5324773493953
2022-06-08,6,Hessen,1885908,10205,8940,23,21220,337.19181192769156
2022-06-08,7,Rheinland-Pfalz,1164586,5694,4205,4,9251,225.72272874891632
2022-06-08,8,Baden-Württemberg,3698650,16163,9369,18,20665,186.12014742264802
2022-06-08,9,Bayern,4935043,24132,14243,21,31955,243.18534985395564
2022-06-08,10,Saarland,318211,1699,1096,3,2421,246.03883572105843
2022-06-08,11,Berlin,1057465,4621,2788,3,6340,173.03077873675525
2022-06-08,12,Brandenburg,794331,5682,1206,8,3247,128.28561506176635
2022-06-08,13,Mecklenburg-Vorpommern,490411,2236,834,1,2425,150.54874240582478
2022-06-08,14,Sachsen,1515199,15552,1855,12,4281,105.5228557674366
2022-06-08,15,Sachsen-Anhalt,719987,5365,941,1,2468,113.17549906359656
2022-06-08,16,Thüringen,712022,7300,719,3,1601,75.51042642874359
