Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-16,0,Bundesgebiet,25732153,137499,2305,0,365202,439.1820862889222
2022-05-16,1,Schleswig-Holstein,702969,2489,82,0,18600,638.9831236312106
2022-05-16,2,Hamburg,569618,2622,849,0,8858,478.17032105104624
2022-05-16,3,Niedersachsen,2285835,9068,0,0,47706,596.0701055211265
2022-05-16,4,Bremen,194857,767,0,0,3692,542.8373987325953
2022-05-16,5,Nordrhein-Westfalen,5144696,25112,1358,0,73834,411.89206256760593
2022-05-16,6,Hessen,1805983,10039,0,0,34477,547.8492978242706
2022-05-16,7,Rheinland-Pfalz,1123327,5601,0,0,18347,447.66348549955336
2022-05-16,8,Baden-Württemberg,3601789,15958,0,0,44477,400.58387596985796
2022-05-16,9,Bayern,4798843,23851,0,0,63523,483.4255352455898
2022-05-16,10,Saarland,310313,1663,0,0,4137,420.43067467080493
2022-05-16,11,Berlin,1028599,4556,16,0,13739,374.9637017451546
2022-05-16,12,Brandenburg,780629,5624,0,0,7672,303.1127929639271
2022-05-16,13,Mecklenburg-Vorpommern,479161,2202,0,0,5442,337.8500025453602
2022-05-16,14,Sachsen,1493992,15441,0,0,9667,238.28298217795134
2022-05-16,15,Sachsen-Anhalt,708319,5306,0,0,6717,308.02262042551786
2022-05-16,16,Thüringen,703223,7200,0,0,4314,203.46781987108045
