Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-12,0,Bundesgebiet,25592839,137184,88961,197,417797,502.43141632645177
2022-05-12,1,Schleswig-Holstein,696234,2481,3776,6,21093,724.6274745566196
2022-05-12,2,Hamburg,563857,2607,2409,9,8468,457.1174394513727
2022-05-12,3,Niedersachsen,2268205,9018,11516,37,55824,697.5017308223571
2022-05-12,4,Bremen,193748,766,984,0,4299,632.085042565392
2022-05-12,5,Nordrhein-Westfalen,5111636,25049,17540,30,83821,467.6057720898136
2022-05-12,6,Hessen,1794316,10032,8135,16,37742,599.7310728451902
2022-05-12,7,Rheinland-Pfalz,1116306,5580,5199,7,21268,518.9353578026108
2022-05-12,8,Baden-Württemberg,3585707,15935,12015,14,51580,464.5573290133164
2022-05-12,9,Bayern,4776477,23797,16215,25,77924,593.0206603667544
2022-05-12,10,Saarland,308696,1661,649,1,4705,478.1547798709541
2022-05-12,11,Berlin,1023535,4536,2899,8,12747,347.890116176249
2022-05-12,12,Brandenburg,778643,5617,1839,13,8642,341.4364907187511
2022-05-12,13,Mecklenburg-Vorpommern,477565,2195,995,3,5757,357.4058185692096
2022-05-12,14,Sachsen,1490187,15428,2027,11,11412,281.29568559168104
2022-05-12,15,Sachsen-Anhalt,706013,5293,1521,6,7724,354.20079204506476
2022-05-12,16,Thüringen,701714,7189,1242,11,4791,225.9653048220553
