Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-05,0,Bundesgebiet,26493235,139386,0,0,214212,257.60558011216426
2022-06-05,1,Schleswig-Holstein,746660,2548,0,0,12596,432.72211963756604
2022-06-05,2,Hamburg,588027,2660,0,0,4922,265.6981621374181
2022-06-05,3,Niedersachsen,2389367,9382,0,0,27257,340.56686509431404
2022-06-05,4,Bremen,202035,778,0,0,1856,272.8890065134607
2022-06-05,5,Nordrhein-Westfalen,5321529,25466,0,0,49817,277.9102700778831
2022-06-05,6,Hessen,1876968,10182,0,0,23150,367.860058724131
2022-06-05,7,Rheinland-Pfalz,1160380,5690,0,0,10565,257.7840913665875
2022-06-05,8,Baden-Württemberg,3689281,16145,0,0,22605,203.59283486518063
2022-06-05,9,Bayern,4920800,24111,0,0,33487,254.8442437978223
2022-06-05,10,Saarland,317115,1696,0,0,2534,257.5226805936233
2022-06-05,11,Berlin,1054677,4618,0,0,6997,190.9615707919679
2022-06-05,12,Brandenburg,793126,5674,0,0,4036,159.45818983347365
2022-06-05,13,Mecklenburg-Vorpommern,489577,2235,0,0,3471,215.48646799613107
2022-06-05,14,Sachsen,1513344,15540,0,0,5688,140.20415874916594
2022-06-05,15,Sachsen-Anhalt,719046,5364,0,0,3223,147.79766348540184
2022-06-05,16,Thüringen,711303,7297,0,0,2008,94.70639367202818
