Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-08-08,1,1001,2398,39,19,0,75,2021-08-08,2021-08-07
2021-08-08,1,1002,5784,105,14,0,156,2021-08-08,2021-08-07
2021-08-08,1,1003,6041,100,11,0,121,2021-08-08,2021-08-07
2021-08-08,1,1004,1982,23,7,0,72,2021-08-08,2021-08-07
2021-08-08,1,1051,2058,53,3,0,36,2021-08-08,2021-08-07
2021-08-08,1,1053,5350,115,0,0,56,2021-08-08,2021-08-06
2021-08-08,1,1054,2905,82,6,0,42,2021-08-08,2021-08-07
2021-08-08,1,1055,3489,86,7,0,49,2021-08-08,2021-08-07
2021-08-08,1,1056,11043,376,36,0,192,2021-08-08,2021-08-07
2021-08-08,1,1057,1459,32,3,0,73,2021-08-08,2021-08-07
2021-08-08,1,1058,4248,58,16,0,62,2021-08-08,2021-08-07
2021-08-08,1,1059,2976,60,11,0,40,2021-08-08,2021-08-07
2021-08-08,1,1060,7143,161,9,0,87,2021-08-08,2021-08-07
2021-08-08,1,1061,2450,41,10,0,42,2021-08-08,2021-08-07
2021-08-08,1,1062,7298,308,0,0,81,2021-08-08,2021-08-06
2021-08-08,2,2000,80083,1626,268,2,908,2021-08-08,2021-08-06
2021-08-08,3,3101,6703,188,12,0,48,2021-08-08,2021-08-07
2021-08-08,3,3102,5540,79,8,0,42,2021-08-08,2021-08-06
2021-08-08,3,3103,4239,87,9,0,61,2021-08-08,2021-08-07
2021-08-08,3,3151,6235,191,5,0,27,2021-08-08,2021-08-07
2021-08-08,3,3153,2666,136,0,0,11,2021-08-08,2021-08-06
2021-08-08,3,3154,2471,95,1,0,13,2021-08-08,2021-08-07
2021-08-08,3,3155,2650,61,1,0,6,2021-08-08,2021-08-07
2021-08-08,3,3157,5488,103,0,0,13,2021-08-08,2021-08-05
2021-08-08,3,3158,2981,100,0,0,9,2021-08-08,2021-08-06
2021-08-08,3,3159,8194,271,6,0,20,2021-08-08,2021-08-07
2021-08-08,3,3241,49843,1058,29,0,307,2021-08-08,2021-08-07
2021-08-08,3,3251,7207,107,0,0,24,2021-08-08,2021-08-06
2021-08-08,3,3252,4361,99,5,0,50,2021-08-08,2021-08-07
2021-08-08,3,3254,8985,287,0,0,45,2021-08-08,2021-08-06
2021-08-08,3,3255,1684,64,0,0,6,2021-08-08,2021-08-06
2021-08-08,3,3256,3807,153,7,0,30,2021-08-08,2021-08-07
2021-08-08,3,3257,4934,73,4,0,38,2021-08-08,2021-08-07
2021-08-08,3,3351,4765,66,1,0,22,2021-08-08,2021-08-07
2021-08-08,3,3352,4686,176,6,0,48,2021-08-08,2021-08-07
2021-08-08,3,3353,6733,113,4,0,35,2021-08-08,2021-08-07
2021-08-08,3,3354,902,25,0,0,1,2021-08-08,2021-08-04
2021-08-08,3,3355,3746,63,11,0,62,2021-08-08,2021-08-07
2021-08-08,3,3356,2776,66,0,0,6,2021-08-08,2021-08-03
2021-08-08,3,3357,4069,97,0,0,15,2021-08-08,2021-08-05
2021-08-08,3,3358,3479,107,0,0,40,2021-08-08,2021-08-06
2021-08-08,3,3359,5333,121,7,0,40,2021-08-08,2021-08-06
2021-08-08,3,3360,2245,115,0,0,7,2021-08-08,2021-08-06
2021-08-08,3,3361,4062,59,8,0,33,2021-08-08,2021-08-07
2021-08-08,3,3401,3618,69,0,0,16,2021-08-08,2021-08-06
2021-08-08,3,3402,1360,14,0,0,18,2021-08-08,2021-08-06
2021-08-08,3,3403,4434,47,12,0,54,2021-08-08,2021-08-07
2021-08-08,3,3404,7693,102,2,0,29,2021-08-08,2021-08-07
2021-08-08,3,3405,1987,56,1,0,9,2021-08-08,2021-08-07
2021-08-08,3,3451,3200,64,9,0,17,2021-08-08,2021-08-07
2021-08-08,3,3452,3781,62,3,0,9,2021-08-08,2021-08-07
2021-08-08,3,3453,10969,166,0,0,33,2021-08-08,2021-08-06
2021-08-08,3,3454,12844,189,13,0,46,2021-08-08,2021-08-06
2021-08-08,3,3455,1634,42,0,0,1,2021-08-08,2021-08-05
2021-08-08,3,3456,5489,124,3,0,26,2021-08-08,2021-08-07
2021-08-08,3,3457,4472,62,0,0,7,2021-08-08,2021-08-06
2021-08-08,3,3458,5145,117,0,0,18,2021-08-08,2021-08-06
2021-08-08,3,3459,15853,303,8,0,60,2021-08-08,2021-08-07
2021-08-08,3,3460,8895,92,0,0,33,2021-08-08,2021-08-06
2021-08-08,3,3461,3274,115,1,0,13,2021-08-08,2021-08-06
2021-08-08,3,3462,1264,35,0,0,2,2021-08-08,2021-08-06
