Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-01-04,1,1001,4440,48,44,0,342,2022-01-04,2022-01-03
2022-01-04,1,1002,11540,129,138,0,981,2022-01-04,2022-01-03
2022-01-04,1,1003,10559,119,136,0,396,2022-01-04,2022-01-03
2022-01-04,1,1004,3933,29,55,0,242,2022-01-04,2022-01-03
2022-01-04,1,1051,4759,61,79,0,847,2022-01-04,2022-01-03
2022-01-04,1,1053,10292,132,231,0,664,2022-01-04,2022-01-03
2022-01-04,1,1054,5739,93,49,0,630,2022-01-04,2022-01-03
2022-01-04,1,1055,6359,97,213,0,407,2022-01-04,2022-01-03
2022-01-04,1,1056,18325,419,308,2,838,2022-01-04,2022-01-03
2022-01-04,1,1057,3334,39,60,0,234,2022-01-04,2022-01-03
2022-01-04,1,1058,8689,73,466,0,951,2022-01-04,2022-01-03
2022-01-04,1,1059,5534,70,58,0,331,2022-01-04,2022-01-03
2022-01-04,1,1060,12414,195,35,1,630,2022-01-04,2022-01-03
2022-01-04,1,1061,4533,50,100,0,286,2022-01-04,2022-01-03
2022-01-04,1,1062,13082,335,247,0,834,2022-01-04,2022-01-03
2022-01-04,2,2000,144341,1997,982,0,7229,2022-01-04,2022-01-02
2022-01-04,3,3101,12164,219,94,1,556,2022-01-04,2022-01-03
2022-01-04,3,3102,9370,119,112,1,249,2022-01-04,2022-01-03
2022-01-04,3,3103,7984,116,9,0,266,2022-01-04,2022-01-03
2022-01-04,3,3151,11306,234,17,0,320,2022-01-04,2022-01-03
2022-01-04,3,3153,4826,151,32,1,122,2022-01-04,2022-01-03
2022-01-04,3,3154,4456,115,23,1,160,2022-01-04,2022-01-03
2022-01-04,3,3155,5317,80,134,1,250,2022-01-04,2022-01-03
2022-01-04,3,3157,8591,112,27,0,213,2022-01-04,2022-01-03
2022-01-04,3,3158,5383,106,22,0,244,2022-01-04,2022-01-03
2022-01-04,3,3159,15319,322,72,1,507,2022-01-04,2022-01-03
2022-01-04,3,3241,78788,1214,96,0,1754,2022-01-04,2022-01-03
2022-01-04,3,3251,11752,119,259,0,682,2022-01-04,2022-01-03
2022-01-04,3,3252,7285,114,15,2,167,2022-01-04,2022-01-03
2022-01-04,3,3254,14934,334,77,3,333,2022-01-04,2022-01-03
2022-01-04,3,3255,3182,76,10,0,121,2022-01-04,2022-01-02
2022-01-04,3,3256,5843,169,57,0,173,2022-01-04,2022-01-03
2022-01-04,3,3257,8274,105,20,0,244,2022-01-04,2022-01-03
2022-01-04,3,3351,8955,97,20,0,250,2022-01-04,2022-01-03
2022-01-04,3,3352,7716,191,79,1,309,2022-01-04,2022-01-03
2022-01-04,3,3353,12605,137,26,0,845,2022-01-04,2022-01-03
2022-01-04,3,3354,1801,28,8,0,70,2022-01-04,2022-01-03
2022-01-04,3,3355,7382,81,54,1,388,2022-01-04,2022-01-03
2022-01-04,3,3356,5142,68,36,0,526,2022-01-04,2022-01-03
2022-01-04,3,3357,6733,106,59,0,315,2022-01-04,2022-01-03
2022-01-04,3,3358,5768,118,21,0,256,2022-01-04,2022-01-03
2022-01-04,3,3359,9371,152,110,0,290,2022-01-04,2022-01-03
2022-01-04,3,3360,3868,128,7,0,167,2022-01-04,2022-01-03
2022-01-04,3,3361,8469,90,136,0,684,2022-01-04,2022-01-03
2022-01-04,3,3401,5831,79,103,0,265,2022-01-04,2022-01-03
2022-01-04,3,3402,2179,20,2,0,64,2022-01-04,2022-01-03
2022-01-04,3,3403,7847,55,30,0,390,2022-01-04,2022-01-03
2022-01-04,3,3404,11482,113,6,0,284,2022-01-04,2022-01-03
2022-01-04,3,3405,3349,70,4,0,67,2022-01-04,2022-01-03
2022-01-04,3,3451,5203,73,0,0,200,2022-01-04,2022-01-02
2022-01-04,3,3452,6508,77,12,0,179,2022-01-04,2022-01-02
2022-01-04,3,3453,17690,201,63,0,221,2022-01-04,2022-01-03
2022-01-04,3,3454,22793,245,31,2,557,2022-01-04,2022-01-03
2022-01-04,3,3455,2951,48,0,0,88,2022-01-04,2022-01-02
2022-01-04,3,3456,9084,141,0,0,230,2022-01-04,2022-01-02
2022-01-04,3,3457,7628,83,1,0,173,2022-01-04,2022-01-03
2022-01-04,3,3458,7847,128,42,0,324,2022-01-04,2022-01-03
2022-01-04,3,3459,25818,345,43,0,617,2022-01-04,2022-01-03
2022-01-04,3,3460,13541,101,87,0,362,2022-01-04,2022-01-03
2022-01-04,3,3461,4877,124,1,0,123,2022-01-04,2022-01-03
2022-01-04,3,3462,2194,40,13,1,41,2022-01-04,2022-01-03
2022-01-04,4,4011,40932,469,460,2,3229,2022-01-04,2022-01-03
2022-01-04,4,4012,8884,136,9,1,283,2022-01-04,2022-01-03
2022-01-04,5,5111,49444,600,227,4,2197,2022-01-04,2022-01-03
2022-01-04,5,5112,44206,799,104,1,916,2022-01-04,2022-01-03
2022-01-04,5,5113,43885,662,75,0,1283,2022-01-04,2022-01-03
