Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-24,0,Bundesgebiet,26109965,138485,64437,159,255466,307.21652908769886
2022-05-24,1,Schleswig-Holstein,724402,2516,3692,2,13467,462.6443938678232
2022-05-24,2,Hamburg,577907,2643,2197,1,6167,332.9054380132989
2022-05-24,3,Niedersachsen,2335583,9232,7621,13,33033,412.7360037663894
2022-05-24,4,Bremen,198904,773,775,1,3166,465.49924279181926
2022-05-24,5,Nordrhein-Westfalen,5230619,25297,13467,31,57336,319.855937635456
2022-05-24,6,Hessen,1839810,10080,6752,9,23458,372.7542659849099
2022-05-24,7,Rheinland-Pfalz,1141031,5660,2974,8,11331,276.4743529838905
2022-05-24,8,Baden-Württemberg,3647814,16055,7704,21,30435,274.1140424296294
2022-05-24,9,Bayern,4863054,23979,11383,23,43854,333.73964426522826
2022-05-24,10,Saarland,313380,1672,550,1,2486,252.6445871964276
2022-05-24,11,Berlin,1041177,4604,2183,26,9167,250.18503922394876
2022-05-24,12,Brandenburg,786494,5654,883,5,4601,181.78075605148967
2022-05-24,13,Mecklenburg-Vorpommern,484256,2222,812,5,4117,255.59141133393013
2022-05-24,14,Sachsen,1503499,15491,1523,10,6030,148.6341556359829
2022-05-24,15,Sachsen-Anhalt,714003,5338,764,3,4151,190.35311856279955
2022-05-24,16,Thüringen,708032,7269,1157,0,2667,125.78782466299758
