Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-13,0,Bundesgebiet,25661838,137348,68999,164,403918,485.7409048407426
2022-05-13,1,Schleswig-Holstein,699658,2484,3424,3,20380,700.1331214840898
2022-05-13,2,Hamburg,565981,2613,2124,6,8675,468.2916612235071
2022-05-13,3,Niedersachsen,2277157,9040,8952,22,53117,663.6786943983079
2022-05-13,4,Bremen,194276,766,528,0,4110,604.2962374840104
2022-05-13,5,Nordrhein-Westfalen,5126034,25089,14398,40,80963,451.6620670918693
2022-05-13,6,Hessen,1800384,10038,6068,6,37534,596.4258939158331
2022-05-13,7,Rheinland-Pfalz,1119887,5585,3581,5,19544,476.8700692540072
2022-05-13,8,Baden-Württemberg,3594022,15950,8315,15,49433,445.22028780758575
2022-05-13,9,Bayern,4788974,23828,12497,31,75946,577.9675975593339
2022-05-13,10,Saarland,309499,1661,803,0,4677,475.30922538925665
2022-05-13,11,Berlin,1026006,4544,2471,8,13071,356.73269855964156
2022-05-13,12,Brandenburg,779574,5621,931,4,7923,313.02954362007233
2022-05-13,13,Mecklenburg-Vorpommern,478227,2197,662,2,5452,338.47082210167287
2022-05-13,14,Sachsen,1492441,15437,2254,9,11132,274.39393375452096
2022-05-13,15,Sachsen-Anhalt,707331,5297,1318,4,7423,340.39778344776227
2022-05-13,16,Thüringen,702387,7198,673,9,4538,214.03267653568918
