Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-18,0,Bundesgebiet,25890456,137888,72051,174,338808,407.44137296996496
2022-05-18,1,Schleswig-Holstein,712309,2503,4452,5,16953,582.4021986516082
2022-05-18,2,Hamburg,571373,2631,784,8,6918,373.44573052959333
2022-05-18,3,Niedersachsen,2307773,9147,9753,34,44445,555.3250291344164
2022-05-18,4,Bremen,196639,771,838,1,3665,538.8675694352551
2022-05-18,5,Nordrhein-Westfalen,5176556,25183,16319,34,69549,387.98766231701416
2022-05-18,6,Hessen,1821367,10056,6240,7,32959,523.7278477532888
2022-05-18,7,Rheinland-Pfalz,1130273,5612,3352,3,14910,363.8013064151273
2022-05-18,8,Baden-Württemberg,3622186,15991,8914,19,42275,380.75147506859156
2022-05-18,9,Bayern,4828384,23907,12285,23,63117,480.33577614558334
2022-05-18,10,Saarland,311568,1666,655,3,3534,359.14962636853386
2022-05-18,11,Berlin,1033525,4562,2237,6,11775,321.3623690260714
2022-05-18,12,Brandenburg,783180,5632,1207,2,6054,239.18728475021047
2022-05-18,13,Mecklenburg-Vorpommern,481498,2208,1378,3,4852,301.2216487229121
2022-05-18,14,Sachsen,1498079,15462,1966,12,8479,208.9998350974293
2022-05-18,15,Sachsen-Anhalt,710706,5319,1024,4,5698,261.29416274893566
2022-05-18,16,Thüringen,705040,7238,647,10,3625,170.97145271967239
