Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-26,0,Bundesgebiet,26198811,138779,39705,136,218382,262.62030976814856
2022-05-26,1,Schleswig-Holstein,729388,2537,2177,5,12248,420.7669515180143
2022-05-26,2,Hamburg,579767,2646,1171,3,4847,261.6495310605578
2022-05-26,3,Niedersachsen,2347602,9270,5729,16,27739,346.5892897549685
2022-05-26,4,Bremen,199618,774,275,1,2656,390.51357828650407
2022-05-26,5,Nordrhein-Westfalen,5251885,25356,9154,32,49561,276.48214254832624
2022-05-26,6,Hessen,1847349,10111,3158,15,20616,327.5940808059043
2022-05-26,7,Rheinland-Pfalz,1145383,5675,2086,4,9459,230.79789117241376
2022-05-26,8,Baden-Württemberg,3658040,16099,4348,19,25251,227.42413949040818
2022-05-26,9,Bayern,4876611,24009,6309,15,36425,277.20314093038127
2022-05-26,10,Saarland,314108,1677,308,1,2108,214.2296016935114
2022-05-26,11,Berlin,1045172,4608,1812,2,9225,251.76797063825978
2022-05-26,12,Brandenburg,788200,5662,793,2,4024,158.98408223238306
2022-05-26,13,Mecklenburg-Vorpommern,485492,2227,297,2,3267,202.8217490473524
2022-05-26,14,Sachsen,1505942,15506,1092,9,5372,132.4150388186567
2022-05-26,15,Sachsen-Anhalt,715386,5344,562,6,3398,155.82266848383352
2022-05-26,16,Thüringen,708868,7278,434,4,2186,103.1016815572976
