Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-29,3,3456,47498,168,240,0,2027,2022-04-29,2022-04-28,137891,1470.0016679841324
2022-04-29,3,3457,45417,108,388,0,1997,2022-04-29,2022-04-28,171483,1164.5469230186081
2022-04-29,3,3458,35549,145,268,0,1953,2022-04-29,2022-04-28,131467,1485.543900750759
2022-04-29,3,3459,109025,417,538,0,3096,2022-04-29,2022-04-28,359471,861.2655819245501
2022-04-29,3,3460,54419,102,0,0,1353,2022-04-29,2022-04-27,143698,941.5579896727861
2022-04-29,3,3461,21831,150,146,0,1075,2022-04-29,2022-04-28,88524,1214.3599475848357
2022-04-29,3,3462,15110,54,145,0,1379,2022-04-29,2022-04-28,57384,2403.108880524188
2022-04-29,4,4011,150835,575,770,3,4708,2022-04-29,2022-04-28,566573,830.9608823576132
2022-04-29,4,4012,34617,174,153,0,1290,2022-04-29,2022-04-28,113557,1135.993377775038
2022-04-29,5,5111,177394,845,339,7,3964,2022-04-29,2022-04-28,620523,638.8159665314581
2022-04-29,5,5112,110551,895,273,0,1807,2022-04-29,2022-04-28,495885,364.39900380128455
2022-04-29,5,5113,139199,759,562,1,3507,2022-04-29,2022-04-28,582415,602.1479529201686
2022-04-29,5,5114,62177,270,266,1,1161,2022-04-29,2022-04-28,226844,511.805469838303
2022-04-29,5,5116,63229,329,407,0,1700,2022-04-29,2022-04-28,259665,654.6896963395144
2022-04-29,5,5117,41048,344,186,9,1015,2022-04-29,2022-04-28,170921,593.8415993353655
2022-04-29,5,5119,48838,462,245,5,717,2022-04-29,2022-04-28,209566,342.1356517755743
2022-04-29,5,5120,32476,268,69,0,698,2022-04-29,2022-04-28,111516,625.9191506151583
2022-04-29,5,5122,51684,297,105,0,1049,2022-04-29,2022-04-28,159193,658.9485718593155
2022-04-29,5,5124,106670,642,201,0,2102,2022-04-29,2022-04-28,355004,592.1060044393865
2022-04-29,5,5154,75418,343,364,0,2005,2022-04-29,2022-04-28,313586,639.3780334581263
2022-04-29,5,5158,136891,987,339,1,2595,2022-04-29,2022-04-28,484322,535.8005624357348
2022-04-29,5,5162,117948,537,742,2,3430,2022-04-29,2022-04-28,452001,758.8478786551357
2022-04-29,5,5166,76115,376,283,0,2017,2022-04-29,2022-04-28,298536,675.6304097328295
2022-04-29,5,5170,116541,404,535,4,2838,2022-04-29,2022-04-28,460113,616.8050022494475
2022-04-29,5,5314,90657,388,249,5,1851,2022-04-29,2022-04-28,330579,559.9266741081557
2022-04-29,5,5315,334913,1045,796,1,5376,2022-04-29,2022-04-28,1083498,496.1707358942979
2022-04-29,5,5316,47347,173,134,0,979,2022-04-29,2022-04-28,163905,597.2972148500656
2022-04-29,5,5334,155130,829,837,0,3962,2022-04-29,2022-04-28,556631,711.7821321485867
2022-04-29,5,5358,80158,419,286,1,1848,2022-04-29,2022-04-28,265140,696.990269291695
2022-04-29,5,5362,135592,551,370,1,2842,2022-04-29,2022-04-28,469611,605.1817355215273
2022-04-29,5,5366,55207,309,171,0,1505,2022-04-29,2022-04-28,194359,774.3402672374318
2022-04-29,5,5370,58000,487,343,3,2151,2022-04-29,2022-04-28,256458,838.7338277612708
2022-04-29,5,5374,82990,427,220,0,1686,2022-04-29,2022-04-28,271699,620.5396412942263
2022-04-29,5,5378,74105,243,578,0,1666,2022-04-29,2022-04-28,283275,588.1210837525373
2022-04-29,5,5382,141292,761,857,0,3018,2022-04-29,2022-04-28,600375,502.68582136164895
2022-04-29,5,5512,30052,172,113,1,609,2022-04-29,2022-04-28,117388,518.7923808225713
2022-04-29,5,5513,68292,564,240,0,1401,2022-04-29,2022-04-28,259105,540.707435209664
2022-04-29,5,5515,87025,200,528,1,3806,2022-04-29,2022-04-28,316403,1202.8963062929238
2022-04-29,5,5554,129473,435,635,1,4859,2022-04-29,2022-04-28,371898,1306.5410408230214
2022-04-29,5,5558,62876,130,352,0,2455,2022-04-29,2022-04-28,220712,1112.309253688064
2022-04-29,5,5562,154300,1272,498,0,3993,2022-04-29,2022-04-28,613599,650.7507346002845
2022-04-29,5,5566,136043,465,803,0,3552,2022-04-29,2022-04-28,448197,792.5086513296608
2022-04-29,5,5570,82083,340,419,1,2980,2022-04-29,2022-04-28,277417,1074.1951646798861
2022-04-29,5,5711,94161,546,598,0,3478,2022-04-29,2022-04-28,333509,1042.8504178298037
2022-04-29,5,5754,118697,457,364,4,2351,2022-04-29,2022-04-28,364818,644.4309217198712
2022-04-29,5,5758,82439,325,286,6,1976,2022-04-29,2022-04-28,250547,788.6743804555632
2022-04-29,5,5762,35759,199,140,0,987,2022-04-29,2022-04-28,139729,706.3673253225887
2022-04-29,5,5766,96397,576,497,2,2476,2022-04-29,2022-04-28,346970,713.6063636625645
2022-04-29,5,5770,107446,453,424,0,2877,2022-04-29,2022-04-28,310270,927.2569052760499
