Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-11,0,Bundesgebiet,26803867,139806,65337,77,290160,348.93859879626524
2022-06-11,1,Schleswig-Holstein,764190,2568,3628,5,16534,568.0079014042169
2022-06-11,2,Hamburg,596533,2682,1967,3,6954,375.3890734464863
2022-06-11,3,Niedersachsen,2432951,9440,9201,11,40329,503.89702103637933
2022-06-11,4,Bremen,204862,780,552,0,2741,403.0111890373899
2022-06-11,5,Nordrhein-Westfalen,5400506,25521,15951,17,73642,410.82096692043825
2022-06-11,6,Hessen,1907868,10226,7651,4,29539,469.3830788186655
2022-06-11,7,Rheinland-Pfalz,1177597,5699,4249,1,15248,372.0484453533106
2022-06-11,8,Baden-Württemberg,3720283,16188,6175,6,28370,255.5155374972429
2022-06-11,9,Bayern,4964803,24177,7804,10,42170,320.9239932198813
2022-06-11,10,Saarland,320708,1702,851,1,3593,365.14561616925357
2022-06-11,11,Berlin,1063156,4630,1544,2,8075,220.38226156140354
2022-06-11,12,Brandenburg,798248,5689,1169,1,4927,194.66067921445114
2022-06-11,13,Mecklenburg-Vorpommern,493788,2243,1200,4,4185,259.8129843168564
2022-06-11,14,Sachsen,1521250,15560,1694,1,7263,179.0265128331913
2022-06-11,15,Sachsen-Anhalt,723334,5375,1070,1,4194,192.32497693384278
2022-06-11,16,Thüringen,713790,7326,631,10,2396,113.00623468036828
