Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2020-12-19,1,1001,411,4,7,0,50,2020-12-19,2020-12-18
2020-12-19,1,1002,1921,29,40,2,260,2020-12-19,2020-12-18
2020-12-19,1,1003,2041,12,99,0,433,2020-12-19,2020-12-18
2020-12-19,1,1004,614,8,7,0,50,2020-12-19,2020-12-18
2020-12-19,1,1051,838,15,28,0,91,2020-12-19,2020-12-18
2020-12-19,1,1053,1456,26,24,0,174,2020-12-19,2020-12-18
2020-12-19,1,1054,838,5,14,0,115,2020-12-19,2020-12-18
2020-12-19,1,1055,856,6,28,0,130,2020-12-19,2020-12-18
2020-12-19,1,1056,3413,68,1,0,356,2020-12-19,2020-12-17
2020-12-19,1,1057,463,8,12,0,52,2020-12-19,2020-12-18
2020-12-19,1,1058,1383,17,25,0,203,2020-12-19,2020-12-18
2020-12-19,1,1059,643,7,12,0,71,2020-12-19,2020-12-18
2020-12-19,1,1060,2178,43,74,1,245,2020-12-19,2020-12-18
2020-12-19,1,1061,667,5,18,0,152,2020-12-19,2020-12-18
2020-12-19,1,1062,2537,69,64,0,342,2020-12-19,2020-12-18
2020-12-19,2,2000,31591,528,547,14,2478,2020-12-19,2020-12-18
2020-12-19,3,3101,2059,31,25,0,222,2020-12-19,2020-12-18
2020-12-19,3,3102,1577,37,20,2,117,2020-12-19,2020-12-17
2020-12-19,3,3103,1281,60,25,0,97,2020-12-19,2020-12-17
2020-12-19,3,3151,1606,13,126,0,342,2020-12-19,2020-12-18
2020-12-19,3,3153,892,32,38,0,99,2020-12-19,2020-12-18
2020-12-19,3,3154,597,6,13,0,81,2020-12-19,2020-12-18
2020-12-19,3,3155,840,10,0,0,53,2020-12-19,2020-12-17
2020-12-19,3,3157,1554,27,0,0,90,2020-12-19,2020-12-17
2020-12-19,3,3158,976,38,9,1,71,2020-12-19,2020-12-18
2020-12-19,3,3159,3163,97,48,1,248,2020-12-19,2020-12-18
2020-12-19,3,3241,16249,271,518,4,1569,2020-12-19,2020-12-18
2020-12-19,3,3251,3001,51,0,0,261,2020-12-19,2020-12-17
2020-12-19,3,3252,1336,18,0,0,111,2020-12-19,2020-12-17
2020-12-19,3,3254,3106,67,0,0,199,2020-12-19,2020-12-17
2020-12-19,3,3255,482,15,10,0,65,2020-12-19,2020-12-17
2020-12-19,3,3256,1014,12,0,0,123,2020-12-19,2020-12-17
2020-12-19,3,3257,1578,13,27,0,164,2020-12-19,2020-12-18
2020-12-19,3,3351,1500,25,2,0,111,2020-12-19,2020-12-17
2020-12-19,3,3352,1507,34,7,0,76,2020-12-19,2020-12-18
2020-12-19,3,3353,2613,42,49,0,256,2020-12-19,2020-12-18
2020-12-19,3,3354,262,8,6,0,43,2020-12-19,2020-12-18
2020-12-19,3,3355,1140,20,25,3,127,2020-12-19,2020-12-18
2020-12-19,3,3356,1214,21,20,1,100,2020-12-19,2020-12-18
2020-12-19,3,3357,1553,19,24,1,144,2020-12-19,2020-12-18
2020-12-19,3,3358,1215,23,39,4,184,2020-12-19,2020-12-18
2020-12-19,3,3359,1558,22,0,0,192,2020-12-19,2020-12-17
2020-12-19,3,3360,442,8,9,0,27,2020-12-19,2020-12-18
2020-12-19,3,3361,2079,27,27,0,128,2020-12-19,2020-12-18
2020-12-19,3,3401,1620,26,19,2,142,2020-12-19,2020-12-18
2020-12-19,3,3402,385,1,5,0,32,2020-12-19,2020-12-18
2020-12-19,3,3403,1535,12,0,0,147,2020-12-19,2020-12-17
2020-12-19,3,3404,2760,39,68,0,198,2020-12-19,2020-12-18
2020-12-19,3,3405,479,14,13,0,68,2020-12-19,2020-12-18
2020-12-19,3,3451,1111,14,13,0,134,2020-12-19,2020-12-18
2020-12-19,3,3452,1279,20,21,1,117,2020-12-19,2020-12-17
2020-12-19,3,3453,4806,54,0,0,249,2020-12-19,2020-12-17
2020-12-19,3,3454,4530,58,33,0,318,2020-12-19,2020-12-17
2020-12-19,3,3455,647,15,10,1,66,2020-12-19,2020-12-18
2020-12-19,3,3456,2116,52,43,2,269,2020-12-19,2020-12-18
2020-12-19,3,3457,1057,12,2,0,70,2020-12-19,2020-12-17
2020-12-19,3,3458,2134,44,136,6,249,2020-12-19,2020-12-18
2020-12-19,3,3459,6959,134,109,0,415,2020-12-19,2020-12-18
2020-12-19,3,3460,3744,46,38,0,273,2020-12-19,2020-12-18
2020-12-19,3,3461,835,12,6,0,63,2020-12-19,2020-12-17
2020-12-19,3,3462,382,5,0,0,18,2020-12-19,2020-12-17
2020-12-19,4,4011,11213,144,111,2,761,2020-12-19,2020-12-18
2020-12-19,4,4012,1154,23,24,0,123,2020-12-19,2020-12-18
2020-12-19,5,5111,12174,117,93,1,776,2020-12-19,2020-12-18
2020-12-19,5,5112,13911,279,212,10,1078,2020-12-19,2020-12-18
2020-12-19,5,5113,11151,160,140,5,1020,2020-12-19,2020-12-18
2020-12-19,5,5114,4645,48,58,0,307,2020-12-19,2020-12-18
2020-12-19,5,5116,4979,95,78,1,407,2020-12-19,2020-12-18
2020-12-19,5,5117,3764,75,79,4,367,2020-12-19,2020-12-18
2020-12-19,5,5119,4473,81,161,1,566,2020-12-19,2020-12-18
2020-12-19,5,5120,2656,72,36,2,226,2020-12-19,2020-12-18
2020-12-19,5,5122,4385,76,82,0,444,2020-12-19,2020-12-18
2020-12-19,5,5124,8632,178,177,3,822,2020-12-19,2020-12-18
2020-12-19,5,5154,4246,77,62,0,382,2020-12-19,2020-12-18
2020-12-19,5,5158,9441,208,166,6,839,2020-12-19,2020-12-18
2020-12-19,5,5162,7024,89,137,5,714,2020-12-19,2020-12-18
2020-12-19,5,5166,4930,64,91,0,563,2020-12-19,2020-12-18
2020-12-19,5,5170,7672,58,178,1,831,2020-12-19,2020-12-18
2020-12-19,5,5314,6057,54,161,0,752,2020-12-19,2020-12-18
2020-12-19,5,5315,23307,302,289,4,1590,2020-12-19,2020-12-18
2020-12-19,5,5316,3122,29,48,0,283,2020-12-19,2020-12-18
2020-12-19,5,5334,12771,245,213,4,924,2020-12-19,2020-12-18
2020-12-19,5,5358,6300,121,101,1,588,2020-12-19,2020-12-18
2020-12-19,5,5362,7997,150,91,3,653,2020-12-19,2020-12-18
2020-12-19,5,5366,3236,69,53,1,306,2020-12-19,2020-12-18
2020-12-19,5,5370,5648,154,55,1,362,2020-12-19,2020-12-18
2020-12-19,5,5374,4946,73,103,3,614,2020-12-19,2020-12-18
2020-12-19,5,5378,4675,42,100,0,563,2020-12-19,2020-12-18
2020-12-19,5,5382,10235,158,171,3,1009,2020-12-19,2020-12-18
2020-12-19,5,5512,2411,19,38,1,269,2020-12-19,2020-12-18
2020-12-19,5,5513,6606,64,150,7,583,2020-12-19,2020-12-18
2020-12-19,5,5515,3662,37,65,-1,329,2020-12-19,2020-12-18
2020-12-19,5,5554,6000,101,98,1,643,2020-12-19,2020-12-18
2020-12-19,5,5558,2588,27,32,0,225,2020-12-19,2020-12-18
2020-12-19,5,5562,13953,198,331,2,1602,2020-12-19,2020-12-18
2020-12-19,5,5566,6365,136,87,3,568,2020-12-19,2020-12-18
2020-12-19,5,5570,5072,66,93,2,534,2020-12-19,2020-12-18
2020-12-19,5,5711,6296,67,118,1,677,2020-12-19,2020-12-18
2020-12-19,5,5754,9274,87,163,2,894,2020-12-19,2020-12-18
2020-12-19,5,5758,4495,49,87,0,482,2020-12-19,2020-12-18
2020-12-19,5,5762,1898,30,0,0,158,2020-12-19,2020-12-17
2020-12-19,5,5766,7496,110,140,4,971,2020-12-19,2020-12-18
2020-12-19,5,5770,6048,65,131,1,754,2020-12-19,2020-12-18
2020-12-19,5,5774,3874,78,80,0,364,2020-12-19,2020-12-18
2020-12-19,5,5911,7018,61,209,2,834,2020-12-19,2020-12-18
2020-12-19,5,5913,12206,127,122,4,1150,2020-12-19,2020-12-18
2020-12-19,5,5914,4776,86,48,1,338,2020-12-19,2020-12-18
2020-12-19,5,5915,4371,80,25,3,346,2020-12-19,2020-12-18
2020-12-19,5,5916,4137,53,56,2,354,2020-12-19,2020-12-18
2020-12-19,5,5954,5432,95,274,2,737,2020-12-19,2020-12-18
2020-12-19,5,5958,3691,59,62,1,291,2020-12-19,2020-12-18
2020-12-19,5,5962,6920,93,126,1,757,2020-12-19,2020-12-18
2020-12-19,5,5966,2399,71,41,0,294,2020-12-19,2020-12-18
2020-12-19,5,5970,4225,40,65,1,406,2020-12-19,2020-12-18
2020-12-19,5,5974,2897,40,88,3,401,2020-12-19,2020-12-18
2020-12-19,5,5978,8699,164,147,0,575,2020-12-19,2020-12-18
2020-12-19,6,6411,2663,57,35,1,218,2020-12-19,2020-12-18
2020-12-19,6,6412,19003,284,67,0,1043,2020-12-19,2020-12-18
2020-12-19,6,6413,4000,49,65,2,307,2020-12-19,2020-12-18
2020-12-19,6,6414,6253,91,133,0,363,2020-12-19,2020-12-18
2020-12-19,6,6431,4149,67,258,5,566,2020-12-19,2020-12-18
2020-12-19,6,6432,4806,73,139,6,616,2020-12-19,2020-12-18
2020-12-19,6,6433,6318,95,109,4,486,2020-12-19,2020-12-18
2020-12-19,6,6434,3569,84,38,0,285,2020-12-19,2020-12-18
2020-12-19,6,6435,9590,151,272,5,1282,2020-12-19,2020-12-18
2020-12-19,6,6436,4060,68,98,4,348,2020-12-19,2020-12-18
2020-12-19,6,6437,1986,92,77,3,329,2020-12-19,2020-12-18
2020-12-19,6,6438,8272,185,224,9,774,2020-12-19,2020-12-18
2020-12-19,6,6439,3405,48,52,2,342,2020-12-19,2020-12-18
2020-12-19,6,6440,5029,100,246,14,703,2020-12-19,2020-12-18
2020-12-19,6,6531,4975,62,223,7,650,2020-12-19,2020-12-18
2020-12-19,6,6532,4064,61,85,1,349,2020-12-19,2020-12-18
2020-12-19,6,6533,3086,34,109,0,390,2020-12-19,2020-12-18
2020-12-19,6,6534,4579,79,74,3,406,2020-12-19,2020-12-18
2020-12-19,6,6535,1285,37,52,2,308,2020-12-19,2020-12-18
2020-12-19,6,6611,3321,47,115,1,386,2020-12-19,2020-12-18
2020-12-19,6,6631,3663,61,102,6,517,2020-12-19,2020-12-18
2020-12-19,6,6632,1708,34,113,0,320,2020-12-19,2020-12-18
2020-12-19,6,6633,3029,80,158,3,376,2020-12-19,2020-12-18
2020-12-19,6,6634,2766,77,177,2,446,2020-12-19,2020-12-18
2020-12-19,6,6635,2071,30,184,1,396,2020-12-19,2020-12-18
2020-12-19,6,6636,1047,39,15,0,105,2020-12-19,2020-12-18
2020-12-19,7,7111,1850,40,2,0,169,2020-12-19,2020-12-18
2020-12-19,7,7131,1775,23,30,-1,160,2020-12-19,2020-12-17
2020-12-19,7,7132,1574,19,9,0,161,2020-12-19,2020-12-17
2020-12-19,7,7133,2242,24,58,1,324,2020-12-19,2020-12-18
2020-12-19,7,7134,1238,36,17,0,110,2020-12-19,2020-12-18
2020-12-19,7,7135,895,13,17,1,94,2020-12-19,2020-12-18
2020-12-19,7,7137,2586,45,21,0,248,2020-12-19,2020-12-18
2020-12-19,7,7138,2969,33,61,2,425,2020-12-19,2020-12-18
2020-12-19,7,7140,1240,13,35,0,103,2020-12-19,2020-12-17
2020-12-19,7,7141,1377,36,43,2,226,2020-12-19,2020-12-18
2020-12-19,7,7143,2465,44,60,1,276,2020-12-19,2020-12-18
2020-12-19,7,7211,1194,13,20,0,102,2020-12-19,2020-12-17
2020-12-19,7,7231,1386,24,32,0,138,2020-12-19,2020-12-18
2020-12-19,7,7232,1608,8,40,0,111,2020-12-19,2020-12-18
2020-12-19,7,7233,876,22,15,0,85,2020-12-19,2020-12-18
2020-12-19,7,7235,1929,24,49,1,214,2020-12-19,2020-12-17
2020-12-19,7,7311,847,14,23,0,129,2020-12-19,2020-12-18
2020-12-19,7,7312,1477,25,30,1,145,2020-12-19,2020-12-18
2020-12-19,7,7313,523,3,21,0,86,2020-12-19,2020-12-18
2020-12-19,7,7314,4432,79,114,14,571,2020-12-19,2020-12-18
2020-12-19,7,7315,4954,81,50,4,377,2020-12-19,2020-12-18
2020-12-19,7,7316,698,9,17,1,69,2020-12-19,2020-12-18
2020-12-19,7,7317,388,5,11,0,67,2020-12-19,2020-12-18
2020-12-19,7,7318,1441,15,37,0,259,2020-12-19,2020-12-18
2020-12-19,7,7319,1295,12,15,0,109,2020-12-19,2020-12-17
2020-12-19,7,7320,319,2,1,0,29,2020-12-19,2020-12-17
2020-12-19,7,7331,2060,42,23,0,170,2020-12-19,2020-12-17
2020-12-19,7,7332,1835,40,34,1,152,2020-12-19,2020-12-18
2020-12-19,7,7333,943,18,23,1,108,2020-12-19,2020-12-18
2020-12-19,7,7334,2210,59,35,3,221,2020-12-19,2020-12-18
2020-12-19,7,7335,1771,24,38,2,139,2020-12-19,2020-12-18
2020-12-19,7,7336,1190,43,23,0,69,2020-12-19,2020-12-18
2020-12-19,7,7337,1309,21,55,1,161,2020-12-19,2020-12-18
2020-12-19,7,7338,2871,34,118,4,468,2020-12-19,2020-12-18
2020-12-19,7,7339,3202,74,46,2,298,2020-12-19,2020-12-18
2020-12-19,7,7340,1033,24,18,0,118,2020-12-19,2020-12-18
2020-12-19,8,8111,13349,144,160,0,1003,2020-12-19,2020-12-18
2020-12-19,8,8115,7929,113,175,2,627,2020-12-19,2020-12-18
2020-12-19,8,8116,11241,230,191,4,978,2020-12-19,2020-12-18
