Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-20,0,Bundesgebiet,25998085,138204,48910,151,300824,361.7628378973246
2022-05-20,1,Schleswig-Holstein,718266,2513,2875,0,15871,545.2312449005883
2022-05-20,2,Hamburg,574420,2637,1389,5,6686,360.9219650651722
2022-05-20,3,Niedersachsen,2322752,9206,6792,30,40556,506.7333081690942
2022-05-20,4,Bremen,197528,772,361,0,3165,465.3522120771029
2022-05-20,5,Nordrhein-Westfalen,5202683,25244,12411,30,64839,361.71234722243145
2022-05-20,6,Hessen,1829345,10067,3384,1,27491,436.8397785911484
2022-05-20,7,Rheinland-Pfalz,1135573,5634,2685,3,13155,320.97962346686785
2022-05-20,8,Baden-Württemberg,3634699,16023,5252,26,37158,334.665010303932
2022-05-20,9,Bayern,4845441,23943,7552,22,53275,405.43575382473745
2022-05-20,10,Saarland,312447,1671,431,2,2974,302.23853673458393
2022-05-20,11,Berlin,1037139,4574,1637,0,10334,282.03471095672376
2022-05-20,12,Brandenburg,785100,5643,895,8,5567,219.94641793928344
2022-05-20,13,Mecklenburg-Vorpommern,482814,2214,646,3,4506,279.7412920744934
2022-05-20,14,Sachsen,1500881,15480,1155,6,7365,181.5407224310139
2022-05-20,15,Sachsen-Anhalt,712623,5331,916,9,4970,227.91014195545984
2022-05-20,16,Thüringen,706374,7252,529,6,2912,137.34313663991338
