Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-04-28,0,Bundesgebiet,24609159,135078,130104,246,686897,826.0438265004075
2022-04-28,1,Schleswig-Holstein,646075,2437,5472,6,32399,1113.033022716537
2022-04-28,2,Hamburg,537425,2521,5018,8,17260,931.7249651547819
2022-04-28,3,Niedersachsen,2133498,8708,16387,20,98302,1228.2497696922353
2022-04-28,4,Bremen,184529,746,1375,0,6733,989.9578021848765
2022-04-28,5,Nordrhein-Westfalen,4911075,24642,23884,48,135736,757.2199935622689
2022-04-28,6,Hessen,1711082,9903,12504,10,61809,982.1625213684584
2022-04-28,7,Rheinland-Pfalz,1065865,5495,6595,11,35403,863.8268042263414
2022-04-28,8,Baden-Württemberg,3465165,15726,16141,21,81956,738.1399855877348
2022-04-28,9,Bayern,4604466,23495,21782,31,110347,839.767604454215
2022-04-28,10,Saarland,297998,1631,1219,5,9051,919.8254862087152
2022-04-28,11,Berlin,993839,4478,4732,15,19115,521.6850686992234
2022-04-28,12,Brandenburg,758353,5551,3361,6,15613,616.8534979856353
2022-04-28,13,Mecklenburg-Vorpommern,465388,2148,1548,3,11594,719.7781935889205
2022-04-28,14,Sachsen,1459702,15252,4839,25,24021,592.0963602872214
2022-04-28,15,Sachsen-Anhalt,686932,5247,2830,19,15913,729.725168800248
2022-04-28,16,Thüringen,687767,7098,2417,18,11645,549.2310529436096
