Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-01-25,1,1001,934,18,6,0,172,2021-01-25,2021-01-24
2021-01-25,1,1002,2912,61,12,0,159,2021-01-25,2021-01-24
2021-01-25,1,1003,3344,37,11,2,243,2021-01-25,2021-01-24
2021-01-25,1,1004,942,15,0,0,88,2021-01-25,2021-01-23
2021-01-25,1,1051,1210,35,4,0,83,2021-01-25,2021-01-24
2021-01-25,1,1053,2381,50,0,0,182,2021-01-25,2021-01-23
2021-01-25,1,1054,1564,33,24,2,202,2021-01-25,2021-01-24
2021-01-25,1,1055,1628,28,11,0,157,2021-01-25,2021-01-24
2021-01-25,1,1056,6110,167,28,3,629,2021-01-25,2021-01-24
2021-01-25,1,1057,721,18,1,0,49,2021-01-25,2021-01-24
2021-01-25,1,1058,2180,26,2,0,158,2021-01-25,2021-01-24
2021-01-25,1,1059,1317,33,6,1,108,2021-01-25,2021-01-24
2021-01-25,1,1060,3440,91,22,3,195,2021-01-25,2021-01-24
2021-01-25,1,1061,1125,20,2,0,78,2021-01-25,2021-01-24
2021-01-25,1,1062,4053,123,10,0,230,2021-01-25,2021-01-24
2021-01-25,2,2000,44718,988,265,1,1660,2021-01-25,2021-01-23
2021-01-25,3,3101,3171,69,13,1,216,2021-01-25,2021-01-24
2021-01-25,3,3102,2112,44,0,0,83,2021-01-25,2021-01-23
2021-01-25,3,3103,1769,65,0,0,88,2021-01-25,2021-01-23
2021-01-25,3,3151,3215,89,0,0,200,2021-01-25,2021-01-23
2021-01-25,3,3153,1316,51,0,0,73,2021-01-25,2021-01-23
2021-01-25,3,3154,1230,44,19,0,137,2021-01-25,2021-01-23
2021-01-25,3,3155,1269,18,0,0,67,2021-01-25,2021-01-23
2021-01-25,3,3157,2402,37,4,0,147,2021-01-25,2021-01-24
2021-01-25,3,3158,1304,47,0,0,61,2021-01-25,2021-01-22
2021-01-25,3,3159,4593,152,0,0,176,2021-01-25,2021-01-22
2021-01-25,3,3241,25033,528,220,0,1435,2021-01-25,2021-01-23
2021-01-25,3,3251,3994,70,0,0,158,2021-01-25,2021-01-23
2021-01-25,3,3252,2280,44,0,0,198,2021-01-25,2021-01-23
2021-01-25,3,3254,4990,153,14,0,321,2021-01-25,2021-01-24
2021-01-25,3,3255,818,28,0,0,73,2021-01-25,2021-01-22
2021-01-25,3,3256,1859,44,0,0,228,2021-01-25,2021-01-23
2021-01-25,3,3257,2426,31,34,0,170,2021-01-25,2021-01-23
2021-01-25,3,3351,2245,38,0,0,121,2021-01-25,2021-01-23
2021-01-25,3,3352,2291,71,0,0,101,2021-01-25,2021-01-21
2021-01-25,3,3353,3662,62,1,1,156,2021-01-25,2021-01-24
2021-01-25,3,3354,442,12,0,0,21,2021-01-25,2021-01-23
2021-01-25,3,3355,1655,35,0,0,65,2021-01-25,2021-01-23
2021-01-25,3,3356,1561,38,0,0,70,2021-01-25,2021-01-23
2021-01-25,3,3357,2178,63,0,0,63,2021-01-25,2021-01-22
2021-01-25,3,3358,2007,68,0,0,83,2021-01-25,2021-01-23
2021-01-25,3,3359,2592,68,0,0,177,2021-01-25,2021-01-23
2021-01-25,3,3360,805,13,0,0,133,2021-01-25,2021-01-23
