Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2020-05-06,1,1001,34,2,1,0,1,2020-05-06,2020-05-05
2020-05-06,1,1002,270,9,0,0,10,2020-05-06,2020-05-04
2020-05-06,1,1003,167,1,1,0,6,2020-05-06,2020-05-05
2020-05-06,1,1004,69,2,2,0,5,2020-05-06,2020-05-05
2020-05-06,1,1051,59,3,4,0,5,2020-05-06,2020-05-05
2020-05-06,1,1053,262,11,0,1,1,2020-05-06,2020-04-30
2020-05-06,1,1054,82,1,1,0,4,2020-05-06,2020-05-05
2020-05-06,1,1055,67,0,0,0,2,2020-05-06,2020-04-30
2020-05-06,1,1056,563,34,0,0,26,2020-05-06,2020-05-04
2020-05-06,1,1057,119,8,0,0,2,2020-05-06,2020-04-30
2020-05-06,1,1058,236,14,1,0,4,2020-05-06,2020-05-05
2020-05-06,1,1059,125,3,-1,0,1,2020-05-06,2020-05-05
2020-05-06,1,1060,234,3,6,0,17,2020-05-06,2020-05-05
2020-05-06,1,1061,132,3,0,0,50,2020-05-06,2020-05-03
2020-05-06,1,1062,396,25,1,0,6,2020-05-06,2020-05-05
2020-05-06,2,2000,4664,190,20,18,95,2020-05-06,2020-05-05
2020-05-06,3,3101,306,13,0,0,5,2020-05-06,2020-05-02
2020-05-06,3,3102,130,6,0,0,1,2020-05-06,2020-05-01
2020-05-06,3,3103,287,51,2,0,4,2020-05-06,2020-05-05
2020-05-06,3,3151,124,4,0,0,1,2020-05-06,2020-04-29
2020-05-06,3,3153,220,12,0,0,15,2020-05-06,2020-05-04
2020-05-06,3,3154,147,1,0,0,4,2020-05-06,2020-04-29
2020-05-06,3,3155,109,2,0,0,2,2020-05-06,2020-04-30
2020-05-06,3,3157,139,10,0,0,1,2020-05-06,2020-04-29
2020-05-06,3,3158,176,10,0,0,5,2020-05-06,2020-05-03
2020-05-06,3,3159,765,59,0,5,24,2020-05-06,2020-05-01
2020-05-06,3,3241,1975,73,4,0,91,2020-05-06,2020-05-04
2020-05-06,3,3251,338,23,6,0,17,2020-05-06,2020-05-05
2020-05-06,3,3252,120,7,0,0,2,2020-05-06,2020-05-04
2020-05-06,3,3254,302,3,5,0,16,2020-05-06,2020-05-05
2020-05-06,3,3255,104,5,0,0,0,2020-05-06,2020-04-23
2020-05-06,3,3256,69,4,0,0,1,2020-05-06,2020-04-30
2020-05-06,3,3257,146,6,0,0,0,2020-05-06,2020-04-28
2020-05-06,3,3351,177,12,0,1,12,2020-05-06,2020-05-01
2020-05-06,3,3352,120,6,3,0,18,2020-05-06,2020-05-05
2020-05-06,3,3353,503,10,2,1,10,2020-05-06,2020-05-01
2020-05-06,3,3354,18,3,0,0,1,2020-05-06,2020-04-29
2020-05-06,3,3355,166,0,0,0,3,2020-05-06,2020-05-04
2020-05-06,3,3356,82,0,1,0,2,2020-05-06,2020-05-01
2020-05-06,3,3357,99,1,0,0,4,2020-05-06,2020-05-01
2020-05-06,3,3358,70,2,0,0,1,2020-05-06,2020-04-30
2020-05-06,3,3359,192,7,1,0,3,2020-05-06,2020-05-05
2020-05-06,3,3360,41,0,0,0,0,2020-05-06,2020-04-24
2020-05-06,3,3361,126,2,2,0,9,2020-05-06,2020-05-05
2020-05-06,3,3401,46,2,0,0,1,2020-05-06,2020-05-01
2020-05-06,3,3402,17,0,0,0,1,2020-05-06,2020-04-29
2020-05-06,3,3403,160,1,0,0,0,2020-05-06,2020-04-28
2020-05-06,3,3404,450,13,9,0,13,2020-05-06,2020-05-05
2020-05-06,3,3405,22,1,0,0,1,2020-05-06,2020-04-29
2020-05-06,3,3451,162,5,1,0,1,2020-05-06,2020-05-05
2020-05-06,3,3452,91,6,0,0,4,2020-05-06,2020-05-02
2020-05-06,3,3453,101,0,1,0,3,2020-05-06,2020-05-03
2020-05-06,3,3454,408,20,2,0,21,2020-05-06,2020-05-04
2020-05-06,3,3455,33,1,0,0,2,2020-05-06,2020-04-30
2020-05-06,3,3456,227,13,1,0,5,2020-05-06,2020-05-04
2020-05-06,3,3457,98,2,1,0,3,2020-05-06,2020-05-05
2020-05-06,3,3458,211,10,0,0,1,2020-05-06,2020-04-29
2020-05-06,3,3459,985,53,32,0,44,2020-05-06,2020-05-05
2020-05-06,3,3460,314,10,0,0,7,2020-05-06,2020-05-04
2020-05-06,3,3461,51,1,0,0,0,2020-05-06,2020-04-12
2020-05-06,3,3462,26,0,0,0,2,2020-05-06,2020-05-02
2020-05-06,4,4011,854,30,16,0,102,2020-05-06,2020-05-05
2020-05-06,4,4012,62,1,6,0,17,2020-05-06,2020-05-05
2020-05-06,5,5111,1111,24,22,0,92,2020-05-06,2020-05-05
2020-05-06,5,5112,933,27,15,3,102,2020-05-06,2020-05-05
2020-05-06,5,5113,761,35,5,0,34,2020-05-06,2020-05-05
2020-05-06,5,5114,532,21,4,0,47,2020-05-06,2020-05-05
2020-05-06,5,5116,505,36,5,0,23,2020-05-06,2020-05-05
2020-05-06,5,5117,180,8,4,1,11,2020-05-06,2020-05-05
2020-05-06,5,5119,228,1,0,0,38,2020-05-06,2020-05-02
2020-05-06,5,5120,216,15,2,1,3,2020-05-06,2020-05-05
2020-05-06,5,5122,229,7,1,0,3,2020-05-06,2020-05-05
2020-05-06,5,5124,838,66,10,0,35,2020-05-06,2020-05-05
2020-05-06,5,5154,580,28,4,3,21,2020-05-06,2020-05-05
2020-05-06,5,5158,873,63,7,2,32,2020-05-06,2020-05-05
2020-05-06,5,5162,623,20,1,0,34,2020-05-06,2020-05-05
2020-05-06,5,5166,658,33,6,4,52,2020-05-06,2020-05-05
2020-05-06,5,5170,530,26,0,0,27,2020-05-06,2020-05-04
2020-05-06,5,5314,672,6,5,0,26,2020-05-06,2020-05-04
2020-05-06,5,5315,2329,92,6,1,67,2020-05-06,2020-05-05
2020-05-06,5,5316,207,5,4,0,12,2020-05-06,2020-05-05
2020-05-06,5,5334,1890,84,6,1,40,2020-05-06,2020-05-04
2020-05-06,5,5358,565,34,0,1,17,2020-05-06,2020-05-04
