Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-09-12,1,1001,2730,39,3,0,39,2021-09-12,2021-09-11
2021-09-12,1,1002,6831,110,18,0,161,2021-09-12,2021-09-11
2021-09-12,1,1003,6678,100,12,0,113,2021-09-12,2021-09-11
2021-09-12,1,1004,2291,23,9,0,52,2021-09-12,2021-09-11
2021-09-12,1,1051,2462,54,15,0,72,2021-09-12,2021-09-11
2021-09-12,1,1053,5944,116,20,0,121,2021-09-12,2021-09-11
2021-09-12,1,1054,3197,84,15,0,36,2021-09-12,2021-09-11
2021-09-12,1,1055,3729,86,6,0,63,2021-09-12,2021-09-11
2021-09-12,1,1056,11950,382,29,0,167,2021-09-12,2021-09-11
2021-09-12,1,1057,1687,33,0,0,53,2021-09-12,2021-09-10
2021-09-12,1,1058,4646,59,14,0,110,2021-09-12,2021-09-11
2021-09-12,1,1059,3219,60,11,0,45,2021-09-12,2021-09-11
2021-09-12,1,1060,7772,163,12,0,98,2021-09-12,2021-09-11
2021-09-12,1,1061,2761,42,5,0,40,2021-09-12,2021-09-11
2021-09-12,1,1062,7835,315,0,0,90,2021-09-12,2021-09-10
2021-09-12,2,2000,88282,1659,178,0,1407,2021-09-12,2021-09-10
2021-09-12,3,3101,7347,190,31,0,157,2021-09-12,2021-09-11
2021-09-12,3,3102,6154,80,39,0,225,2021-09-12,2021-09-10
2021-09-12,3,3103,4813,88,19,0,132,2021-09-12,2021-09-11
2021-09-12,3,3151,6788,191,35,0,161,2021-09-12,2021-09-11
2021-09-12,3,3153,2955,137,15,0,90,2021-09-12,2021-09-11
2021-09-12,3,3154,2680,95,6,0,76,2021-09-12,2021-09-11
2021-09-12,3,3155,2920,61,10,0,94,2021-09-12,2021-09-11
2021-09-12,3,3157,6026,106,13,0,160,2021-09-12,2021-09-11
2021-09-12,3,3158,3204,100,10,0,61,2021-09-12,2021-09-11
2021-09-12,3,3159,8837,272,18,0,173,2021-09-12,2021-09-11
2021-09-12,3,3241,54257,1063,188,0,1223,2021-09-12,2021-09-11
2021-09-12,3,3251,7678,109,0,0,110,2021-09-12,2021-09-10
2021-09-12,3,3252,4840,99,20,0,110,2021-09-12,2021-09-11
2021-09-12,3,3254,9932,288,62,0,271,2021-09-12,2021-09-10
2021-09-12,3,3255,1906,64,0,0,72,2021-09-12,2021-09-10
2021-09-12,3,3256,4014,153,13,0,62,2021-09-12,2021-09-11
2021-09-12,3,3257,5437,74,19,0,146,2021-09-12,2021-09-11
2021-09-12,3,3351,5279,66,30,0,143,2021-09-12,2021-09-11
2021-09-12,3,3352,5077,180,16,0,118,2021-09-12,2021-09-11
