Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-12,1,1001,SK Flensburg,25168,73,111,1,652,724.9760935797362
2022-05-12,1,1002,SK Kiel,60180,217,280,0,1662,673.9632037177465
2022-05-12,1,1003,SK Lübeck,55029,136,227,0,1612,746.828757540098
2022-05-12,1,1004,SK Neumünster,20094,82,63,0,512,640.7609035729929
2022-05-12,1,1051,LK Dithmarschen,33464,101,165,1,1008,756.4671184456402
2022-05-12,1,1053,LK Herzogtum Lauenburg,48063,153,254,0,1335,670.3422511448542
2022-05-12,1,1054,LK Nordfriesland,43265,140,294,2,1410,843.5688346186291
2022-05-12,1,1055,LK Ostholstein,41844,116,238,0,1695,841.2453408904793
2022-05-12,1,1056,LK Pinneberg,76852,474,462,0,1793,565.4635192456282
2022-05-12,1,1057,LK Plön,24904,53,0,0,753,582.1279753851862
2022-05-12,1,1058,LK Rendsburg-Eckernförde,63681,100,384,1,2292,834.1673793969393
2022-05-12,1,1059,LK Schleswig-Flensburg,47183,121,184,0,1377,679.5067284489778
2022-05-12,1,1060,LK Segeberg,71559,282,324,1,1903,684.5151381080333
2022-05-12,1,1061,LK Steinburg,26773,66,528,0,1492,1141.4931219683872
2022-05-12,1,1062,LK Stormarn,58175,367,262,0,1597,651.8660021470351
2022-05-12,2,2000,SK Hamburg,563857,2607,2409,9,8468,457.1174394513727
2022-05-12,3,3101,SK Braunschweig,64629,276,315,0,1730,696.006211754861
2022-05-12,3,3102,SK Salzgitter,33759,164,74,0,444,427.47386055109473
2022-05-12,3,3103,SK Wolfsburg,37668,189,156,1,715,577.3578811369509
2022-05-12,3,3151,LK Gifhorn,50502,309,203,5,967,545.627923510526
2022-05-12,3,3153,LK Goslar,32839,206,100,1,673,499.67331907816583
2022-05-12,3,3154,LK Helmstedt,24895,142,128,0,472,515.7455363972115
2022-05-12,3,3155,LK Northeim,34716,137,172,0,946,717.9066873083812
2022-05-12,3,3157,LK Peine,40082,154,133,0,920,677.2474308765937
2022-05-12,3,3158,LK Wolfenbüttel,30401,125,160,0,782,655.155369006627
2022-05-12,3,3159,LK Göttingen,72192,386,575,0,2710,836.6779870330349
2022-05-12,3,3241,Region Hannover,333831,1625,1091,7,5926,512.9270424900245
