Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-18,1,1001,SK Flensburg,25625,73,83,0,568,631.574265572531
2022-05-18,1,1002,SK Kiel,61375,220,261,1,1457,590.8329649920316
2022-05-18,1,1003,SK Lübeck,56093,137,301,0,1277,591.6255107808345
2022-05-18,1,1004,SK Neumünster,20341,85,58,1,318,397.9725924535386
2022-05-18,1,1051,LK Dithmarschen,34056,103,121,1,755,566.5998754230737
2022-05-18,1,1053,LK Herzogtum Lauenburg,48973,153,309,0,1012,508.1545753996947
2022-05-18,1,1054,LK Nordfriesland,44289,140,264,0,1227,734.0843688489773
2022-05-18,1,1055,LK Ostholstein,42978,117,436,0,1200,595.5719227543216
2022-05-18,1,1056,LK Pinneberg,78323,476,418,0,1469,463.2827159909803
2022-05-18,1,1057,LK Plön,25785,54,178,0,882,681.8550787380269
2022-05-18,1,1058,LK Rendsburg-Eckernförde,65379,101,384,0,2070,753.371062544356
2022-05-18,1,1059,LK Schleswig-Flensburg,48202,123,233,1,1166,575.3847824048715
2022-05-18,1,1060,LK Segeberg,73042,288,362,1,1563,562.2160593078592
2022-05-18,1,1061,LK Steinburg,28510,66,400,0,609,465.93117377932157
2022-05-18,1,1062,LK Stormarn,59338,367,644,0,1380,563.2905967206691
2022-05-18,2,2000,SK Hamburg,571373,2631,784,8,6918,373.44573052959333
2022-05-18,3,3101,SK Braunschweig,65650,284,297,1,1333,536.2868672076472
2022-05-18,3,3102,SK Salzgitter,34070,164,57,0,385,370.6699016039898
2022-05-18,3,3103,SK Wolfsburg,38072,189,107,0,530,427.9715762273902
2022-05-18,3,3151,LK Gifhorn,51095,324,154,4,712,401.74465515976686
2022-05-18,3,3153,LK Goslar,33281,207,127,0,544,403.8964124495129
2022-05-18,3,3154,LK Helmstedt,25241,142,94,0,393,429.4237199239494
2022-05-18,3,3155,LK Northeim,35196,137,148,0,659,500.1062441186291
2022-05-18,3,3157,LK Peine,40681,156,134,2,694,510.8801272047349
2022-05-18,3,3158,LK Wolfenbüttel,30920,127,141,0,680,569.7003208753277
2022-05-18,3,3159,LK Göttingen,73592,386,507,0,1853,572.0901512812596
2022-05-18,3,3241,Region Hannover,337689,1658,943,10,4463,386.29655596236574
2022-05-18,3,3251,LK Diepholz,62785,138,367,0,1543,707.5644741186397
2022-05-18,3,3252,LK Hameln-Pyrmont,40775,121,243,0,801,539.1035132588504
2022-05-18,3,3254,LK Hildesheim,75198,468,299,0,1459,529.6517875294049
2022-05-18,3,3255,LK Holzminden,18558,137,105,0,346,492.8283504493854
2022-05-18,3,3256,LK Nienburg (Weser),34714,197,167,0,824,677.3809034485594
2022-05-18,3,3257,LK Schaumburg,44722,184,182,0,859,542.277438985897
2022-05-18,3,3351,LK Celle,47976,150,180,0,872,486.1025944053605
2022-05-18,3,3352,LK Cuxhaven,53299,231,342,0,1354,680.9974550612093
2022-05-18,3,3353,LK Harburg,67053,200,344,0,1562,610.1181176176489
2022-05-18,3,3354,LK Lüchow-Dannenberg,11972,34,64,0,401,826.7529843514834
2022-05-18,3,3355,LK Lüneburg,48528,118,290,6,953,517.2741335793959
2022-05-18,3,3356,LK Osterholz,29123,83,165,0,656,572.2260990928122
2022-05-18,3,3357,LK Rotenburg (Wümme),44704,161,254,4,1060,644.4317449509381
2022-05-18,3,3358,LK Heidekreis,35486,176,190,2,702,498.2787379777833
2022-05-18,3,3359,LK Stade,53452,201,349,0,1338,651.5482793379335
2022-05-18,3,3360,LK Uelzen,23464,184,143,1,639,690.3182594041009
2022-05-18,3,3361,LK Verden,38326,147,205,0,879,638.9288673731955
2022-05-18,3,3401,SK Delmenhorst,22591,95,124,0,547,705.7791311304079
2022-05-18,3,3402,SK Emden,15124,41,87,0,183,366.92465011829813
2022-05-18,3,3403,SK Oldenburg,46056,62,262,1,1447,853.1588101765868
2022-05-18,3,3404,SK Osnabrück,50418,151,156,1,517,314.8158296949879
2022-05-18,3,3405,SK Wilhelmshaven,19588,110,56,0,291,387.02469776164065
