Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-02,0,Bundesgebiet,26409455,139222,48502,131,184123,221.42135934024245
2022-06-02,1,Schleswig-Holstein,741958,2546,2346,2,10757,369.54523983338345
2022-06-02,2,Hamburg,585743,2656,847,1,4521,244.05148131313837
2022-06-02,3,Niedersachsen,2378317,9352,7303,36,22953,286.7898614854823
2022-06-02,4,Bremen,201365,775,377,0,1642,241.42443356417158
2022-06-02,5,Nordrhein-Westfalen,5300983,25451,11969,27,42784,238.6758133772036
2022-06-02,6,Hessen,1867905,10156,4573,17,19476,309.47915782769655
2022-06-02,7,Rheinland-Pfalz,1155606,5684,2488,0,8373,204.29968736511475
2022-06-02,8,Baden-Württemberg,3680508,16130,5322,11,19817,178.4826015714791
2022-06-02,9,Bayern,4908082,24089,6702,10,29418,223.87816060095966
2022-06-02,10,Saarland,316233,1688,469,9,2127,216.16051366323475
2022-06-02,11,Berlin,1052549,4616,1912,3,6949,189.65155858702084
2022-06-02,12,Brandenburg,791669,5673,1066,3,3314,130.9327158345222
2022-06-02,13,Mecklenburg-Vorpommern,488587,2229,645,1,3048,189.22580076410472
2022-06-02,14,Sachsen,1511268,15528,1454,6,4743,116.9107462987507
2022-06-02,15,Sachsen-Anhalt,717948,5358,582,4,2490,114.18435683482797
2022-06-02,16,Thüringen,710734,7291,447,1,1711,80.69852568368536
