Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-24,5,5170,LK Wesel,123138,428,438,2,1154,250.8079536983306
2022-05-24,5,5314,SK Bonn,94390,404,410,2,815,246.53713635772388
2022-05-24,5,5315,SK Köln,348806,1058,184,2,2641,243.7475657546207
2022-05-24,5,5316,SK Leverkusen,49385,175,29,0,516,314.81650956346664
2022-05-24,5,5334,StadtRegion Aachen,164819,858,1164,0,1979,355.531761615864
2022-05-24,5,5358,LK Düren,85005,423,227,0,954,359.80991174473866
2022-05-24,5,5362,LK Rhein-Erft-Kreis,142710,559,426,0,1431,304.7202897717473
2022-05-24,5,5366,LK Euskirchen,58764,312,182,0,832,428.07382215384933
2022-05-24,5,5370,LK Heinsberg,64907,523,280,0,1640,639.4809286510852
2022-05-24,5,5374,LK Oberbergischer Kreis,87076,439,241,2,1192,438.72079028630947
2022-05-24,5,5378,LK Rheinisch-Bergischer Kreis,79610,245,245,0,782,276.0568352307828
2022-05-24,5,5382,LK Rhein-Sieg-Kreis,154422,776,1000,3,1436,239.18384343118885
2022-05-24,5,5512,SK Bottrop,31793,178,30,0,278,236.8214809009439
2022-05-24,5,5513,SK Gelsenkirchen,71618,568,215,0,647,249.7057177592096
2022-05-24,5,5515,SK Münster,93420,206,172,0,1099,347.34183936309074
2022-05-24,5,5554,LK Borken,137218,443,601,0,1752,471.0969136698772
2022-05-24,5,5558,LK Coesfeld,68032,139,261,1,1023,463.4999456305049
2022-05-24,5,5562,LK Recklinghausen,162610,1331,532,5,1969,320.8936129296169
2022-05-24,5,5566,LK Steinfurt,146482,480,280,0,1616,360.555737767098
2022-05-24,5,5570,LK Warendorf,87634,346,293,0,1226,441.9339838582351
2022-05-24,5,5711,SK Bielefeld,107056,553,519,2,857,256.96457966651576
2022-05-24,5,5754,LK Gütersloh,124396,470,116,0,901,246.97246298154147
2022-05-24,5,5758,LK Herford,86492,329,165,0,807,322.0952555807892
2022-05-24,5,5762,LK Höxter,37701,203,73,0,357,255.49456447838315
2022-05-24,5,5766,LK Lippe,103783,596,216,0,1094,315.30103467158546
2022-05-24,5,5770,LK Minden-Lübbecke,113055,461,346,0,1115,359.3644245334708
2022-05-24,5,5774,LK Paderborn,79504,218,46,0,834,270.4850244052735
2022-05-24,5,5911,SK Bochum,92299,425,188,0,1003,275.2061988618591
2022-05-24,5,5913,SK Dortmund,170267,540,266,0,2058,350.1810459829572
2022-05-24,5,5914,SK Hagen,57141,481,139,0,532,281.9484119202701
2022-05-24,5,5915,SK Hamm,56351,282,203,0,753,420.7479591209553
2022-05-24,5,5916,SK Herne,46381,364,87,0,417,265.7066394800561
2022-05-24,5,5954,LK Ennepe-Ruhr-Kreis,84297,556,228,3,854,264.289914275988
2022-05-24,5,5958,LK Hochsauerlandkreis,76765,271,255,1,1137,438.9452959116705
2022-05-24,5,5962,LK Märkischer Kreis,127917,635,440,1,1586,388.09578575938065
2022-05-24,5,5966,LK Olpe,36479,202,77,0,360,269.94196247806724
2022-05-24,5,5970,LK Siegen-Wittgenstein,84768,270,185,0,1146,415.9845512194591
2022-05-24,5,5974,LK Soest,82554,373,65,0,883,293.33988890955965
2022-05-24,5,5978,LK Unna,104879,663,358,1,1844,468.4745108201353
2022-05-24,6,6411,SK Darmstadt,43865,209,173,0,654,410.8711221681933
2022-05-24,6,6412,SK Frankfurt am Main,232823,1221,644,3,2348,307.2880131500424
2022-05-24,6,6413,SK Offenbach,43473,269,113,0,364,278.0918619930935
2022-05-24,6,6414,SK Wiesbaden,85546,409,247,1,934,335.2368372880991
2022-05-24,6,6431,LK Bergstraße,82896,462,231,0,1163,429.1275390661034
2022-05-24,6,6432,LK Darmstadt-Dieburg,80224,438,357,0,1168,392.339965267164
2022-05-24,6,6433,LK Groß-Gerau,78289,375,282,1,853,309.27423886993444
2022-05-24,6,6434,LK Hochtaunuskreis,63075,268,323,0,1008,424.81277472701146
2022-05-24,6,6435,LK Main-Kinzig-Kreis,130029,873,378,1,1271,301.40696105423666
2022-05-24,6,6436,LK Main-Taunus-Kreis,67014,299,365,0,927,387.4381436404975
2022-05-24,6,6437,LK Odenwaldkreis,29733,225,51,0,361,373.11118920148004
2022-05-24,6,6438,LK Offenbach,107610,760,384,0,1173,328.9934986621492
2022-05-24,6,6439,LK Rheingau-Taunus-Kreis,52414,217,227,0,822,438.55671093137283
2022-05-24,6,6440,LK Wetteraukreis,86610,655,292,0,999,321.8915235232139
2022-05-24,6,6531,LK Gießen,83182,413,298,1,1044,384.2940070012184
2022-05-24,6,6532,LK Lahn-Dill-Kreis,76160,312,315,0,1101,434.5372237768034
2022-05-24,6,6533,LK Limburg-Weilburg,51231,351,161,0,555,322.1294205733323
2022-05-24,6,6534,LK Marburg-Biedenkopf,71888,349,171,1,789,320.85822458449064
2022-05-24,6,6535,LK Vogelsbergkreis,31335,125,86,1,445,421.7769605520065
2022-05-24,6,6611,SK Kassel,52361,273,378,0,1117,555.5887151327046
2022-05-24,6,6631,LK Fulda,84523,385,347,0,904,405.33935961761796
2022-05-24,6,6632,LK Hersfeld-Rotenburg,33421,224,222,0,437,363.24644234605665
2022-05-24,6,6633,LK Kassel,56117,290,339,0,1065,449.35381655394144
2022-05-24,6,6634,LK Schwalm-Eder-Kreis,46808,285,154,0,797,443.17170818505343
2022-05-24,6,6635,LK Waldeck-Frankenberg,43319,187,161,0,795,507.8963508126342
2022-05-24,6,6636,LK Werra-Meißner-Kreis,25864,206,53,0,364,363.83263698698596
2022-05-24,7,7111,SK Koblenz,32618,185,87,0,265,233.71079832080997
2022-05-24,7,7131,LK Ahrweiler,31433,96,85,1,303,232.2212769871014
2022-05-24,7,7132,LK Altenkirchen,33557,140,83,0,399,309.0938669269562
2022-05-24,7,7133,LK Bad Kreuznach,48026,193,114,0,455,286.62139518476056
2022-05-24,7,7134,LK Birkenfeld,23171,151,58,0,177,218.97810218978105
2022-05-24,7,7135,LK Cochem-Zell,16979,94,48,0,229,371.8860632043912
2022-05-24,7,7137,LK Mayen-Koblenz,60308,230,199,0,517,240.7047014237427
2022-05-24,7,7138,LK Neuwied,45822,258,90,0,380,207.50173373159106
2022-05-24,7,7140,LK Rhein-Hunsrück-Kreis,30125,130,104,0,334,323.01428419454356
2022-05-24,7,7141,LK Rhein-Lahn-Kreis,31544,121,56,0,371,302.67430287010296
2022-05-24,7,7143,LK Westerwaldkreis,56659,236,215,0,669,329.8328649608046
2022-05-24,7,7211,SK Trier,28731,60,59,0,253,228.59930968429802
2022-05-24,7,7231,LK Bernkastel-Wittlich,27861,113,79,0,187,165.9493277721081
2022-05-24,7,7232,LK Bitburg-Prüm,24112,50,39,0,227,226.87521862975362
2022-05-24,7,7233,LK Vulkaneifel,19076,88,73,1,281,464.53191383842227
2022-05-24,7,7235,LK Trier-Saarburg,39243,134,74,0,364,241.80744421488976
2022-05-24,7,7311,SK Frankenthal,14180,88,33,0,84,172.30769230769232
2022-05-24,7,7312,SK Kaiserslautern,30459,219,80,0,263,263.8919548072485
2022-05-24,7,7313,SK Landau i.d.Pfalz,11047,65,86,0,139,297.74017350326653
2022-05-24,7,7314,SK Ludwigshafen,51774,421,82,0,276,159.94714789895514
2022-05-24,7,7315,SK Mainz,65464,258,168,0,794,365.6913362471963
2022-05-24,7,7316,SK Neustadt a.d.Weinstraße,14991,63,46,0,134,251.37883165122125
2022-05-24,7,7317,SK Pirmasens,10344,96,14,0,135,336.02150537634407
2022-05-24,7,7318,SK Speyer,16290,116,36,0,104,204.96245639620818
2022-05-24,7,7319,SK Worms,26295,143,16,1,247,295.95370181765895
2022-05-24,7,7320,SK Zweibrücken,8831,27,20,0,118,347.0486162171701
2022-05-24,7,7331,LK Alzey-Worms,36888,194,51,0,398,304.4792104961175
2022-05-24,7,7332,LK Bad Dürkheim,33724,219,99,0,413,310.5169769330246
2022-05-24,7,7333,LK Donnersbergkreis,21573,116,48,4,181,239.6113265995049
2022-05-24,7,7334,LK Germersheim,43037,207,85,0,320,248.05047827232843
2022-05-24,7,7335,LK Kaiserslautern,36978,150,65,0,383,360.23325808878855
2022-05-24,7,7336,LK Kusel,18784,107,39,0,176,251.0519934384138
2022-05-24,7,7337,LK Südliche Weinstraße,24899,174,188,0,369,333.0835958585704
2022-05-24,7,7338,LK Rhein-Pfalz-Kreis,42797,285,85,1,293,189.33274745725475
2022-05-24,7,7339,LK Mainz-Bingen,59834,294,211,0,729,344.64011346176574
2022-05-24,7,7340,LK Südwestpfalz,23577,139,59,0,364,383.51314902225215
2022-05-24,8,8111,SK Stuttgart,185756,679,975,1,3585,568.7722610482226
2022-05-24,8,8115,LK Böblingen,128477,468,230,2,947,241.02947838879302
2022-05-24,8,8116,LK Esslingen,172831,807,342,0,1250,234.25040806421086
2022-05-24,8,8117,LK Göppingen,83742,391,113,0,405,156.5029890138766
2022-05-24,8,8118,LK Ludwigsburg,166781,714,371,0,1211,222.21365907543702
2022-05-24,8,8119,LK Rems-Murr-Kreis,139530,600,462,3,1302,304.7139386733944
2022-05-24,8,8121,SK Heilbronn,45882,271,63,-1,259,204.81108352180172
2022-05-24,8,8125,LK Heilbronn,120505,339,228,0,1008,291.02415673729587
2022-05-24,8,8126,LK Hohenlohekreis,39201,179,93,1,381,337.8707932425841
2022-05-24,8,8127,LK Schwäbisch Hall,66288,332,131,0,523,264.3283129485495
2022-05-24,8,8128,LK Main-Tauber-Kreis,43716,199,95,2,467,351.9640649965331
2022-05-24,8,8135,LK Heidenheim,47035,299,107,0,330,248.47152365750085
2022-05-24,8,8136,LK Ostalbkreis,109624,575,274,1,914,290.81051499551376
2022-05-24,8,8211,SK Baden-Baden,16440,104,31,0,135,243.46696964778445
2022-05-24,8,8212,SK Karlsruhe,90349,357,216,0,838,271.69331725220144
2022-05-24,8,8215,LK Karlsruhe,144515,700,275,2,1253,280.4060404787267
2022-05-24,8,8216,LK Rastatt,77715,368,124,0,635,273.59957947529205
2022-05-24,8,8221,SK Heidelberg,42454,120,117,1,473,297.9696486729956
2022-05-24,8,8222,SK Mannheim,99829,483,169,1,846,273.14905996041597
2022-05-24,8,8225,LK Neckar-Odenwald-Kreis,49747,215,152,0,514,357.44834732296226
2022-05-24,8,8226,LK Rhein-Neckar-Kreis,168813,685,432,1,1702,310.45194287830174
2022-05-24,8,8231,SK Pforzheim,44369,324,42,0,268,212.671406805485
2022-05-24,8,8235,LK Calw,52731,284,98,1,432,269.74879643332144
2022-05-24,8,8236,LK Enzkreis,65828,339,105,0,638,319.3960511033682
2022-05-24,8,8237,LK Freudenstadt,41158,241,78,0,363,306.6810854651752
2022-05-24,8,8311,SK Freiburg i.Breisgau,75540,261,142,0,519,224.7336970641725
